町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,643,303,340,20,33,38,28,18,25,43,40,41,39,43,35,63,47,37,38,22,16,11,5,1
秋津１丁目,764,363,401,29,48,51,36,40,37,40,65,60,59,55,53,37,36,31,34,23,17,8,5,0
秋津２丁目,1037,486,551,57,67,62,63,52,77,63,85,69,73,76,66,70,40,25,37,32,19,2,2,0
秋津３丁目,746,354,392,55,48,58,45,33,43,39,74,53,54,39,38,54,30,37,14,17,8,6,1,0
秋津新町,107,48,59,0,0,3,7,5,7,5,5,3,12,6,5,16,5,4,10,5,6,1,2,0
秋津町秋田,2462,1116,1346,61,104,160,178,189,132,107,124,145,167,227,201,205,121,93,95,63,43,33,9,5
秋津町沼山津,65,28,37,13,3,4,2,2,11,7,7,5,2,4,1,2,1,0,0,1,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1373,648,725,78,62,66,73,62,84,97,97,71,85,91,98,117,65,76,68,41,19,15,8,0
安政町,112,44,68,3,4,6,2,3,8,3,12,8,9,8,7,11,6,4,4,5,4,2,3,0
井川淵町,150,63,87,3,11,7,3,3,6,15,11,8,10,13,4,11,6,12,13,4,8,2,0,0
池亀町,656,336,320,17,16,16,33,51,29,27,37,29,38,40,62,74,54,47,33,24,20,8,1,0
池田１丁目,2719,1273,1446,105,125,174,164,129,122,134,185,206,217,183,188,223,130,111,110,116,60,32,4,1
池田２丁目,2617,1224,1393,95,111,161,139,145,136,128,170,192,151,147,172,193,166,137,141,123,76,25,9,0
池田３丁目,2623,1238,1385,89,80,104,112,150,123,141,122,138,168,154,164,246,183,177,176,170,82,32,9,3
池田４丁目,575,313,262,15,18,14,33,105,46,30,33,21,27,23,37,57,32,21,28,13,18,2,2,0
池上町,242,114,128,12,12,7,10,15,25,16,24,10,6,22,20,27,7,8,3,13,2,1,2,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1243,548,695,32,52,61,85,64,70,42,74,87,112,121,80,91,69,38,71,46,33,10,4,1
出水２丁目,584,267,317,18,27,25,30,28,17,32,26,51,34,49,50,61,37,23,22,21,22,7,3,1
出水３丁目,1307,569,738,48,72,81,80,55,61,77,88,117,98,82,92,94,60,53,51,45,30,20,2,1
出水４丁目,1512,721,791,59,74,84,85,88,101,88,102,114,115,104,93,97,84,68,63,49,25,16,3,0
出水５丁目,1897,877,1020,64,98,126,109,79,90,96,125,144,124,122,134,147,101,80,86,82,64,22,4,0
出水６丁目,3557,1697,1860,196,201,195,192,173,219,294,280,254,221,213,245,255,178,143,143,90,34,23,6,2
出水７丁目,2526,1176,1350,103,98,103,98,128,112,158,145,144,148,162,143,199,163,188,188,127,82,24,10,3
出水８丁目,1794,825,969,60,67,81,116,92,88,89,106,89,116,141,146,122,118,93,102,85,60,18,5,0
和泉町,369,183,186,6,16,24,14,18,24,17,27,12,13,27,31,38,25,15,21,22,15,4,0,0
板屋町,26,11,15,1,1,0,1,0,2,1,3,0,1,0,2,4,1,1,1,3,2,1,1,0
出仲間１丁目,701,319,382,46,44,37,34,43,46,59,60,38,43,52,53,54,26,21,18,12,10,4,1,0
出仲間２丁目,451,199,252,27,20,16,20,22,23,22,32,30,28,24,25,33,27,31,28,21,12,9,1,0
出仲間３丁目,753,377,376,78,44,49,41,26,75,96,70,51,43,43,53,32,18,15,3,8,4,3,1,0
出仲間４丁目,1227,590,637,97,79,82,70,47,47,82,132,94,91,55,57,68,63,66,55,19,16,5,2,0
出仲間５丁目,710,349,361,56,57,51,35,29,34,53,65,79,52,38,27,36,22,23,26,16,8,2,1,0
出仲間６丁目,994,475,519,63,42,61,64,61,67,78,77,70,72,68,56,90,27,27,36,20,13,0,2,0
出仲間７丁目,1065,471,594,59,67,62,78,55,68,68,77,69,74,71,70,63,48,38,37,34,18,5,3,1
出仲間８丁目,618,299,319,35,28,57,44,22,31,41,37,68,50,47,25,29,32,27,18,13,6,7,1,0
出仲間９丁目,223,96,127,27,11,9,10,25,30,36,23,14,9,8,4,7,7,2,0,1,0,0,0,0
今町,945,429,516,27,26,34,57,29,46,28,42,56,54,45,90,93,76,63,52,58,37,26,6,0
魚屋町１丁目,13,4,9,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,0,1,1,0,0,0
魚屋町２丁目,13,5,8,0,0,0,1,0,0,0,0,1,2,0,0,0,4,2,2,1,0,0,0,0
魚屋町３丁目,7,4,3,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0
海路口町,281,140,141,19,21,21,11,7,18,24,28,23,23,13,15,15,7,9,12,10,3,2,0,0
薄場町,36,17,19,3,3,2,3,1,0,5,3,6,1,1,0,4,1,1,0,2,0,0,0,0
打越町,1803,862,941,72,69,99,92,83,126,85,124,125,97,119,108,180,113,96,86,67,40,18,3,1
内田町,1227,615,612,37,58,59,63,57,50,49,74,72,79,85,97,110,68,77,74,60,37,15,4,2
内坪井町,785,345,440,41,49,35,21,22,43,48,59,65,43,41,47,68,38,51,37,33,26,11,7,0
江越１丁目,789,377,412,58,42,57,36,40,55,72,94,78,72,47,40,29,21,15,9,14,8,2,0,0
江越２丁目,258,120,138,15,11,8,10,10,30,29,19,7,12,11,25,31,11,6,6,8,6,1,1,1
画図町大字上無田,10,5,5,0,0,0,0,2,1,0,0,0,0,3,1,0,1,1,0,0,1,0,0,0
画図町大字重富,2106,981,1125,120,132,86,114,129,114,128,143,107,127,154,179,177,124,109,65,61,18,12,7,0
画図町大字下江津,12,4,8,1,2,0,0,0,1,1,0,0,1,1,0,1,0,1,2,1,0,0,0,0
画図町大字下無田,936,444,492,34,32,41,50,47,35,28,57,50,49,60,70,113,63,70,58,35,27,9,7,1
画図町大字所島,722,341,381,33,41,54,32,36,32,30,53,42,40,53,67,69,29,34,19,23,18,16,1,0
江津１丁目,1387,638,749,54,65,57,67,76,57,69,95,90,103,103,82,107,81,80,79,71,29,15,7,0
江津２丁目,224,105,119,4,9,13,10,11,8,13,18,20,10,11,14,20,16,20,16,8,3,0,0,0
榎町,2155,1012,1143,71,86,132,124,111,101,112,142,136,157,156,167,180,119,125,116,69,35,12,4,0
大江１丁目,2136,1042,1094,64,76,113,110,176,170,148,122,143,136,116,175,150,102,97,85,67,52,25,7,2
大江２丁目,946,479,467,11,19,33,54,84,89,44,51,37,61,75,79,61,48,42,48,50,37,17,6,0
大江３丁目,1080,522,558,67,64,66,55,58,69,96,85,111,90,70,54,53,36,28,32,23,10,12,1,0
大江４丁目,1673,735,938,55,78,96,78,90,110,107,128,116,145,120,88,135,91,67,57,55,29,21,5,2
大江５丁目,888,401,487,24,16,25,51,65,65,40,56,62,74,58,59,60,64,47,56,33,20,10,2,1
大江６丁目,1426,635,791,68,74,77,81,80,82,91,129,135,109,86,79,77,67,52,42,52,25,13,5,2
大江本町,442,192,250,11,8,8,17,33,35,37,24,20,33,39,34,47,29,21,17,16,9,3,1,0
大窪１丁目,238,105,133,11,9,10,6,15,18,19,16,12,9,9,17,17,14,20,16,11,7,1,1,0
大窪２丁目,300,154,146,15,3,9,6,19,23,22,23,12,16,20,21,35,24,9,15,11,10,6,1,0
大窪３丁目,267,125,142,7,7,6,9,19,30,15,21,5,9,12,35,25,19,12,11,11,9,3,2,0
大窪４丁目,252,125,127,11,10,8,11,21,23,25,19,19,13,14,14,22,11,9,12,4,3,2,0,1
大窪５丁目,833,395,438,20,20,41,45,30,52,46,37,57,59,54,70,84,74,55,39,34,11,4,0,1
大鳥居町,233,112,121,9,6,8,10,19,12,7,14,10,8,19,23,22,10,9,18,22,4,2,1,0
岡田町,497,226,271,24,21,14,16,37,31,34,34,41,19,28,37,32,34,28,30,15,10,9,3,0
沖新町,1952,937,1015,80,80,104,101,105,105,84,77,124,145,146,115,154,112,116,128,94,49,27,5,1
奥古閑町,817,392,425,28,46,54,53,40,51,37,50,56,58,68,70,53,25,35,30,33,20,7,3,0
