町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,816,394,422,56,54,44,37,37,36,43,57,72,49,53,43,41,35,65,31,25,23,10,4,1
秋津１丁目,735,363,372,28,40,32,43,41,29,32,39,49,72,52,56,46,44,36,27,26,22,13,7,1
秋津２丁目,1037,479,558,63,65,60,74,49,53,76,72,57,83,65,65,63,57,46,29,23,27,8,1,1
秋津３丁目,873,404,469,41,65,67,49,49,43,48,58,57,63,52,47,46,47,54,30,29,10,14,3,1
秋津新町,326,138,188,31,20,3,8,11,30,35,34,32,20,17,23,10,14,14,8,5,7,1,3,0
秋津町秋田,1993,897,1096,35,60,63,107,91,74,92,87,83,111,121,152,215,194,192,109,90,60,38,17,2
秋津町沼山津,95,43,52,17,7,7,4,1,4,13,11,11,5,7,2,2,1,2,0,0,0,0,1,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1262,596,666,45,62,62,50,41,52,63,79,74,88,76,87,99,102,93,53,74,39,19,3,1
安政町,84,29,55,3,3,2,4,5,5,2,4,6,6,6,6,5,7,10,2,3,4,0,1,0
井川淵町,157,66,91,5,6,4,7,10,12,10,11,8,15,10,6,13,7,5,8,11,8,0,1,0
池亀町,764,381,383,29,28,26,28,40,50,43,44,36,56,32,50,45,55,67,56,31,27,12,9,0
池田１丁目,2554,1218,1336,101,102,114,122,141,109,105,127,156,190,179,193,185,204,190,112,80,75,52,14,3
池田２丁目,2752,1299,1453,82,124,131,148,171,122,123,168,161,201,205,152,171,174,199,149,101,94,50,22,4
池田３丁目,2400,1161,1239,83,77,84,89,120,99,123,119,130,136,146,162,172,168,218,155,122,106,71,17,3
池田４丁目,528,310,218,10,11,6,40,86,48,31,26,24,30,16,29,19,29,55,24,16,14,10,4,0
池上町,192,97,95,3,9,8,9,4,4,14,16,15,17,6,6,22,18,25,7,3,4,2,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
