人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
平成29年4月1日 現在,,,
年齢区分,平成29年04月　人　口,備考,
計,男,女,
会富町,,,
総数,694,327,367
0〜4歳,31,12,19
5〜9歳,39,16,23
10〜14歳,35,17,18
15〜19歳,38,18,20
20〜24歳,31,13,18
25〜29歳,22,12,10
30〜34歳,42,24,18
35〜39歳,53,28,25
40〜44歳,41,17,24
45〜49歳,48,20,28
50〜54歳,40,25,15
55〜59歳,46,19,27
60〜64歳,32,18,14
65〜69歳,61,30,31
70〜74歳,43,19,24
75〜79歳,33,16,17
80〜84歳,33,14,19
85〜89歳,15,7,8
90〜94歳,9,2,7
95〜99歳,2,0,2
100歳以上,0,0,0
秋津１丁目,,,
総数,766,373,393
0〜4歳,43,22,21
5〜9歳,31,15,16
10〜14歳,50,26,24
15〜19歳,53,30,23
20〜24歳,34,13,21
25〜29歳,38,19,19
30〜34歳,37,15,22
35〜39歳,43,25,18
40〜44歳,70,37,33
45〜49歳,60,30,30
50〜54歳,51,29,22
55〜59歳,52,25,27
60〜64歳,56,29,27
65〜69歳,30,13,17
70〜74歳,30,14,16
75〜79歳,23,10,13
80〜84歳,26,11,15
85〜89歳,22,7,15
90〜94歳,13,3,10
95〜99歳,4,0,4
100歳以上,0,0,0
秋津２丁目,,,
総数,944,434,510
0〜4歳,57,27,30
5〜9歳,51,17,34
10〜14歳,56,28,28
15〜19歳,54,28,26
20〜24歳,53,27,26
25〜29歳,50,21,29
30〜34歳,68,26,42
35〜39歳,48,19,29
40〜44歳,72,40,32
45〜49歳,70,30,40
50〜54歳,70,31,39
55〜59歳,70,39,31
60〜64歳,56,29,27
65〜69歳,58,26,32
70〜74歳,36,16,20
75〜79歳,22,9,13
80〜84歳,30,15,15
85〜89歳,16,4,12
90〜94歳,7,2,5
95〜99歳,0,0,0
100歳以上,0,0,0
秋津３丁目,,,
総数,775,371,404
0〜4歳,68,33,35
5〜9歳,63,32,31
10〜14歳,50,25,25
15〜19歳,58,28,30
20〜24歳,30,13,17
25〜29歳,39,20,19
30〜34歳,55,27,28
35〜39歳,53,24,29
40〜44歳,74,33,41
45〜49歳,46,22,24
50〜54歳,48,27,21
55〜59歳,31,14,17
60〜64歳,35,16,19
65〜69歳,39,17,22
70〜74歳,24,14,10
75〜79歳,29,13,16
80〜84歳,10,2,8
85〜89歳,15,10,5
90〜94歳,5,0,5
95〜99歳,3,1,2
100歳以上,0,0,0
秋津新町,,,
総数,77,36,41
0〜4歳,0,0,0
5〜9歳,0,0,0
10〜14歳,0,0,0
15〜19歳,5,2,3
20〜24歳,4,3,1
25〜29歳,3,1,2
30〜34歳,3,2,1
35〜39歳,0,0,0
40〜44歳,6,3,3
45〜49歳,1,1,0
50〜54歳,12,3,9
55〜59歳,4,2,2
60〜64歳,4,1,3
65〜69歳,12,6,6
70〜74歳,5,3,2
75〜79歳,4,2,2
80〜84歳,7,2,5
85〜89歳,2,1,1
90〜94歳,4,3,1
95〜99歳,0,0,0
100歳以上,1,1,0
