人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
令和4年4月1日 現在,,,
年齢区分,令和4年04月　人　口,備考,
計,男,女,
会富町,,,
総数,846,409,437
0〜4歳,60,42,18
5〜9歳,60,24,36
10〜14歳,46,22,24
15〜19歳,34,14,20
20〜24歳,34,16,18
25〜29歳,35,17,18
30〜34歳,43,21,22
35〜39歳,68,36,32
40〜44歳,75,42,33
45〜49歳,46,22,24
50〜54歳,54,22,32
55〜59歳,41,24,17
60〜64歳,50,20,30
65〜69歳,36,19,17
70〜74歳,58,28,30
75〜79歳,40,17,23
80〜84歳,28,10,18
85〜89歳,24,9,15
90〜94歳,9,3,6
95〜99歳,4,1,3
100歳以上,1,0,1
秋津１丁目,,,
総数,744,373,371
0〜4歳,29,16,13
5〜9歳,41,21,20
10〜14歳,28,17,11
15〜19歳,44,23,21
20〜24歳,45,24,21
25〜29歳,22,8,14
30〜34歳,36,20,16
35〜39歳,39,16,23
40〜44歳,51,32,19
45〜49歳,70,36,34
50〜54歳,58,28,30
55〜59歳,46,25,21
60〜64歳,49,27,22
65〜69歳,52,25,27
70〜74歳,33,15,18
75〜79歳,31,15,16
80〜84歳,23,10,13
85〜89歳,24,10,14
90〜94歳,12,2,10
95〜99歳,8,2,6
100歳以上,3,1,2
秋津２丁目,,,
総数,"1,048",488,560
0〜4歳,59,29,30
5〜9歳,68,33,35
10〜14歳,64,19,45
15〜19歳,70,36,34
20〜24歳,49,29,20
25〜29歳,54,26,28
30〜34歳,62,30,32
35〜39歳,89,40,49
40〜44歳,53,20,33
45〜49歳,86,45,41
50〜54歳,71,33,38
55〜59歳,67,31,36
60〜64歳,64,32,32
65〜69歳,54,28,26
70〜74歳,52,25,27
75〜79歳,32,13,19
80〜84歳,19,8,11
85〜89歳,24,9,15
90〜94歳,8,2,6
95〜99歳,2,0,2
100歳以上,1,0,1
秋津３丁目,,,
総数,852,392,460
0〜4歳,43,17,26
5〜9歳,55,30,25
10〜14歳,73,39,34
15〜19歳,46,18,28
20〜24歳,44,20,24
25〜29歳,45,16,29
30〜34歳,44,25,19
35〜39歳,59,27,32
40〜44歳,56,21,35
45〜49歳,60,29,31
50〜54歳,49,24,25
55〜59歳,50,27,23
60〜64歳,40,17,23
65〜69歳,47,20,27
70〜74歳,57,25,32
75〜79歳,30,15,15
80〜84歳,26,13,13
85〜89歳,15,2,13
90〜94歳,11,6,5
95〜99歳,1,0,1
100歳以上,1,1,0
秋津新町,,,
総数,326,138,188
0〜4歳,29,14,15
5〜9歳,23,10,13
10〜14歳,6,3,3
15〜19歳,5,1,4
20〜24歳,12,3,9
25〜29歳,22,7,15
30〜34歳,33,16,17
35〜39歳,36,16,20
40〜44歳,38,19,19
45〜49歳,20,10,10
50〜54歳,18,7,11
55〜59歳,20,6,14
60〜64歳,12,5,7
65〜69歳,12,5,7
70〜74歳,15,6,9
75〜79歳,7,3,4
80〜84歳,5,2,3
85〜89歳,8,2,6
90〜94歳,2,1,1
95〜99歳,3,2,1
100歳以上,0,0,0
秋津町秋田,,,
総数,"1,966",888,"1,078"
0〜4歳,37,18,19
5〜9歳,47,24,23
10〜14歳,60,30,30
15〜19歳,93,44,49
