人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
平成18年4月1日 現在,,,
年齢区分,平成18年04月　人　口,備考,
計,男,女,
会富町,,,
総数,656,311,345
0〜4歳,26,10,16
5〜9歳,39,20,19
10〜14歳,24,13,11
15〜19歳,27,19,8
20〜24歳,34,20,14
25〜29歳,48,25,23
30〜34歳,46,19,27
35〜39歳,41,19,22
40〜44歳,32,17,15
45〜49歳,38,17,21
50〜54歳,37,20,17
55〜59歳,73,36,37
60〜64歳,39,18,21
65〜69歳,40,19,21
70〜74歳,36,16,20
75〜79歳,26,11,15
80〜84歳,21,5,16
85〜89歳,15,1,14
90〜94歳,11,4,7
95〜99歳,3,2,1
100歳以上,0,0,0
秋津１丁目,,,
総数,756,355,401
0〜4歳,39,19,20
5〜9歳,44,24,20
10〜14歳,39,14,25
15〜19歳,47,21,26
20〜24歳,54,27,27
25〜29歳,47,28,19
30〜34歳,55,27,28
35〜39歳,53,25,28
40〜44歳,58,28,30
45〜49歳,50,22,28
50〜54歳,52,31,21
55〜59歳,42,14,28
60〜64歳,38,19,19
65〜69歳,38,20,18
70〜74歳,35,17,18
75〜79歳,22,6,16
80〜84歳,19,5,14
85〜89歳,11,3,8
90〜94歳,9,4,5
95〜99歳,3,1,2
100歳以上,1,0,1
秋津２丁目,,,
総数,957,454,503
0〜4歳,64,30,34
5〜9歳,46,25,21
10〜14歳,68,39,29
15〜19歳,69,28,41
20〜24歳,51,21,30
25〜29歳,56,28,28
30〜34歳,70,38,32
35〜39歳,65,27,38
40〜44歳,63,28,35
45〜49歳,81,42,39
50〜54歳,65,32,33
55〜59歳,66,33,33
60〜64歳,37,20,17
65〜69歳,27,8,19
70〜74歳,40,16,24
75〜79歳,47,21,26
80〜84歳,27,12,15
85〜89歳,7,4,3
90〜94歳,5,2,3
95〜99歳,3,0,3
100歳以上,0,0,0
秋津３丁目,,,
総数,723,349,374
0〜4歳,59,33,26
5〜9歳,52,23,29
10〜14歳,43,19,24
15〜19歳,29,12,17
20〜24歳,35,20,15
25〜29歳,57,29,28
30〜34歳,84,37,47
35〜39歳,54,23,31
40〜44歳,55,33,22
45〜49歳,39,18,21
50〜54歳,33,14,19
55〜59歳,57,30,27
60〜64歳,33,20,13
65〜69歳,35,15,20
70〜74歳,14,5,9
75〜79歳,22,11,11
80〜84歳,9,3,6
85〜89歳,10,3,7
90〜94歳,3,1,2
95〜99歳,0,0,0
100歳以上,0,0,0
秋津新町,,,
総数,127,55,72
0〜4歳,3,1,2
5〜9歳,6,2,4
10〜14歳,8,5,3
15〜19歳,2,1,1
20〜24歳,7,1,6
25〜29歳,5,4,1
30〜34歳,4,1,3
35〜39歳,6,4,2
40〜44歳,13,3,10
45〜49歳,4,1,3
50〜54歳,9,3,6
55〜59歳,15,8,7
60〜64歳,10,5,5
65〜69歳,6,2,4
70〜74歳,7,4,3
75〜79歳,6,3,3
80〜84歳,7,4,3
85〜89歳,5,2,3
90〜94歳,3,1,2
95〜99歳,1,0,1
100歳以上,0,0,0
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,612","1,221","1,391"
0〜4歳,98,47,51
5〜9歳,160,86,74
10〜14歳,212,103,109
15〜19歳,261,132,129
20〜24歳,170,89,81
25〜29歳,132,55,77
30〜34歳,135,58,77
35〜39歳,133,61,72
40〜44歳,187,74,113
45〜49歳,249,110,139
50〜54歳,206,96,110
55〜59歳,194,108,86
60〜64歳,107,51,56
65〜69歳,102,44,58
70〜74歳,79,35,44
75〜79歳,66,30,36
80〜84歳,43,17,26
85〜89歳,42,16,26
90〜94歳,26,7,19
95〜99歳,10,2,8
100歳以上,0,0,0
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
0〜4歳,χ,χ,χ
5〜9歳,χ,χ,χ
10〜14歳,χ,χ,χ
15〜19歳,χ,χ,χ
20〜24歳,χ,χ,χ
25〜29歳,χ,χ,χ
30〜34歳,χ,χ,χ
35〜39歳,χ,χ,χ
40〜44歳,χ,χ,χ
45〜49歳,χ,χ,χ
50〜54歳,χ,χ,χ
55〜59歳,χ,χ,χ
60〜64歳,χ,χ,χ
65〜69歳,χ,χ,χ
70〜74歳,χ,χ,χ
75〜79歳,χ,χ,χ
80〜84歳,χ,χ,χ
85〜89歳,χ,χ,χ
90〜94歳,χ,χ,χ
95〜99歳,χ,χ,χ
100歳以上,χ,χ,χ
麻生田１丁目,,,
総数,120,59,61
0〜4歳,4,1,3
5〜9歳,8,4,4
10〜14歳,7,5,2
15〜19歳,9,6,3
20〜24歳,4,2,2
25〜29歳,12,7,5
30〜34歳,12,7,5
35〜39歳,10,3,7
40〜44歳,7,2,5
45〜49歳,8,4,4
50〜54歳,4,2,2
55〜59歳,12,6,6
60〜64歳,1,0,1
65〜69歳,6,4,2
70〜74歳,6,2,4
75〜79歳,7,4,3
80〜84歳,2,0,2
85〜89歳,1,0,1
90〜94歳,0,0,0
95〜99歳,0,0,0
100歳以上,0,0,0
麻生田２丁目,,,
総数,763,376,387
0〜4歳,31,19,12
5〜9歳,45,23,22
10〜14歳,58,34,24
15〜19歳,58,22,36
20〜24歳,46,26,20
25〜29歳,46,27,19
30〜34歳,41,23,18
35〜39歳,66,32,34
40〜44歳,63,33,30
45〜49歳,52,25,27
50〜54歳,54,25,29
55〜59歳,45,25,20
60〜64歳,40,16,24
65〜69歳,43,20,23
70〜74歳,27,14,13
75〜79歳,19,8,11
80〜84歳,14,1,13
85〜89歳,9,3,6
90〜94歳,6,0,6
95〜99歳,0,0,0
100歳以上,0,0,0
麻生田３丁目,,,
総数,"1,076",509,567
0〜4歳,76,33,43
5〜9歳,66,32,34
10〜14歳,63,30,33
15〜19歳,55,32,23
20〜24歳,62,30,32
25〜29歳,73,35,38
30〜34歳,112,51,61
35〜39歳,70,37,33
40〜44歳,58,25,33
45〜49歳,73,34,39
50〜54歳,75,34,41
55〜59歳,76,29,47
60〜64歳,51,27,24
65〜69歳,51,20,31
70〜74歳,54,36,18
75〜79歳,37,18,19
80〜84歳,12,2,10
85〜89歳,11,4,7
90〜94歳,1,0,1
95〜99歳,0,0,0
100歳以上,0,0,0
麻生田４丁目,,,
総数,"1,512",733,779
0〜4歳,93,55,38
5〜9歳,80,39,41
10〜14歳,81,45,36
15〜19歳,78,35,43
20〜24歳,66,32,34
25〜29歳,115,55,60
30〜34歳,140,74,66
35〜39歳,122,51,71
40〜44歳,91,51,40
45〜49歳,84,39,45
50〜54歳,80,37,43
55〜59歳,109,46,63
60〜64歳,91,38,53
65〜69歳,108,48,60
70〜74歳,82,50,32
75〜79歳,50,25,25
80〜84歳,21,9,12
85〜89歳,15,4,11
90〜94歳,6,0,6
95〜99歳,0,0,0
100歳以上,0,0,0
麻生田５丁目,,,
総数,"1,166",546,620
0〜4歳,29,10,19
5〜9歳,43,22,21
10〜14歳,42,22,20
15〜19歳,49,19,30
20〜24歳,45,22,23
25〜29歳,60,34,26
30〜34歳,73,41,32
35〜39歳,49,22,27
40〜44歳,64,30,34
45〜49歳,50,25,25
50〜54歳,79,37,42
55〜59歳,111,52,59
60〜64歳,98,39,59
65〜69歳,107,46,61
70〜74歳,115,57,58
75〜79歳,83,41,42
80〜84歳,40,18,22
85〜89歳,21,7,14
90〜94歳,7,2,5
95〜99歳,1,0,1
100歳以上,0,0,0
荒尾１丁目,,,
総数,349,167,182
0〜4歳,31,17,14
5〜9歳,21,11,10
10〜14歳,18,11,7
15〜19歳,13,6,7
20〜24歳,16,9,7
25〜29歳,24,11,13
30〜34歳,43,24,19
35〜39歳,24,11,13
40〜44歳,22,10,12
45〜49歳,18,10,8
50〜54歳,15,5,10
55〜59歳,23,12,11
60〜64歳,12,3,9
65〜69歳,30,12,18
70〜74歳,12,6,6
75〜79歳,10,7,3
80〜84歳,5,0,5
85〜89歳,6,1,5
90〜94歳,6,1,5
95〜99歳,0,0,0
100歳以上,0,0,0
荒尾２丁目,,,
総数,0,0,0
0〜4歳,0,0,0
5〜9歳,0,0,0
10〜14歳,0,0,0
15〜19歳,0,0,0
20〜24歳,0,0,0
25〜29歳,0,0,0
30〜34歳,0,0,0
35〜39歳,0,0,0
40〜44歳,0,0,0
