人口統計表,Column_1,Column_2,Column_3
町丁別の年齢５歳刻み一覧表,,,
令和2年4月1日 現在,,,
年齢区分,令和2年04月　人　口,備考,
計,男,女,
会富町,,,
総数,753,361,392
0〜4歳,42,21,21
5〜9歳,49,23,26
10〜14歳,37,20,17
15〜19歳,36,12,24
20〜24歳,33,18,15
25〜29歳,30,12,18
30〜34歳,41,24,17
35〜39歳,43,23,20
40〜44歳,67,33,34
45〜49歳,46,20,26
50〜54歳,51,28,23
55〜59歳,46,22,24
60〜64歳,37,19,18
65〜69歳,35,17,18
70〜74歳,64,29,35
75〜79歳,32,13,19
80〜84歳,31,15,16
85〜89歳,20,10,10
90〜94歳,8,1,7
95〜99歳,4,1,3
100歳以上,1,0,1
秋津１丁目,,,
総数,728,353,375
0〜4歳,24,14,10
5〜9歳,34,18,16
10〜14歳,30,16,14
15〜19歳,53,31,22
20〜24歳,40,16,24
25〜29歳,32,12,20
30〜34歳,32,14,18
35〜39歳,36,19,17
40〜44歳,44,23,21
45〜49歳,76,39,37
50〜54歳,52,26,26
55〜59歳,58,29,29
60〜64歳,46,26,20
65〜69歳,39,19,20
70〜74歳,37,19,18
75〜79歳,26,8,18
80〜84歳,29,13,16
85〜89歳,20,7,13
90〜94歳,15,3,12
95〜99歳,5,1,4
100歳以上,0,0,0
秋津２丁目,,,
総数,"1,000",464,536
0〜4歳,60,29,31
5〜9歳,59,30,29
10〜14歳,55,14,41
15〜19歳,66,37,29
20〜24歳,57,30,27
25〜29歳,46,26,20
30〜34歳,80,33,47
35〜39歳,55,26,29
40〜44歳,66,25,41
45〜49歳,71,39,32
50〜54歳,69,29,40
55〜59歳,68,37,31
60〜64歳,58,30,28
65〜69歳,57,28,29
70〜74歳,49,20,29
75〜79歳,21,11,10
80〜84歳,27,8,19
85〜89歳,26,10,16
90〜94歳,9,2,7
95〜99歳,1,0,1
100歳以上,0,0,0
秋津３丁目,,,
総数,849,401,448
0〜4歳,43,20,23
5〜9歳,63,37,26
10〜14歳,61,31,30
15〜19歳,59,31,28
20〜24歳,41,13,28
25〜29歳,38,21,17
30〜34歳,47,22,25
35〜39歳,55,24,31
40〜44歳,62,26,36
45〜49歳,62,33,29
50〜54歳,47,21,26
55〜59歳,45,25,20
60〜64歳,46,18,28
65〜69歳,48,22,26
70〜74歳,48,24,24
75〜79歳,33,13,20
80〜84歳,24,9,15
85〜89歳,11,4,7
90〜94歳,12,6,6
95〜99歳,3,1,2
100歳以上,1,0,1
秋津新町,,,
総数,272,118,154
0〜4歳,32,15,17
5〜9歳,13,7,6
10〜14歳,3,2,1
15〜19歳,8,4,4
20〜24歳,7,2,5
25〜29歳,12,5,7
30〜34歳,29,13,16
35〜39歳,30,15,15
40〜44歳,23,8,15
45〜49歳,22,12,10
50〜54歳,12,4,8
55〜59歳,21,4,17
60〜64歳,8,4,4
65〜69歳,17,6,11
70〜74歳,11,6,5
75〜79歳,6,3,3
80〜84歳,7,2,5
85〜89歳,6,3,3
90〜94歳,3,1,2
95〜99歳,2,2,0
100歳以上,0,0,0
秋津町秋田,,,
総数,"2,050",923,"1,127"
0〜4歳,40,16,24
5〜9歳,59,34,25
10〜14歳,74,32,42
15〜19歳,113,52,61
20〜24歳,96,50,46
25〜29歳,92,45,47
30〜34歳,89,45,44
35〜39歳,88,43,45
40〜44歳,85,33,52
45〜49歳,121,52,69
50〜54歳,119,50,69
55〜59歳,175,68,107
60〜64歳,208,98,110
65〜69歳,206,94,112
70〜74歳,168,94,74
75〜79歳,107,47,60
80〜84歳,82,27,55
85〜89歳,67,24,43
90〜94歳,39,17,22
95〜99歳,20,1,19
100歳以上,2,1,1
秋津町沼山津,,,
総数,0,0,0
0〜4歳,0,0,0
5〜9歳,0,0,0
10〜14歳,0,0,0
15〜19歳,0,0,0
20〜24歳,0,0,0
25〜29歳,0,0,0
30〜34歳,0,0,0
35〜39歳,0,0,0
40〜44歳,0,0,0
45〜49歳,0,0,0
50〜54歳,0,0,0
55〜59歳,0,0,0
60〜64歳,0,0,0
65〜69歳,0,0,0
70〜74歳,0,0,0
75〜79歳,0,0,0
80〜84歳,0,0,0
85〜89歳,0,0,0
90〜94歳,0,0,0
95〜99歳,0,0,0
100歳以上,0,0,0
麻生田１丁目,,,
総数,119,49,70
0〜4歳,14,5,9
5〜9歳,1,0,1
10〜14歳,6,3,3
15〜19歳,8,4,4
20〜24歳,5,1,4
25〜29歳,8,3,5
30〜34歳,8,4,4
35〜39歳,7,4,3
40〜44歳,5,3,2
45〜49歳,12,5,7
50〜54歳,11,6,5
55〜59歳,7,2,5
60〜64歳,2,2,0
65〜69歳,3,1,2
70〜74歳,7,2,5
75〜79歳,2,1,1
80〜84歳,5,2,3
85〜89歳,3,0,3
90〜94歳,4,1,3
95〜99歳,1,0,1
100歳以上,0,0,0
麻生田２丁目,,,
総数,889,418,471
0〜4歳,39,24,15
5〜9歳,47,22,25
10〜14歳,43,17,26
15〜19歳,53,35,18
20〜24歳,52,26,26
25〜29歳,49,25,24
30〜34歳,50,15,35
35〜39歳,57,27,30
40〜44歳,50,22,28
45〜49歳,62,31,31
50〜54歳,69,36,33
55〜59歳,61,28,33
60〜64歳,57,30,27
65〜69歳,45,24,21
70〜74歳,46,19,27
75〜79歳,38,14,24
80〜84歳,29,12,17
85〜89歳,21,8,13
90〜94歳,9,1,8
95〜99歳,8,0,8
100歳以上,4,2,2
麻生田３丁目,,,
総数,"1,055",500,555
0〜4歳,43,22,21
5〜9歳,58,29,29
10〜14歳,53,28,25
15〜19歳,73,41,32
20〜24歳,57,35,22
25〜29歳,43,19,24
30〜34歳,42,21,21
35〜39歳,57,24,33
40〜44歳,73,32,41
45〜49歳,84,41,43
50〜54歳,66,35,31
55〜59歳,80,32,48
60〜64歳,56,27,29
65〜69歳,70,33,37
70〜74歳,52,19,33
75〜79歳,49,24,25
80〜84歳,56,21,35
85〜89歳,29,15,14
90〜94歳,10,2,8
95〜99歳,4,0,4
100歳以上,0,0,0
麻生田４丁目,,,
総数,"1,544",726,818
0〜4歳,65,31,34
5〜9歳,84,43,41
10〜14歳,96,45,51
15〜19歳,93,45,48
20〜24歳,74,42,32
25〜29歳,59,27,32
30〜34歳,63,27,36
35〜39歳,77,38,39
40〜44歳,116,62,54
45〜49歳,127,58,69
50〜54歳,122,61,61
55〜59歳,91,40,51
60〜64歳,77,34,43
65〜69歳,75,36,39
70〜74歳,92,41,51
75〜79歳,89,34,55
80〜84歳,82,41,41
85〜89歳,42,17,25
90〜94歳,18,4,14
95〜99歳,2,0,2
100歳以上,0,0,0
麻生田５丁目,,,
総数,"1,174",550,624
0〜4歳,45,23,22
5〜9歳,48,29,19
10〜14歳,45,22,23
15〜19歳,40,18,22
20〜24歳,49,33,16
25〜29歳,43,20,23
30〜34歳,41,15,26
35〜39歳,44,25,19
40〜44歳,86,43,43
45〜49歳,80,46,34
50〜54歳,65,25,40
55〜59歳,65,31,34
60〜64歳,61,32,29
65〜69歳,85,41,44
70〜74歳,108,47,61
75〜79歳,85,26,59
80〜84歳,82,37,45
85〜89歳,66,27,39
90〜94歳,28,10,18
95〜99歳,8,0,8
100歳以上,0,0,0
荒尾１丁目,,,
総数,439,207,232
0〜4歳,31,16,15
5〜9歳,36,19,17
10〜14歳,30,13,17
15〜19歳,13,7,6
20〜24歳,24,10,14
25〜29歳,16,10,6
30〜34歳,32,18,14
35〜39歳,23,10,13
40〜44歳,39,21,18
45〜49歳,40,18,22
50〜54歳,20,8,12
55〜59歳,25,11,14
60〜64歳,18,10,8
65〜69歳,23,10,13
70〜74歳,20,10,10
75〜79歳,14,4,10
80〜84歳,24,8,16
85〜89歳,7,2,5
90〜94歳,3,2,1
95〜99歳,1,0,1
100歳以上,0,0,0
荒尾２丁目,,,
総数,0,0,0
0〜4歳,0,0,0
5〜9歳,0,0,0
10〜14歳,0,0,0
15〜19歳,0,0,0
20〜24歳,0,0,0
25〜29歳,0,0,0
30〜34歳,0,0,0
35〜39歳,0,0,0
40〜44歳,0,0,0
45〜49歳,0,0,0
50〜54歳,0,0,0
55〜59歳,0,0,0
60〜64歳,0,0,0
65〜69歳,0,0,0
70〜74歳,0,0,0
75〜79歳,0,0,0
80〜84歳,0,0,0
85〜89歳,0,0,0
90〜94歳,0,0,0
95〜99歳,0,0,0
100歳以上,0,0,0
荒尾３丁目,,,
総数,89,38,51
0〜4歳,15,7,8
5〜9歳,9,3,6
10〜14歳,6,2,4
15〜19歳,1,0,1
20〜24歳,0,0,0
25〜29歳,7,3,4
30〜34歳,13,6,7
35〜39歳,14,7,7
40〜44歳,6,3,3
45〜49歳,4,3,1
50〜54歳,6,2,4
55〜59歳,2,0,2
60〜64歳,3,2,1
65〜69歳,1,0,1
70〜74歳,0,0,0
75〜79歳,0,0,0
80〜84歳,0,0,0
85〜89歳,0,0,0
90〜94歳,1,0,1
95〜99歳,1,0,1
100歳以上,0,0,0
荒尾町,【秘匿】薄場１丁目に含めています,,
総数,χ,χ,χ
0〜4歳,χ,χ,χ
5〜9歳,χ,χ,χ
10〜14歳,χ,χ,χ
15〜19歳,χ,χ,χ
20〜24歳,χ,χ,χ
25〜29歳,χ,χ,χ
30〜34歳,χ,χ,χ
35〜39歳,χ,χ,χ
40〜44歳,χ,χ,χ
45〜49歳,χ,χ,χ
50〜54歳,χ,χ,χ
55〜59歳,χ,χ,χ
60〜64歳,χ,χ,χ
65〜69歳,χ,χ,χ
70〜74歳,χ,χ,χ
75〜79歳,χ,χ,χ
80〜84歳,χ,χ,χ
85〜89歳,χ,χ,χ
90〜94歳,χ,χ,χ
95〜99歳,χ,χ,χ
100歳以上,χ,χ,χ
改寄町,,,
総数,"1,286",600,686
0〜4歳,52,27,25
5〜9歳,71,37,34
10〜14歳,55,34,21
15〜19歳,53,22,31
