人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,678.0,325.0,353.0,44.0,33.0,55.0,76.0,75.0,52.0,51.0,42.0,47.0,74.0,99.0,48.0,67.0,59.0,53.0,48.0,46.0,19.0,12.0,3.0,0.0
秋津１丁目,611.0,298.0,313.0,17.0,39.0,64.0,60.0,76.0,71.0,45.0,56.0,86.0,62.0,60.0,48.0,62.0,53.0,33.0,33.0,17.0,20.0,7.0,0.0,0.0
秋津２丁目,810.0,381.0,429.0,69.0,66.0,85.0,92.0,65.0,104.0,39.0,89.0,93.0,103.0,64.0,51.0,63.0,68.0,71.0,35.0,14.0,15.0,4.0,1.0,0.0
秋津３丁目,563.0,276.0,287.0,53.0,44.0,46.0,47.0,67.0,68.0,75.0,56.0,47.0,60.0,77.0,62.0,40.0,29.0,25.0,17.0,13.0,12.0,1.0,0.0,0.0
秋津新町,138.0,68.0,70.0,7.0,13.0,14.0,12.0,11.0,5.0,5.0,16.0,12.0,29.0,16.0,7.0,14.0,9.0,13.0,9.0,9.0,5.0,0.0,0.0,0.0
秋津町秋田,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
秋津町沼山津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荒尾町,330.0,152.0,178.0,51.0,29.0,20.0,20.0,36.0,43.0,40.0,47.0,18.0,30.0,22.0,29.0,36.0,9.0,14.0,18.0,12.0,8.0,0.0,0.0,0.0
改寄町,1288.0,605.0,683.0,142.0,98.0,113.0,111.0,132.0,124.0,158.0,126.0,119.0,142.0,103.0,102.0,113.0,95.0,76.0,55.0,60.0,16.0,7.0,1.0,0.0
安政町,112.0,55.0,57.0,8.0,2.0,11.0,9.0,2.0,1.0,8.0,12.0,17.0,16.0,18.0,9.0,7.0,7.0,18.0,10.0,6.0,5.0,0.0,1.0,0.0
井川淵町,182.0,84.0,98.0,5.0,5.0,8.0,10.0,20.0,17.0,11.0,21.0,12.0,12.0,26.0,16.0,27.0,14.0,33.0,13.0,6.0,6.0,4.0,0.0,0.0
池亀町,818.0,442.0,376.0,37.0,54.0,72.0,100.0,206.0,60.0,37.0,69.0,74.0,96.0,94.0,87.0,72.0,66.0,47.0,47.0,30.0,10.0,2.0,0.0,0.0
池田１丁目,2653.0,1241.0,1412.0,203.0,197.0,211.0,260.0,365.0,233.0,284.0,254.0,281.0,277.0,256.0,176.0,189.0,224.0,203.0,109.0,88.0,64.0,13.0,6.0,1.0
池田２丁目,2537.0,1242.0,1295.0,122.0,128.0,189.0,274.0,476.0,205.0,173.0,174.0,199.0,271.0,267.0,261.0,259.0,252.0,235.0,150.0,96.0,34.0,11.0,3.0,0.0
池田３丁目,3013.0,1479.0,1534.0,202.0,187.0,240.0,295.0,477.0,267.0,238.0,240.0,226.0,319.0,266.0,315.0,258.0,359.0,261.0,170.0,90.0,52.0,25.0,3.0,2.0
池田４丁目,751.0,480.0,271.0,24.0,19.0,85.0,266.0,354.0,51.0,28.0,24.0,32.0,52.0,72.0,52.0,36.0,49.0,36.0,24.0,12.0,10.0,5.0,0.0,0.0
池上町,2623.0,1211.0,1412.0,184.0,215.0,355.0,256.0,224.0,248.0,204.0,249.0,312.0,284.0,294.0,203.0,192.0,213.0,151.0,110.0,72.0,51.0,17.0,0.0,0.0
石原町,994.0,480.0,514.0,59.0,119.0,119.0,127.0,118.0,88.0,85.0,105.0,134.0,133.0,117.0,78.0,52.0,50.0,31.0,24.0,20.0,12.0,3.0,0.0,0.0
出水１丁目,1117.0,498.0,619.0,89.0,99.0,97.0,69.0,81.0,122.0,158.0,170.0,105.0,109.0,105.0,75.0,83.0,81.0,54.0,54.0,26.0,24.0,13.0,1.0,0.0
出水２丁目,588.0,260.0,328.0,40.0,45.0,53.0,69.0,55.0,39.0,53.0,59.0,73.0,87.0,53.0,54.0,32.0,33.0,41.0,34.0,12.0,8.0,8.0,0.0,0.0
出水３丁目,1423.0,677.0,746.0,140.0,121.0,138.0,130.0,149.0,124.0,185.0,141.0,169.0,148.0,128.0,119.0,90.0,97.0,86.0,72.0,35.0,22.0,6.0,0.0,0.0
出水４丁目,1588.0,767.0,821.0,127.0,193.0,145.0,145.0,138.0,205.0,171.0,210.0,183.0,157.0,158.0,133.0,107.0,108.0,79.0,56.0,23.0,11.0,3.0,2.0,1.0
出水５丁目,2011.0,958.0,1053.0,166.0,145.0,196.0,196.0,214.0,162.0,213.0,196.0,217.0,258.0,182.0,169.0,137.0,165.0,168.0,106.0,43.0,19.0,15.0,2.0,0.0
出水６丁目,3509.0,1688.0,1821.0,347.0,273.0,321.0,428.0,410.0,461.0,388.0,360.0,382.0,426.0,371.0,303.0,233.0,212.0,146.0,57.0,35.0,32.0,10.0,2.0,0.0
出水７丁目,2573.0,1228.0,1345.0,138.0,180.0,248.0,250.0,266.0,222.0,174.0,210.0,223.0,278.0,286.0,277.0,340.0,264.0,207.0,109.0,68.0,35.0,17.0,6.0,3.0
出水８丁目,1854.0,851.0,1003.0,133.0,150.0,203.0,189.0,131.0,184.0,154.0,168.0,212.0,195.0,196.0,161.0,122.0,200.0,131.0,95.0,42.0,28.0,7.0,2.0,2.0
和泉町,386.0,185.0,201.0,15.0,30.0,51.0,38.0,41.0,26.0,18.0,29.0,40.0,48.0,47.0,31.0,31.0,42.0,43.0,14.0,13.0,10.0,3.0,1.0,0.0
板屋町,38.0,15.0,23.0,0.0,3.0,0.0,4.0,6.0,2.0,3.0,0.0,2.0,6.0,5.0,2.0,1.0,4.0,4.0,7.0,2.0,2.0,0.0,0.0,0.0
出仲間１丁目,711.0,352.0,359.0,67.0,83.0,89.0,88.0,68.0,79.0,96.0,100.0,104.0,97.0,57.0,33.0,33.0,20.0,18.0,17.0,7.0,1.0,6.0,0.0,0.0
出仲間２丁目,498.0,222.0,276.0,38.0,30.0,39.0,37.0,40.0,55.0,40.0,42.0,52.0,47.0,57.0,53.0,43.0,44.0,36.0,33.0,23.0,7.0,1.0,3.0,0.0
出仲間３丁目,352.0,171.0,181.0,39.0,21.0,60.0,45.0,45.0,29.0,26.0,33.0,55.0,62.0,43.0,21.0,13.0,8.0,10.0,5.0,6.0,2.0,0.0,0.0,0.0
出仲間４丁目,785.0,367.0,418.0,63.0,73.0,71.0,82.0,69.0,78.0,76.0,64.0,75.0,90.0,75.0,112.0,86.0,66.0,29.0,19.0,14.0,7.0,2.0,1.0,0.0
出仲間５丁目,461.0,215.0,246.0,43.0,49.0,29.0,52.0,54.0,84.0,51.0,48.0,50.0,49.0,36.0,25.0,42.0,28.0,14.0,8.0,7.0,7.0,0.0,0.0,0.0
出仲間６丁目,937.0,458.0,479.0,122.0,98.0,72.0,115.0,103.0,115.0,91.0,118.0,114.0,136.0,86.0,49.0,55.0,51.0,37.0,20.0,5.0,5.0,3.0,0.0,0.0
出仲間７丁目,1127.0,512.0,615.0,110.0,114.0,113.0,132.0,85.0,106.0,125.0,130.0,148.0,115.0,102.0,78.0,69.0,80.0,62.0,34.0,16.0,17.0,3.0,0.0,0.0
出仲間８丁目,329.0,160.0,169.0,25.0,27.0,20.0,27.0,26.0,33.0,28.0,44.0,53.0,25.0,31.0,48.0,41.0,23.0,6.0,10.0,14.0,6.0,2.0,0.0,0.0
出仲間９丁目,146.0,76.0,70.0,33.0,27.0,10.0,7.0,17.0,26.0,37.0,23.0,10.0,12.0,5.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
今町,314.0,141.0,173.0,13.0,20.0,22.0,24.0,35.0,23.0,30.0,26.0,27.0,34.0,33.0,42.0,29.0,28.0,26.0,19.0,12.0,9.0,1.0,2.0,0.0
魚屋町１丁目,26.0,6.0,20.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
魚屋町２丁目,32.0,15.0,17.0,1.0,4.0,7.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,7.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
魚屋町３丁目,65.0,33.0,32.0,7.0,2.0,0.0,4.0,7.0,22.0,17.0,4.0,4.0,4.0,1.0,4.0,8.0,3.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0
海路口町,2126.0,1018.0,1108.0,120.0,153.0,185.0,210.0,165.0,152.0,165.0,175.0,236.0,242.0,201.0,218.0,238.0,230.0,196.0,109.0,78.0,54.0,14.0,3.0,0.0
薄場町,1972.0,922.0,1050.0,176.0,168.0,207.0,195.0,158.0,194.0,226.0,183.0,190.0,201.0,209.0,130.0,134.0,167.0,176.0,83.0,57.0,26.0,11.0,3.0,0.0
打越町,1901.0,907.0,994.0,134.0,148.0,163.0,173.0,200.0,224.0,164.0,179.0,186.0,244.0,199.0,178.0,148.0,181.0,118.0,85.0,43.0,23.0,9.0,7.0,2.0
内田町,1325.0,648.0,677.0,71.0,115.0,118.0,127.0,99.0,135.0,118.0,112.0,165.0,145.0,138.0,123.0,141.0,119.0,97.0,80.0,35.0,18.0,16.0,0.0,1.0
内坪井町,706.0,306.0,400.0,43.0,29.0,27.0,68.0,69.0,92.0,69.0,58.0,57.0,86.0,85.0,70.0,67.0,57.0,54.0,43.0,17.0,14.0,7.0,0.0,0.0
江越１丁目,544.0,276.0,268.0,114.0,54.0,40.0,38.0,48.0,118.0,126.0,106.0,47.0,22.0,27.0,21.0,15.0,17.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0
江越２丁目,272.0,132.0,140.0,42.0,32.0,20.0,20.0,22.0,60.0,78.0,34.0,21.0,23.0,16.0,8.0,8.0,9.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0
画図町大字上無田,775.0,370.0,405.0,62.0,59.0,75.0,84.0,86.0,100.0,65.0,67.0,77.0,84.0,100.0,57.0,63.0,42.0,35.0,38.0,26.0,17.0,8.0,0.0,0.0
画図町大字重富,1397.0,698.0,699.0,86.0,183.0,209.0,181.0,104.0,81.0,99.0,156.0,239.0,216.0,153.0,114.0,84.0,59.0,50.0,33.0,22.0,17.0,7.0,1.0,1.0
画図町大字下江津,2688.0,1263.0,1425.0,186.0,207.0,264.0,283.0,275.0,288.0,220.0,244.0,264.0,333.0,315.0,278.0,243.0,190.0,148.0,122.0,58.0,23.0,4.0,6.0,0.0
画図町大字下無田,1032.0,489.0,543.0,56.0,81.0,101.0,92.0,84.0,95.0,61.0,84.0,83.0,154.0,130.0,106.0,95.0,82.0,74.0,57.0,48.0,24.0,11.0,2.0,1.0
画図町大字所島,695.0,347.0,348.0,36.0,45.0,86.0,94.0,74.0,71.0,48.0,54.0,81.0,104.0,79.0,76.0,43.0,47.0,31.0,34.0,15.0,16.0,7.0,1.0,0.0
