町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,640.0,303.0,337.0,26.0,35.0,28.0,20.0,33.0,47.0,42.0,39.0,32.0,44.0,38.0,62.0,48.0,35.0,41.0,24.0,17.0,15.0,11.0,3.0,0.0
秋津１丁目,749.0,352.0,397.0,37.0,43.0,35.0,44.0,59.0,36.0,51.0,63.0,51.0,51.0,59.0,41.0,38.0,36.0,33.0,27.0,20.0,14.0,8.0,3.0,0.0
秋津２丁目,1004.0,479.0,525.0,67.0,58.0,64.0,67.0,57.0,66.0,77.0,70.0,68.0,82.0,61.0,77.0,42.0,25.0,38.0,45.0,28.0,4.0,5.0,3.0,0.0
秋津３丁目,724.0,351.0,373.0,54.0,53.0,47.0,32.0,39.0,42.0,83.0,53.0,58.0,39.0,39.0,56.0,32.0,42.0,13.0,19.0,12.0,9.0,2.0,0.0,0.0
秋津新町,113.0,49.0,64.0,0.0,3.0,7.0,4.0,6.0,4.0,4.0,3.0,12.0,6.0,5.0,15.0,7.0,4.0,12.0,7.0,7.0,3.0,3.0,1.0,0.0
秋津町秋田,2615.0,1214.0,1401.0,90.0,159.0,199.0,256.0,177.0,120.0,145.0,145.0,173.0,242.0,205.0,207.0,117.0,98.0,93.0,61.0,48.0,43.0,27.0,9.0,1.0
秋津町沼山津,14.0,5.0,9.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
荒尾町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
改寄町,1372.0,646.0,726.0,84.0,66.0,78.0,71.0,79.0,112.0,99.0,74.0,85.0,86.0,96.0,110.0,62.0,84.0,66.0,47.0,32.0,29.0,11.0,1.0,0.0
安政町,120.0,48.0,72.0,4.0,5.0,2.0,0.0,14.0,7.0,8.0,5.0,7.0,6.0,10.0,12.0,7.0,4.0,6.0,6.0,6.0,5.0,5.0,0.0,1.0
井川淵町,134.0,60.0,74.0,8.0,8.0,2.0,0.0,2.0,6.0,14.0,6.0,4.0,10.0,4.0,13.0,7.0,12.0,15.0,6.0,12.0,3.0,0.0,1.0,1.0
池亀町,683.0,349.0,334.0,19.0,16.0,26.0,49.0,67.0,34.0,26.0,25.0,34.0,37.0,60.0,67.0,58.0,44.0,37.0,32.0,26.0,16.0,10.0,0.0,0.0
池田１丁目,2871.0,1320.0,1551.0,129.0,179.0,177.0,137.0,161.0,150.0,179.0,200.0,225.0,225.0,201.0,217.0,132.0,113.0,136.0,137.0,86.0,54.0,21.0,11.0,1.0
池田２丁目,2695.0,1294.0,1401.0,112.0,146.0,107.0,121.0,195.0,169.0,167.0,168.0,152.0,132.0,179.0,217.0,190.0,147.0,157.0,157.0,104.0,49.0,20.0,6.0,0.0
池田３丁目,2720.0,1291.0,1429.0,86.0,106.0,109.0,168.0,186.0,145.0,149.0,134.0,159.0,151.0,157.0,238.0,174.0,175.0,187.0,187.0,118.0,55.0,27.0,7.0,2.0
池田４丁目,602.0,347.0,255.0,22.0,16.0,12.0,54.0,110.0,55.0,44.0,23.0,26.0,19.0,35.0,54.0,34.0,22.0,30.0,15.0,22.0,4.0,3.0,1.0,1.0
池上町,216.0,98.0,118.0,11.0,6.0,13.0,12.0,23.0,14.0,14.0,9.0,6.0,22.0,17.0,28.0,7.0,9.0,3.0,13.0,3.0,3.0,3.0,0.0,0.0
石原町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
