人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,639,304,335
秋津１丁目,,,
総数,771,356,415
秋津２丁目,,,
総数,999,473,526
秋津３丁目,,,
総数,722,351,371
秋津新町,,,
総数,114,48,66
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,572","1,187","1,385"
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
総数,120,62,58
総数,777,386,391
総数,"1,090",524,566
総数,"1,534",724,810
総数,"1,191",563,628
総数,336,154,182
総数,0,0,0
総数,13,5,8
荒尾町,【秘匿】白藤１丁目を含みます,,
総数,χ,χ,χ
改寄町,,,
総数,"1,363",643,720
安政町,,,
総数,123,53,70
井川淵町,,,
総数,153,67,86
池亀町,,,
総数,687,352,335
池田１丁目,,,
総数,"2,776","1,267","1,509"
池田２丁目,,,
総数,"2,667","1,270","1,397"
池田３丁目,,,
総数,"2,700","1,283","1,417"
池田４丁目,,,
総数,589,328,261
池上町,,,
総数,"2,361","1,086","1,275"
総数,600,293,307
総数,270,119,151
総数,226,99,127
石原町,【秘匿】上南部３丁目を含みます,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,254",570,684
出水２丁目,,,
総数,611,268,343
出水３丁目,,,
総数,"1,276",570,706
出水４丁目,,,
総数,"1,510",730,780
出水５丁目,,,
総数,"1,948",930,"1,018"
出水６丁目,,,
総数,"3,573","1,703","1,870"
出水７丁目,,,
総数,"2,624","1,231","1,393"
出水８丁目,,,
総数,"1,841",831,"1,010"
和泉町,,,
総数,374,187,187
板屋町,,,
総数,26,12,14
出仲間１丁目,,,
総数,711,346,365
出仲間２丁目,,,
総数,444,200,244
出仲間３丁目,,,
総数,807,399,408
出仲間４丁目,,,
総数,"1,163",551,612
出仲間５丁目,,,
総数,732,341,391
出仲間６丁目,,,
総数,968,478,490
出仲間７丁目,,,
総数,"1,073",485,588
出仲間８丁目,,,
総数,626,313,313
出仲間９丁目,,,
総数,231,104,127
今町,,,
総数,286,130,156
魚屋町１丁目,,,
総数,14,4,10
