町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,630,298,332,18,34,36,26,19,24,45,44,38,32,42,36,70,38,41,33,23,14,9,7,1
秋津１丁目,770,364,406,40,38,50,41,42,40,45,60,63,62,50,48,40,34,35,31,21,17,6,5,2
秋津２丁目,1058,502,556,56,75,59,74,65,65,78,79,74,68,74,72,63,34,29,39,33,17,3,1,0
秋津３丁目,705,332,373,39,60,48,38,34,31,50,65,50,52,38,34,57,34,30,12,18,8,5,1,1
秋津新町,108,49,59,0,0,5,9,2,9,3,6,3,13,3,9,14,8,5,6,4,6,2,1,0
秋津町秋田,2486,1124,1362,65,122,156,196,190,125,112,133,143,184,221,189,197,116,101,84,68,37,30,13,4
秋津町沼山津,65,29,36,12,1,3,3,3,11,8,8,5,2,4,1,2,1,0,0,1,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1349,625,724,73,64,60,76,60,91,98,91,71,78,91,104,101,70,80,59,41,19,16,6,0
安政町,115,47,68,4,5,5,2,4,8,5,11,8,8,8,5,14,5,3,6,4,4,2,4,0
井川淵町,155,65,90,4,11,7,3,2,9,14,10,9,10,11,10,8,7,15,9,7,7,2,0,0
池亀町,676,341,335,19,19,13,38,51,30,25,41,26,45,43,60,76,58,41,36,25,21,8,1,0
池田１丁目,2748,1283,1465,104,130,182,170,127,131,139,176,214,223,184,197,204,125,109,132,110,55,29,6,1
池田２丁目,2578,1226,1352,90,117,146,138,148,119,141,164,185,145,155,155,212,163,127,149,121,74,21,8,0
池田３丁目,2643,1254,1389,89,66,106,122,171,120,144,123,135,168,160,164,251,188,168,184,160,84,29,9,2
池田４丁目,585,332,253,15,17,16,42,101,52,31,36,17,28,26,35,60,28,22,27,16,13,2,1,0
池上町,232,108,124,8,12,5,10,19,22,20,13,8,8,23,23,27,9,5,5,12,0,3,0,0
