人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,672,318,354,33,54,53,56,30,44,61,73,71,65,56,59,68,92,47,55,35,20,9,8,1
秋津１丁目,756,364,392,47,67,78,50,51,67,66,83,93,76,91,88,43,61,36,51,37,18,14,3,0
秋津２丁目,1059,498,561,88,98,101,93,84,118,85,126,100,106,127,99,99,64,40,49,51,24,3,1,1
秋津３丁目,766,375,391,88,75,88,55,64,66,86,98,77,85,58,55,77,49,54,25,25,7,8,1,0
秋津新町,96,43,53,0,0,2,11,10,3,7,6,6,6,12,6,20,12,6,11,6,6,3,6,0
秋津町秋田,2427,1099,1328,76,135,220,260,259,203,172,153,196,228,314,295,326,206,147,126,100,61,32,13,4
秋津町沼山津,66,30,36,16,9,5,2,1,16,14,9,9,3,6,2,2,1,0,0,1,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1346,636,710,115,82,88,107,96,114,142,127,112,126,129,147,169,100,103,99,69,28,17,12,0
安政町,111,46,65,3,6,10,3,1,15,8,12,14,10,12,8,20,7,5,6,6,7,2,2,0
井川淵町,143,61,82,7,13,12,3,4,15,16,18,10,16,14,6,9,13,17,15,8,7,1,0,0
池亀町,681,349,332,25,29,21,43,79,68,50,63,51,53,61,85,114,93,67,55,40,24,8,1,0
池田１丁目,2754,1283,1471,163,180,230,272,190,187,213,264,296,337,268,290,326,214,155,139,166,100,33,13,1
池田２丁目,673,355,318,30,19,42,64,66,60,73,47,66,51,83,61,81,91,66,48,33,26,19,2,0
池田４丁目,582,319,263,25,25,25,57,169,85,54,47,43,30,30,57,71,54,41,40,14,28,4,2,0
池上町,244,114,130,24,20,7,11,18,43,27,38,15,7,21,37,35,16,9,8,12,7,1,2,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1207,520,687,37,62,87,113,97,86,68,90,118,141,191,107,150,90,70,82,74,46,14,2,2
出水２丁目,600,275,325,29,44,49,43,41,27,45,48,70,49,77,66,92,57,46,26,29,30,3,3,1
出水３丁目,109,49,60,0,15,5,6,6,9,2,13,8,7,5,21,15,9,9,8,13,5,2,0,0
出水５丁目,1911,876,1035,106,144,179,148,126,127,110,215,207,215,142,207,235,151,131,120,102,89,27,6,0
出水６丁目,3608,1717,1891,294,330,288,300,276,336,389,447,366,333,321,354,355,279,219,210,127,66,30,4,1
出水７丁目,2455,1143,1312,140,145,152,157,159,168,213,223,196,211,219,214,266,270,244,260,199,114,36,10,2
出水８丁目,1811,848,963,127,89,141,154,143,143,127,160,148,180,182,222,174,186,132,125,129,69,22,6,0
和泉町,363,180,183,10,24,39,20,26,35,26,38,19,23,26,49,54,40,25,27,34,23,5,0,0
板屋町,25,10,15,0,2,0,1,0,0,4,5,0,1,0,2,6,2,1,2,2,3,2,2,0
出仲間１丁目,730,339,391,59,70,52,58,54,81,82,83,68,53,94,93,80,50,29,26,19,12,6,0,0
出仲間２丁目,469,209,260,27,46,31,32,35,34,34,51,48,41,33,37,40,45,46,43,31,8,16,0,0
出仲間３丁目,730,363,367,101,72,73,58,56,95,120,114,72,67,62,68,58,28,21,7,12,6,3,0,0
出仲間４丁目,1211,585,626,118,126,132,103,75,65,105,180,146,144,88,83,91,81,111,83,39,18,4,4,0
出仲間５丁目,719,354,365,81,89,79,55,46,47,63,100,111,103,62,47,47,36,32,33,27,14,1,0,0
出仲間６丁目,1036,500,536,91,84,88,81,93,102,115,117,115,114,99,94,137,55,39,47,38,23,1,1,2
出仲間７丁目,1095,488,607,90,98,97,108,91,101,110,102,101,110,105,102,101,75,58,46,49,28,7,3,1
出仲間８丁目,610,293,317,44,43,75,71,49,28,57,58,89,77,63,53,46,37,40,34,20,8,5,6,0
出仲間９丁目,215,98,117,31,19,9,16,26,51,43,36,24,13,6,9,11,12,5,0,0,2,0,0,0
今町,934,418,516,35,40,55,79,51,66,44,53,89,70,69,118,131,115,101,72,78,41,36,9,0
魚屋町１丁目,16,5,11,0,0,0,0,1,1,1,0,3,1,0,4,3,5,0,0,1,1,0,0,0
魚屋町２丁目,15,6,9,0,2,0,1,0,0,0,1,1,1,2,0,0,5,4,2,2,0,0,0,0
魚屋町３丁目,6,4,2,0,0,0,0,0,0,2,0,0,0,0,1,5,2,0,0,0,0,0,0,0
海路口町,271,135,136,33,23,27,27,13,19,34,39,27,30,27,20,19,17,12,17,15,5,2,0,0
薄場町,42,19,23,4,8,3,3,2,0,4,13,8,2,0,2,6,1,2,0,1,2,0,0,0
打越町,1767,851,916,97,90,136,128,130,174,130,166,183,160,181,150,254,186,146,115,111,53,24,2,2
内田町,1241,609,632,61,75,103,90,105,75,77,110,106,108,144,138,158,109,117,104,97,43,22,8,0
内坪井町,794,356,438,65,70,66,35,30,67,74,80,117,60,54,63,93,64,68,54,40,31,13,5,1
江越１丁目,812,390,422,83,68,66,66,77,92,101,113,135,128,71,62,44,31,19,16,16,11,2,1,0
江越２丁目,268,121,147,34,23,7,12,14,35,48,34,15,16,18,29,35,28,10,8,12,7,2,1,1
画図町大字上無田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字重富,2226,1033,1193,221,202,150,153,194,196,201,243,187,174,198,262,265,212,166,104,78,34,13,6,0
画図町大字下江津,12,4,8,1,3,0,0,0,1,2,0,0,1,1,0,2,0,2,1,2,0,0,0,0
画図町大字下無田,907,429,478,48,46,55,68,72,52,40,81,70,65,87,93,164,99,105,76,59,31,16,8,1
