人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,854,413,441,89,91,72,53,39,50,66,111,100,84,81,73,65,58,69,79,35,33,12,4,3
秋津１丁目,723,361,362,47,55,46,63,58,38,47,51,61,93,103,68,88,77,41,50,29,33,24,11,1
秋津２丁目,1066,495,571,87,89,98,109,79,87,98,118,79,134,100,105,99,78,79,49,28,26,16,1,2
秋津３丁目,876,408,468,65,82,106,86,65,55,72,90,81,87,79,82,58,69,79,44,44,17,19,2,2
秋津新町,338,144,194,41,39,16,8,10,26,48,61,52,34,26,22,20,21,20,13,9,8,3,5,0
秋津町秋田,1922,859,1063,47,72,80,125,115,88,127,108,134,126,150,176,316,293,309,206,130,104,55,17,3
秋津町沼山津,86,37,49,8,21,7,7,6,7,10,13,13,9,9,3,6,2,1,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1209,566,643,48,67,111,76,55,65,62,112,116,120,98,129,138,143,161,79,79,75,31,9,1
安政町,78,30,48,0,2,0,6,6,5,4,4,9,6,9,8,8,9,19,4,4,3,1,1,0
井川淵町,163,71,92,8,8,7,6,19,17,15,14,13,18,21,5,15,7,9,11,17,18,3,3,0
池亀町,738,382,356,46,42,31,48,84,72,61,65,56,62,64,54,64,78,93,88,61,29,16,4,2
池田１丁目,2517,1199,1318,121,170,171,191,162,142,141,189,262,273,266,287,276,270,320,179,118,95,55,25,3
池田２丁目,2633,1267,1366,100,147,185,209,236,187,174,228,207,285,316,262,238,264,278,186,168,134,67,24,5
池田３丁目（北区）,1754,797,957,87,99,106,109,116,91,117,124,136,136,175,153,160,176,251,158,132,118,79,25,3
池田３丁目（西区）,618,339,279,26,29,22,29,72,37,59,59,79,46,71,60,91,58,59,57,49,37,12,5,0
池田４丁目,581,341,240,28,22,20,67,201,59,55,61,46,37,45,36,28,48,59,42,28,22,9,8,1
池上町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1096,460,636,36,36,44,42,71,72,82,65,76,96,119,150,169,112,126,75,76,59,39,9,2
出水２丁目,578,266,312,31,29,40,49,48,17,33,36,56,49,57,58,66,63,83,56,31,21,17,4,0
出水３丁目,1280,572,708,75,102,94,96,139,71,87,95,122,139,152,154,91,114,119,79,49,37,31,5,1
出水４丁目（中央区）,1285,618,667,88,105,119,140,91,57,89,114,93,182,136,148,116,89,107,82,67,52,18,8,2
出水４丁目（東区）,84,40,44,0,0,0,4,2,7,6,10,1,7,7,7,3,23,22,12,6,3,3,1,0
出水５丁目,1812,868,944,85,127,165,162,126,104,102,121,159,215,194,193,148,199,216,137,94,63,52,16,2
出水６丁目,3270,1567,1703,212,204,261,284,209,244,262,345,306,410,328,303,309,327,264,203,168,141,45,10,2
出水７丁目,2662,1241,1421,217,208,168,171,139,116,193,232,284,232,240,242,206,207,261,250,224,191,98,24,0
出水８丁目,1971,921,1050,123,198,149,135,114,120,132,194,184,181,167,176,184,221,170,159,112,93,66,13,1
和泉町,337,173,164,28,25,13,24,29,10,19,37,37,37,19,25,26,44,46,37,19,20,11,4,0
板屋町,13,7,6,0,1,0,0,0,0,0,1,1,2,4,1,0,2,4,2,1,0,1,0,0
出仲間１丁目,738,346,392,31,77,76,74,50,29,61,59,71,94,83,66,81,87,66,34,22,7,10,5,1
出仲間２丁目,518,227,291,45,45,43,45,22,24,48,34,41,68,45,45,33,44,41,41,34,27,14,4,2
出仲間３丁目,721,357,364,61,55,72,67,73,69,63,58,80,79,80,74,82,57,49,27,17,7,5,3,0
出仲間４丁目,1109,536,573,46,90,100,108,84,59,66,78,90,151,134,139,76,80,85,89,90,58,17,4,1
出仲間５丁目,684,330,354,36,48,54,80,65,60,45,58,51,105,83,110,56,41,40,30,22,20,7,2,1
出仲間６丁目,1073,501,572,78,74,85,82,84,120,130,87,102,128,92,101,81,89,114,51,34,20,15,6,1
出仲間７丁目,1094,498,596,68,90,104,109,75,51,77,102,121,92,103,116,106,90,104,65,47,40,21,11,0
出仲間８丁目,535,256,279,20,31,36,40,72,38,32,22,44,49,90,73,61,49,42,32,23,27,8,2,0
出仲間９丁目,334,163,171,30,19,26,16,64,70,32,40,35,45,20,35,7,20,17,10,6,4,0,1,0
今町,790,366,424,25,31,35,41,41,50,39,38,50,66,92,72,64,104,125,101,80,56,31,12,3
魚屋町１丁目,60,32,28,2,1,0,0,18,15,23,9,12,3,0,1,1,2,3,2,0,0,0,0,0
魚屋町２丁目,24,15,9,0,1,0,2,3,9,3,2,0,3,5,2,0,0,0,2,4,1,2,0,0
魚屋町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海路口町,269,134,135,26,26,24,15,22,22,32,23,24,31,22,26,30,18,18,17,12,7,7,1,0
薄場町,56,28,28,9,7,3,8,3,6,7,6,2,12,8,2,0,2,6,1,2,0,0,0,0
打越町,1595,777,818,70,100,113,89,107,91,120,124,139,184,156,138,158,159,223,155,107,61,54,19,5
内田町,1191,582,609,49,93,87,75,77,60,89,90,92,123,111,116,143,133,147,92,85,68,33,7,3
内坪井町,665,299,366,15,31,62,58,47,43,61,48,65,70,96,48,48,56,75,42,39,31,21,7,1
江越１丁目,816,394,422,75,41,35,46,94,112,87,78,75,89,129,100,75,57,47,32,18,9,7,4,0
江越２丁目,2564,1203,1361,164,278,308,196,126,82,149,226,320,288,199,182,212,302,271,217,122,65,48,11,1
画図町大字上無田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字重富,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字下江津,15,6,9,0,1,3,0,0,2,2,3,0,0,0,0,1,2,2,2,0,1,2,0,0
画図町大字下無田,1335,633,702,147,152,118,84,56,100,151,175,139,133,86,81,76,96,160,80,69,43,18,3,1
画図町大字所島,899,431,468,68,74,105,82,56,42,67,79,89,105,76,65,71,89,105,56,41,21,24,11,4
江津１丁目,1244,577,667,58,54,63,82,89,77,92,92,97,124,136,123,148,148,100,125,76,72,52,12,1
江津２丁目（中央区）,83,39,44,5,9,5,2,2,3,6,7,7,4,9,19,10,4,9,12,6,2,0,1,0
江津２丁目（東区）,207,95,112,6,16,17,9,15,7,13,13,21,25,20,13,22,20,19,20,32,9,5,0,0
榎町,2059,995,1064,98,171,183,161,116,92,102,160,192,218,195,223,199,232,247,181,145,88,42,7,2
大江１丁目,2149,1089,1060,79,81,112,145,341,207,161,170,196,191,247,239,178,252,214,174,119,72,45,11,4
大江２丁目,1615,798,817,113,217,144,99,140,116,163,176,226,187,126,155,112,120,106,77,63,40,22,8,3
大江３丁目,2076,1010,1066,195,272,240,201,175,108,115,229,299,254,268,185,140,101,113,72,46,35,25,12,1
大江４丁目,1611,693,918,70,100,97,135,111,121,108,115,142,190,169,171,190,124,162,119,90,41,40,8,1
大江５丁目,808,352,456,22,33,44,39,109,74,63,43,59,68,89,123,76,64,97,62,33,34,20,6,2
大江６丁目,1722,771,951,79,129,170,155,152,106,81,109,150,264,273,198,151,117,112,103,70,33,28,11,2
大江本町,498,217,281,27,17,21,20,38,47,53,49,38,55,60,42,63,54,41,39,25,20,6,0,0
大窪１丁目,213,99,114,12,10,5,18,11,24,29,19,22,26,7,11,21,20,19,19,15,10,14,0,0
大窪２丁目,288,155,133,5,7,15,8,25,29,17,23,20,33,28,27,39,43,63,31,4,16,7,2,1
大窪３丁目,324,162,162,13,16,15,16,25,24,27,57,36,34,25,27,9,47,40,33,21,11,7,3,0
大窪４丁目,311,155,156,21,10,8,4,41,45,58,32,35,45,37,18,19,20,40,7,17,7,1,1,0
大窪５丁目,709,325,384,25,25,35,29,40,43,37,60,57,49,75,70,68,95,104,89,74,30,23,5,1
大鳥居町,194,97,97,2,21,13,5,6,5,13,22,13,16,18,13,25,36,27,13,12,9,18,4,0
岡田町,463,220,243,26,23,30,38,37,35,37,42,27,61,52,50,38,47,31,38,31,28,6,3,3
沖新町,1663,791,872,55,102,107,115,143,88,98,139,100,126,159,221,223,154,171,157,138,94,51,11,2
奥古閑町,852,428,424,64,84,40,69,77,64,72,87,89,63,87,100,92,102,83,31,26,26,16,6,2
小島上町,86,44,42,3,4,5,3,2,0,11,3,2,10,7,6,5,11,19,15,11,10,2,1,0
小島下町,549,271,278,17,35,33,37,26,14,41,35,47,47,38,52,52,73,103,48,57,36,23,5,1
尾ノ上１丁目,1852,872,980,128,120,118,138,113,134,161,159,174,216,196,177,180,184,181,140,90,57,41,16,1
尾ノ上２丁目,1416,668,748,55,80,122,136,106,91,82,121,121,131,151,156,189,200,141,68,55,49,19,11,0
尾ノ上３丁目,1131,484,647,50,60,58,80,68,69,69,81,92,129,112,123,154,135,118,81,59,36,31,9,1
尾ノ上４丁目,2263,1050,1213,103,111,182,150,194,145,171,215,215,252,301,270,215,186,185,164,111,76,48,16,3
帯山１丁目,2462,1109,1353,114,160,202,185,195,122,152,147,218,242,283,256,263,204,261,218,144,126,61,17,1
帯山２丁目,1551,687,864,93,101,100,143,130,136,124,136,137,196,147,153,158,123,122,75,70,57,27,9,1
帯山３丁目,2762,1311,1451,177,236,263,292,220,155,173,209,290,333,298,280,213,247,226,158,123,85,66,23,6
帯山４丁目（中央区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帯山４丁目（東区）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
帯山５丁目,2255,1030,1225,101,154,170,146,133,131,140,170,177,208,222,190,261,271,244,187,153,108,91,26,2
帯山６丁目,916,436,480,66,67,71,69,78,46,60,95,81,83,98,95,75,98,100,54,37,43,26,10,0
帯山７丁目,2341,1130,1211,134,157,175,178,194,177,174,219,231,248,274,224,233,239,224,153,122,72,25,13,5
帯山８丁目,489,235,254,24,30,44,26,37,49,36,32,50,37,66,53,61,51,58,35,11,13,9,2,0
帯山９丁目,803,358,445,31,42,51,67,55,54,53,68,62,90,93,97,109,91,81,42,34,27,13,1,0
小峯１丁目,600,286,314,43,62,61,58,41,24,18,54,81,68,57,43,48,54,47,55,25,22,19,6,0
小峯２丁目,1174,549,625,60,91,92,81,88,106,85,113,112,154,122,126,119,82,107,88,49,23,14,11,0
小峯３丁目,1196,559,637,110,93,66,70,102,132,178,141,118,115,108,103,97,79,74,60,44,33,19,13,0
小峯４丁目,604,310,294,155,103,54,24,31,69,111,113,81,44,27,29,22,10,17,12,8,2,0,2,0
小山町,715,338,377,90,91,56,29,11,44,72,108,75,35,24,45,47,56,73,54,75,29,30,7,2
鹿帰瀬町,354,179,175,33,33,21,14,15,19,34,42,38,24,17,28,32,48,60,26,21,14,13,1,0
梶尾町,3914,1858,2056,289,325,271,270,268,293,259,332,387,402,414,375,370,380,397,245,228,152,92,20,3
鍛冶屋町,217,103,114,5,32,24,7,9,8,9,15,36,43,36,24,23,22,6,8,7,3,1,2,0
春日１丁目,1251,566,685,48,63,85,69,113,119,93,106,117,123,163,146,130,119,117,73,59,38,31,5,0
春日２丁目,624,305,319,55,47,32,39,34,48,62,69,88,77,68,70,64,48,57,30,16,16,4,5,0
春日３丁目,1016,480,536,86,64,48,34,84,151,137,140,146,151,119,85,51,53,53,33,30,18,9,4,0
春日４丁目,1245,588,657,75,78,85,78,82,92,93,100,93,159,116,92,113,120,134,102,94,69,40,17,1
春日５丁目,619,303,316,74,50,16,26,27,29,88,67,66,56,74,62,61,45,60,63,33,12,8,4,1
春日６丁目,435,189,246,20,23,40,21,29,9,34,50,16,37,44,31,39,47,54,42,36,30,15,6,1
春日７丁目,1454,663,791,110,77,60,82,111,175,141,140,130,138,146,127,119,120,137,94,86,61,39,17,7
春日８丁目,814,376,438,62,64,87,62,32,57,80,82,57,98,66,74,71,69,76,34,50,46,18,5,0
鹿子木町,1185,528,657,91,94,96,84,101,89,75,89,101,132,130,90,74,104,138,87,69,47,16,4,2
釜尾町,156,77,79,7,8,7,1,15,10,11,3,9,12,12,6,20,21,46,8,12,5,14,6,0
上鍛冶屋町,206,77,129,7,6,15,4,24,27,30,12,16,21,23,21,11,19,21,13,6,4,3,0,0
上京塚町,110,49,61,1,1,0,6,16,16,14,18,18,5,13,25,10,8,2,0,2,3,1,0,0
上熊本１丁目,1438,667,771,106,87,74,86,85,88,85,154,162,192,139,111,140,145,163,118,83,46,31,9,1
上熊本２丁目,1024,481,543,67,39,52,68,93,107,115,91,103,116,130,99,93,96,81,57,41,19,26,10,2
上熊本３丁目,1933,876,1057,158,140,108,172,213,129,172,183,157,185,195,148,164,239,152,111,99,55,24,5,0
上水前寺１丁目,567,250,317,51,18,25,26,43,71,109,69,54,58,50,47,29,29,35,35,28,21,11,7,1
上水前寺２丁目,677,316,361,18,30,40,55,38,34,28,40,67,69,67,69,77,93,85,90,40,31,19,3,0
上通町,821,399,422,42,52,61,76,47,71,46,78,65,81,103,92,77,66,80,76,36,44,23,2,2
上南部町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上林町,299,154,145,4,12,11,19,11,10,13,7,7,41,35,26,42,29,59,45,39,25,11,5,2
