人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,854,413,441
秋津１丁目,,,
総数,723,361,362
秋津２丁目,,,
総数,"1,066",495,571
秋津３丁目,,,
総数,876,408,468
秋津新町,,,
総数,338,144,194
秋津町秋田,,,
総数,"1,922",859,"1,063"
秋津町沼山津,,,
総数,0,0,0
総数,124,48,76
総数,909,423,486
総数,"1,010",475,535
総数,"1,503",695,808
総数,"1,156",539,617
総数,501,232,269
総数,14,7,7
総数,86,37,49
荒尾町,,,
総数,0,0,0
改寄町,,,
総数,"1,209",566,643
安政町,,,
総数,78,30,48
井川淵町,,,
総数,163,71,92
池亀町,,,
総数,738,382,356
池田１丁目,,,
総数,"2,517","1,199","1,318"
池田２丁目,,,
総数,"2,633","1,267","1,366"
池田３丁目,,,
総数,"1,754",797,957
池田３丁目,,,
総数,618,339,279
池田４丁目,,,
総数,581,341,240
池上町,,,
総数,"2,087","1,011","1,076"
総数,484,231,253
総数,263,126,137
総数,206,105,101
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,096",460,636
出水２丁目,,,
総数,578,266,312
出水３丁目,,,
総数,"1,280",572,708
出水４丁目,,,
総数,"1,285",618,667
出水４丁目,,,
総数,84,40,44
出水５丁目,,,
総数,"1,812",868,944
出水６丁目,,,
総数,"3,270","1,567","1,703"
出水７丁目,,,
総数,"2,662","1,241","1,421"
出水８丁目,,,
総数,"1,971",921,"1,050"
和泉町,,,
総数,337,173,164
板屋町,,,
総数,13,7,6
出仲間１丁目,,,
総数,738,346,392
出仲間２丁目,,,
総数,518,227,291
出仲間３丁目,,,
総数,721,357,364
出仲間４丁目,,,
総数,"1,109",536,573
出仲間５丁目,,,
総数,684,330,354
出仲間６丁目,,,
総数,"1,073",501,572
出仲間７丁目,,,
総数,"1,094",498,596
出仲間８丁目,,,
総数,535,256,279
出仲間９丁目,,,
総数,334,163,171
今町,,,
総数,385,180,205
総数,725,348,377
総数,254,125,129
総数,126,61,65
総数,349,165,184
総数,458,225,233
総数,"2,554","1,251","1,303"
総数,726,335,391
総数,299,144,155
総数,121,59,62
総数,403,191,212
総数,269,122,147
総数,215,110,105
総数,436,206,230
総数,610,313,297
総数,825,399,426
総数,786,368,418
総数,692,345,347
総数,507,243,264
総数,234,113,121
総数,220,108,112
総数,508,254,254
総数,149,65,84
総数,"2,085",949,"1,136"
総数,549,248,301
総数,"2,786","1,330","1,456"
総数,672,303,369
総数,653,303,350
総数,278,135,143
総数,692,349,343
総数,590,278,312
総数,62,32,30
総数,"1,887",946,941
総数,315,146,169
総数,507,242,265
総数,303,152,151
総数,"1,999",960,"1,039"
総数,161,79,82
総数,235,117,118
総数,915,464,451
総数,172,74,98
総数,497,238,259
総数,481,222,259
総数,790,366,424
