町丁名,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,875,417,458,46,72,50,42,26,35,50,64,64,66,59,50,49,35,40,62,24,26,10,4,1
秋津１丁目,709,354,355,27,35,32,31,40,27,28,37,40,58,64,48,56,48,32,35,20,23,19,8,1
秋津２丁目,1066,490,576,61,57,72,74,64,53,61,75,66,82,66,71,69,59,50,34,15,23,11,2,1
秋津３丁目,862,402,460,45,52,73,50,44,43,42,63,47,61,59,54,41,46,43,37,33,17,8,4,0
秋津新町,334,145,189,23,33,12,9,7,17,29,36,33,24,22,18,16,12,17,8,8,4,3,2,1
秋津町秋田,1916,859,1057,47,44,53,75,70,56,68,92,88,94,103,124,194,214,213,158,92,74,35,20,2
秋津町沼山津,99,44,55,11,12,7,4,3,11,9,10,8,5,4,7,3,3,1,1,0,0,0,0,0
荒尾町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
改寄町,1191,556,635,23,53,63,48,49,38,38,71,69,84,70,99,83,94,104,62,57,58,23,4,1
安政町,74,27,47,0,0,0,3,7,1,3,3,4,5,6,5,6,8,11,5,2,3,1,0,1
井川淵町,195,83,112,5,4,7,5,14,14,15,8,10,10,16,6,8,8,6,13,12,19,12,3,0
池亀町,755,381,374,25,22,23,39,45,55,51,46,37,32,50,40,43,47,56,51,49,28,12,3,1
池田１丁目,2513,1216,1297,77,107,111,122,112,108,116,122,160,170,181,191,187,185,205,134,86,73,41,22,3
池田２丁目,2597,1253,1344,68,100,120,132,151,116,115,138,145,179,204,184,162,169,189,141,131,80,46,20,7
池田３丁目,2445,1169,1276,89,83,87,97,120,117,109,129,137,126,149,158,176,157,205,157,142,112,63,29,3
池田４丁目,604,352,252,19,20,9,40,109,45,38,48,30,27,29,23,21,30,34,34,19,17,5,5,2
池上町,200,99,101,3,8,11,11,8,9,4,14,12,23,9,7,12,23,16,19,6,3,2,0,0
石原町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出水１丁目,1113,465,648,26,27,29,37,45,46,57,58,47,59,90,89,129,80,66,83,56,47,34,6,2
出水２丁目,598,277,321,20,24,30,29,32,16,21,30,34,35,39,44,38,46,57,45,29,12,12,3,2
出水３丁目,1253,558,695,45,63,70,63,79,55,49,66,89,80,103,118,66,75,71,60,46,22,25,7,1
出水４丁目,1380,660,720,56,73,75,90,63,42,73,83,66,114,110,99,80,79,82,74,57,34,22,7,1
出水５丁目,1786,858,928,49,72,110,100,86,81,53,79,103,128,133,138,110,130,125,111,76,48,33,19,2
出水６丁目,3231,1535,1696,129,124,154,191,160,151,171,222,208,263,230,202,199,203,191,156,133,89,47,7,1
出水７丁目,2685,1240,1445,150,155,105,115,88,85,120,161,183,181,163,159,160,128,164,161,164,154,66,21,2
出水８丁目,1959,914,1045,71,128,112,83,83,83,84,114,131,131,109,119,120,152,117,111,80,61,57,12,1
和泉町,347,176,171,18,17,12,16,16,7,15,22,23,22,19,15,21,24,31,30,14,13,8,4,0
板屋町,14,7,7,2,1,0,0,0,0,2,0,2,0,1,1,0,1,2,1,0,1,0,0,0
出仲間１丁目,732,350,382,19,38,47,55,36,24,33,38,41,63,64,49,53,60,48,25,16,9,7,6,1
出仲間２丁目,536,237,299,26,23,32,33,18,24,28,27,32,46,32,32,25,31,29,31,25,23,11,5,3
出仲間３丁目,738,365,373,45,39,48,46,42,51,40,40,50,59,56,45,54,38,41,18,14,8,3,1,0
出仲間４丁目,1081,520,561,35,49,59,64,53,40,42,44,64,79,99,96,61,58,54,60,66,41,12,4,1
出仲間５丁目,669,327,342,27,31,39,47,44,33,28,43,30,64,53,77,39,27,28,20,18,13,6,2,0
出仲間６丁目,1071,501,570,43,47,64,45,63,96,74,63,54,92,64,68,66,60,77,38,21,22,8,5,1
出仲間７丁目,1064,476,588,47,52,71,66,45,44,47,58,80,70,68,71,73,69,61,53,38,28,15,8,0
出仲間８丁目,546,267,279,15,25,25,29,34,39,20,20,28,38,55,53,39,39,18,23,24,16,4,1,1
出仲間９丁目,341,174,167,18,14,16,15,47,41,27,25,25,31,17,12,11,13,12,9,4,3,0,1,0
今町,809,383,426,12,27,22,27,19,43,42,27,34,44,53,49,49,60,83,75,65,39,30,6,3
魚屋町１丁目,67,32,35,2,2,0,0,12,15,8,6,7,6,0,2,1,3,2,1,0,0,0,0,0
魚屋町２丁目,24,12,12,0,0,1,1,1,5,3,0,1,2,2,2,0,0,0,1,3,1,1,0,0
魚屋町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海路口町,260,130,130,17,11,17,10,15,17,15,13,16,15,16,24,22,10,14,11,6,7,2,2,0
薄場町,53,26,27,3,2,3,6,2,2,8,2,3,7,5,2,1,1,1,4,1,0,0,0,0
打越町,1595,770,825,40,68,75,62,70,77,78,71,99,112,107,98,107,100,138,116,77,45,42,11,2
内田町,1161,564,597,37,55,58,46,49,32,63,51,61,75,73,81,81,94,91,73,59,50,25,5,2
内坪井町,669,298,371,16,21,35,40,35,38,35,41,42,50,66,41,27,37,37,39,30,19,15,4,1
江越１丁目,805,397,408,47,27,22,34,54,62,73,45,46,58,85,70,57,40,25,28,15,10,3,4,0
江越２丁目,279,130,149,12,23,23,11,6,11,9,19,25,25,17,9,17,13,23,19,5,8,4,0,0
画図町大字上無田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画図町大字重富,2619,1218,1401,114,182,209,132,84,67,97,157,200,214,136,128,141,202,186,171,96,51,43,8,1
画図町大字下江津,14,6,8,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,2,0,1,2,0,0
画図町大字下無田,1364,657,707,99,105,80,60,42,59,107,125,91,89,65,61,52,62,105,68,45,29,18,1,1
画図町大字所島,910,441,469,46,52,66,60,39,28,42,55,61,66,60,37,50,57,67,45,32,18,22,4,3
江津１丁目,1228,567,661,39,37,43,51,59,48,59,60,78,67,95,76,106,104,72,84,60,48,33,7,2
江津２丁目,289,133,156,7,16,16,9,11,5,14,11,21,18,19,26,22,17,13,27,23,11,3,0,0
榎町,2091,1026,1065,61,111,116,107,94,73,80,95,123,149,143,151,145,149,152,135,108,60,31,7,1
大江１丁目,2162,1086,1076,50,55,65,85,220,142,105,107,124,138,156,175,129,154,140,132,81,50,36,15,3
大江２丁目,1598,793,805,67,136,100,63,92,77,88,118,142,122,103,93,80,81,71,56,44,39,19,5,2
大江３丁目,2014,964,1050,111,168,171,116,111,71,76,133,207,164,173,123,97,71,74,54,40,26,19,7,2
大江４丁目,1650,733,917,39,61,82,90,101,75,83,68,96,136,135,120,127,87,101,102,65,41,30,10,1
大江５丁目,755,338,417,19,14,30,31,54,38,45,24,43,42,58,72,64,37,68,51,25,23,11,5,1
大江６丁目,1716,762,954,48,66,117,114,112,83,52,68,102,165,191,137,110,73,90,69,61,26,22,7,3
大江本町,512,227,285,20,14,15,15,25,40,33,34,28,29,42,32,49,36,33,29,17,13,7,1,0
大窪１丁目,221,107,114,10,6,3,11,16,15,24,11,14,17,4,9,13,19,11,14,9,7,7,1,0
大窪２丁目,278,149,129,3,3,7,4,16,22,16,12,14,15,19,13,29,23,31,26,5,11,7,1,1
大窪３丁目,315,163,152,11,14,8,10,17,14,19,31,22,19,23,14,8,21,30,24,13,9,6,2,0
大窪４丁目,302,156,146,8,7,7,5,18,41,36,18,21,29,22,14,8,17,23,12,8,5,2,1,0
