人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,696,336,360
秋津１丁目,,,
総数,575,270,305
秋津２丁目,,,
総数,849,400,449
秋津３丁目,,,
総数,608,300,308
秋津新町,,,
総数,144,66,78
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,670","1,240","1,430"
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
荒尾町,,,
総数,χ,χ,χ
改寄町,,,
総数,"1,300",618,682
安政町,,,
総数,112,54,58
井川淵町,,,
総数,173,83,90
池亀町,,,
総数,802,434,368
池田１丁目,,,
総数,"2,654","1,210","1,444"
池田２丁目,,,
総数,"2,535","1,239","1,296"
池田３丁目,,,
総数,"2,957","1,414","1,543"
池田４丁目,,,
総数,702,451,251
池上町,,,
総数,"2,607","1,211","1,396"
石原町,,,
総数,"1,031",498,533
出水１丁目,,,
総数,"1,264",565,699
出水２丁目,,,
総数,565,255,310
出水３丁目,,,
総数,"1,399",650,749
出水４丁目,,,
総数,"1,595",766,829
出水５丁目,,,
総数,"2,000",943,"1,057"
出水６丁目,,,
総数,"3,719","1,824","1,895"
出水７丁目,,,
総数,"2,586","1,210","1,376"
出水８丁目,,,
総数,"1,933",887,"1,046"
和泉町,,,
総数,382,183,199
板屋町,,,
総数,28,11,17
出仲間１丁目,,,
総数,745,362,383
出仲間２丁目,,,
総数,479,212,267
出仲間３丁目,,,
総数,381,186,195
出仲間４丁目,,,
総数,764,359,405
出仲間５丁目,,,
総数,492,234,258
出仲間６丁目,,,
総数,950,469,481
出仲間７丁目,,,
総数,"1,109",514,595
出仲間８丁目,,,
総数,348,175,173
出仲間９丁目,,,
総数,149,75,74
今町,,,
総数,304,139,165
魚屋町１丁目,,,
総数,24,4,20
魚屋町２丁目,,,
総数,29,13,16
魚屋町３丁目,,,
総数,72,31,41
海路口町,,,
総数,"2,151","1,034","1,117"
薄場町,,,
総数,33,17,16
打越町,,,
総数,"1,912",917,995
内田町,,,
総数,"1,321",651,670
内坪井町,,,
総数,698,288,410
江越１丁目,,,
総数,596,299,297
江越２丁目,,,
総数,255,121,134
画図町大字上無田,,,
総数,762,367,395
画図町大字重富,,,
総数,"1,411",703,708
画図町大字下江津,,,
総数,"2,673","1,246","1,427"
画図町大字下無田,,,
総数,"1,030",486,544
画図町大字所島,,,
総数,687,334,353
江津１丁目,,,
総数,"1,818",839,979
江津２丁目,,,
総数,"2,579","1,140","1,439"
榎町,,,
総数,"2,045",955,"1,090"
大江１丁目,,,
総数,"2,057",978,"1,079"
大江２丁目,,,
総数,"1,752",881,871
大江３丁目,,,
総数,"1,193",605,588
大江４丁目,,,
総数,"1,432",595,837
大江５丁目,,,
総数,746,316,430
大江６丁目,,,
総数,"1,073",461,612
大江本町,,,
総数,556,234,322
総数,χ,χ,χ
大窪１丁目,,,
総数,244,123,121
大窪２丁目,,,
総数,247,124,123
大窪３丁目,,,
総数,289,135,154
大窪４丁目,,,
総数,276,138,138
大窪５丁目,,,
総数,"1,024",503,521
大鳥居町,,,
総数,235,121,114
岡田町,,,
総数,561,257,304
沖新町,,,
総数,"2,182","1,046","1,136"
奥古閑町,,,
総数,"1,757",819,938
小島上町,,,
総数,873,413,460
小島下町,,,
総数,"2,700","1,289","1,411"
総数,140,60,80
尾ノ上１丁目,,,
総数,"2,084",994,"1,090"
尾ノ上２丁目,,,
総数,"1,732",871,861
尾ノ上３丁目,,,
総数,"1,426",704,722
尾ノ上４丁目,,,
総数,"2,026",983,"1,043"
帯山１丁目,,,
総数,"2,942","1,348","1,594"
帯山２丁目,,,
総数,"1,570",695,875
帯山３丁目,,,
総数,"2,725","1,295","1,430"
帯山４丁目,,,
総数,"2,774","1,298","1,476"
帯山５丁目,,,
総数,"2,766","1,280","1,486"
帯山６丁目,,,
総数,"1,010",474,536
帯山７丁目,,,
総数,"2,322","1,145","1,177"
帯山８丁目,,,
総数,649,319,330
帯山９丁目,,,
総数,847,408,439
小峯１丁目,,,
総数,541,243,298
小峯２丁目,,,
総数,"1,124",543,581
小峯３丁目,,,
総数,820,387,433
小峯４丁目,,,
総数,438,220,218
小山町,,,
総数,"6,238","3,034","3,204"
鹿帰瀬町,,,
総数,396,198,198
梶尾町,,,
総数,"3,072","1,493","1,579"
鍛冶屋町,,,
総数,79,28,51
春日１丁目,,,
総数,840,361,479
春日２丁目,,,
総数,332,153,179
春日３丁目,,,
総数,929,416,513
春日４丁目,,,
総数,"1,263",591,672
春日５丁目,,,
総数,726,342,384
春日６丁目,,,
総数,554,251,303
春日７丁目,,,
総数,"1,674",803,871
春日８丁目,,,
総数,734,338,396
総数,χ,χ,χ
鹿子木町,,,
総数,"1,396",627,769
釜尾町,,,
総数,256,125,131
上鍛冶屋町,,,
総数,184,87,97
上京塚町,,,
総数,58,35,23
上熊本１丁目,,,
総数,"1,313",591,722
上熊本２丁目,,,
総数,594,291,303
上熊本３丁目,,,
総数,"1,904",879,"1,025"
上水前寺１丁目,,,
総数,417,196,221
上水前寺２丁目,,,
総数,884,420,464
総数,"1,867",842,"1,025"
上通町,,,
総数,428,192,236
上南部町,,,
総数,68,37,31
総数,10,6,4
上林町,,,
総数,332,119,213
辛島町,,,
総数,126,44,82
総数,χ,χ,χ
川口町,,,
総数,"2,504","1,210","1,294"
川尻１丁目,,,
総数,435,203,232
川尻２丁目,,,
総数,184,91,93
川尻３丁目,,,
総数,724,349,375
川尻４丁目,,,
総数,715,318,397
川尻５丁目,,,
総数,305,141,164
川尻６丁目,,,
総数,569,265,304
総数,χ,χ,χ
河内町大多尾,,,
総数,480,236,244
河内町面木,,,
総数,78,38,40
河内町河内,,,
総数,"1,923",905,"1,018"
河内町白浜,,,
総数,"1,052",491,561
河内町岳,,,
総数,814,380,434
河内町東門寺,,,
総数,201,96,105
河内町野出,,,
総数,808,375,433
河内町船津,,,
総数,"2,340","1,103","1,237"
川端町,,,
総数,38,19,19
河原町,,,
総数,54,27,27
北迫町,,,
総数,175,82,93
北千反畑町,,,
総数,426,188,238
京塚本町,,,
総数,"1,984",906,"1,078"
京町１丁目,,,
総数,"1,296",580,716
京町２丁目,,,
総数,"1,526",669,857
京町本丁,,,
総数,"1,233",572,661
草葉町,,,
総数,276,103,173
楠１丁目,,,
総数,"1,169",509,660
楠２丁目,,,
総数,864,441,423
楠３丁目,,,
総数,422,191,231
楠４丁目,,,
総数,"1,220",582,638
楠５丁目,,,
総数,"1,091",502,589
楠６丁目,,,
総数,553,282,271
楠７丁目,,,
総数,"1,272",594,678
楠８丁目,,,
総数,965,452,513
楠野町,,,
総数,"1,176",566,610
九品寺１丁目,,,
総数,"1,174",527,647
九品寺２丁目,,,
総数,596,255,341
九品寺３丁目,,,
総数,"1,975",927,"1,048"
九品寺４丁目,,,
総数,661,292,369
九品寺５丁目,,,
総数,"1,321",638,683
九品寺６丁目,,,
総数,668,315,353
黒髪１丁目,,,
総数,"1,311",604,707
黒髪２丁目,,,
総数,"1,605",813,792
黒髪３丁目,,,
総数,925,440,485
黒髪４丁目,,,
総数,"1,383",723,660
黒髪５丁目,,,
総数,"1,704",858,846
黒髪６丁目,【秘匿】黒髪８丁目、黒髪町大字坪井を含みます,,
総数,"1,932",967,965
黒髪７丁目,,,
総数,894,468,426
黒髪８丁目,【秘匿】黒髪６丁目を含みます,,
総数,χ,χ,χ
黒髪町大字坪井,【秘匿】黒髪６丁目を含みます,,
総数,χ,χ,χ
神水１丁目,,,
総数,"1,620",729,891
神水２丁目,,,
総数,711,322,389
神水本町,,,
総数,"1,604",712,892
慶徳堀町,,,
総数,20,9,11
健軍１丁目,,,
総数,"1,464",679,785
健軍２丁目,,,
総数,"1,265",734,531
健軍３丁目,,,
総数,"2,473","1,182","1,291"
健軍４丁目,,,
総数,"1,900",871,"1,029"
健軍５丁目,,,
総数,219,97,122
健軍本町,,,
総数,"2,453","1,154","1,299"
総数,251,125,126
小糸山町,,,
総数,524,243,281
総数,χ,χ,χ
幸田１丁目,,,
総数,503,257,246
幸田２丁目,,,
総数,588,275,313
紺屋阿弥陀寺町,,,
総数,26,10,16
紺屋今町,,,
総数,105,44,61
紺屋町１丁目,,,
総数,24,13,11
紺屋町２丁目,,,
総数,39,15,24
紺屋町３丁目,,,
総数,96,43,53
子飼本町,,,
総数,646,317,329
国府１丁目,,,
総数,"1,420",637,783
国府２丁目,,,
総数,"2,152",919,"1,233"
国府３丁目,,,
総数,"3,117","1,483","1,634"
国府４丁目,,,
総数,"1,265",599,666
国府本町,,,
総数,"1,391",660,731
小沢町,,,
総数,464,190,274
古城町,,,
総数,72,32,40
壺川１丁目,,,
総数,946,423,523
壺川２丁目,,,
総数,585,278,307
湖東１丁目,,,
総数,576,278,298
湖東２丁目,,,
総数,"1,260",589,671
湖東３丁目,,,
総数,818,383,435
琴平１丁目,,,
総数,802,359,443
琴平２丁目,,,
総数,"1,047",509,538
琴平本町,,,
総数,"1,605",687,918
呉服町１丁目,,,
総数,113,44,69
呉服町２丁目,,,
総数,199,91,108
呉服町３丁目,,,
総数,113,51,62
米屋町１丁目,,,
総数,201,81,120
米屋町２丁目,,,
総数,265,122,143
米屋町３丁目,,,
総数,240,104,136
御領１丁目,,,
総数,"1,363",682,681
御領２丁目,,,
総数,"1,218",585,633
御領３丁目,,,
総数,"1,267",619,648
御領４丁目,,,
総数,339,167,172
御領５丁目,,,
総数,716,362,354
御領６丁目,,,
総数,234,125,109
御領７丁目,,,
総数,129,71,58
総数,8,7,1
護藤町,,,
総数,"1,451",662,789
細工町１丁目,,,
総数,94,48,46
細工町２丁目,,,
総数,52,29,23
細工町３丁目,,,
総数,184,74,110
細工町４丁目,,,
総数,249,101,148
細工町５丁目,,,
総数,48,21,27
栄町,,,
総数,588,254,334
桜木１丁目,,,
総数,795,366,429
桜木２丁目,,,
総数,718,347,371
桜木３丁目,,,
総数,875,439,436
桜木４丁目,,,
総数,"1,296",631,665
桜木５丁目,,,
総数,658,316,342
桜木６丁目,,,
総数,40,21,19
桜町,,,
総数,260,113,147
佐土原１丁目,,,
総数,"1,708",827,881
佐土原２丁目,,,
総数,220,107,113
佐土原３丁目,,,
総数,137,69,68
三郎１丁目,,,
総数,"1,411",679,732
三郎２丁目,,,
総数,900,413,487
島崎１丁目,,,
総数,"2,881","1,327","1,554"
島崎２丁目,,,
総数,"2,802","1,305","1,497"
島崎３丁目,,,
総数,"1,382",636,746
島崎４丁目,,,
総数,"1,030",496,534
島崎５丁目,,,
総数,"1,945",900,"1,045"
島崎６丁目,,,
総数,"2,011",851,"1,160"
島崎７丁目,,,
総数,"1,457",686,771
総数,73,33,40
清水亀井町,【秘匿】清水町大字打越、清水町大字亀井、清水町大字松崎、清水町大字室園を含みます,,
総数,"2,421","1,138","1,283"
清水東町,,,
総数,"1,353",640,713
清水本町,,,
総数,"1,462",698,764
総数,"3,342","1,593","1,749"
総数,"2,246","1,074","1,172"
清水町大字打越,【秘匿】清水亀井町を含みます,,
総数,χ,χ,χ
総数,χ,χ,χ
総数,χ,χ,χ
総数,"8,624","4,028","4,596"
