人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,664,315,349
秋津１丁目,,,
総数,746,342,404
秋津２丁目,,,
総数,911,426,485
秋津３丁目,,,
総数,700,340,360
秋津新町,,,
総数,128,54,74
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,628","1,215","1,413"
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
荒尾町,【秘匿】白藤１丁目を含みます,,
総数,χ,χ,χ
改寄町,,,
総数,"1,378",656,722
安政町,,,
総数,110,52,58
井川淵町,,,
総数,142,61,81
池亀町,,,
総数,756,396,360
池田１丁目,,,
総数,"2,849","1,294","1,555"
池田２丁目,,,
総数,"2,590","1,231","1,359"
池田３丁目,,,
総数,"2,800","1,329","1,471"
池田４丁目,,,
総数,637,375,262
池上町,,,
総数,"2,577","1,197","1,380"
石原町,【秘匿】上南部３丁目を含みます,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,258",572,686
出水２丁目,,,
総数,624,274,350
出水３丁目,,,
総数,"1,303",597,706
出水４丁目,,,
総数,"1,526",733,793
出水５丁目,,,
総数,"2,015",966,"1,049"
出水６丁目,,,
総数,"3,606","1,747","1,859"
出水７丁目,,,
総数,"2,614","1,219","1,395"
出水８丁目,,,
総数,"1,945",894,"1,051"
和泉町,,,
総数,381,183,198
板屋町,,,
総数,28,14,14
出仲間１丁目,,,
総数,746,359,387
出仲間２丁目,,,
総数,479,220,259
出仲間３丁目,,,
総数,711,349,362
出仲間４丁目,,,
総数,"1,103",526,577
出仲間５丁目,,,
総数,487,229,258
出仲間６丁目,,,
総数,"1,011",505,506
出仲間７丁目,,,
総数,"1,108",500,608
出仲間８丁目,,,
総数,582,285,297
出仲間９丁目,,,
総数,162,76,86
今町,,,
総数,296,135,161
魚屋町１丁目,,,
総数,16,4,12
魚屋町２丁目,,,
総数,25,10,15
魚屋町３丁目,,,
総数,66,35,31
海路口町,,,
総数,"2,102",999,"1,103"
薄場町,,,
総数,30,16,14
打越町,,,
総数,"1,853",896,957
内田町,,,
総数,"1,323",660,663
内坪井町,,,
総数,710,295,415
江越１丁目,,,
総数,823,387,436
江越２丁目,,,
総数,308,151,157
画図町大字上無田,,,
総数,16,9,7
画図町大字重富,,,
総数,"1,405",689,716
画図町大字下江津,,,
総数,249,113,136
画図町大字下無田,,,
総数,"1,014",478,536
画図町大字所島,,,
総数,693,339,354
江津１丁目,,,
総数,"1,536",699,837
江津２丁目,,,
総数,"2,348","1,019","1,329"
榎町,,,
総数,"2,005",943,"1,062"
大江１丁目,,,
総数,"1,995",932,"1,063"
大江２丁目,,,
総数,"1,379",664,715
大江３丁目,,,
総数,"1,174",582,592
大江４丁目,,,
総数,"1,639",712,927
大江５丁目,,,
総数,666,287,379
大江６丁目,,,
総数,"1,066",459,607
大江本町,,,
総数,535,226,309
総数,χ,χ,χ
大窪１丁目,,,
総数,245,123,122
大窪２丁目,,,
総数,256,131,125
大窪３丁目,,,
総数,317,157,160
大窪４丁目,,,
総数,274,147,127
大窪５丁目,,,
総数,981,472,509
大鳥居町,,,
総数,240,124,116
岡田町,,,
総数,521,232,289
沖新町,,,
総数,"2,132","1,021","1,111"
奥古閑町,,,
総数,"1,720",803,917
小島上町,,,
総数,829,396,433
小島下町,,,
総数,"2,607","1,251","1,356"
総数,142,63,79
尾ノ上１丁目,,,
総数,"2,005",958,"1,047"
尾ノ上２丁目,,,
総数,"1,880",946,934
尾ノ上３丁目,,,
総数,"1,434",657,777
尾ノ上４丁目,,,
総数,"2,062","1,002","1,060"
帯山１丁目,,,
総数,"2,806","1,281","1,525"
帯山２丁目,,,
総数,"1,470",672,798
帯山３丁目,,,
総数,"2,853","1,344","1,509"
帯山４丁目,,,
総数,"2,841","1,331","1,510"
帯山５丁目,,,
総数,"2,741","1,277","1,464"
帯山６丁目,,,
総数,977,460,517
帯山７丁目,,,
総数,"2,396","1,149","1,247"
帯山８丁目,,,
総数,608,292,316
帯山９丁目,,,
総数,860,397,463
小峯１丁目,,,
総数,548,257,291
小峯２丁目,,,
総数,"1,096",520,576
小峯３丁目,,,
総数,885,410,475
小峯４丁目,,,
総数,483,239,244
小山町,,,
総数,544,227,317
鹿帰瀬町,,,
総数,394,204,190
梶尾町,,,
総数,"3,261","1,584","1,677"
鍛冶屋町,,,
総数,70,26,44
春日１丁目,,,
総数,901,396,505
春日２丁目,,,
総数,293,144,149
春日３丁目,,,
総数,535,234,301
春日４丁目,,,
総数,"1,345",633,712
春日５丁目,,,
総数,672,320,352
春日６丁目,,,
総数,426,192,234
春日７丁目,,,
総数,"1,737",848,889
春日８丁目,,,
総数,712,337,375
総数,χ,χ,χ
鹿子木町,,,
総数,"1,470",654,816
釜尾町,,,
総数,231,108,123
上鍛冶屋町,,,
総数,169,76,93
上京塚町,,,
総数,44,28,16
上熊本１丁目,,,
総数,"1,283",572,711
上熊本２丁目,,,
総数,668,311,357
上熊本３丁目,,,
総数,"1,773",806,967
上水前寺１丁目,,,
総数,469,222,247
上水前寺２丁目,,,
総数,825,373,452
総数,"1,830",834,996
上通町,,,
総数,402,172,230
上南部町,,,
総数,6,3,3
総数,χ,χ,χ
上林町,,,
総数,261,111,150
辛島町,,,
総数,90,32,58
総数,χ,χ,χ
川口町,,,
総数,"2,447","1,184","1,263"
川尻１丁目,,,
総数,445,209,236
川尻２丁目,,,
総数,235,113,122
川尻３丁目,,,
