人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,656,311,345
秋津１丁目,,,
総数,756,355,401
秋津２丁目,,,
総数,957,454,503
秋津３丁目,,,
総数,723,349,374
秋津新町,,,
総数,127,55,72
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,612","1,221","1,391"
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
総数,120,59,61
総数,763,376,387
総数,"1,076",509,567
総数,"1,512",733,779
総数,"1,166",546,620
総数,349,167,182
総数,0,0,0
総数,16,7,9
荒尾町,【秘匿】白藤１丁目を含みます,,
総数,χ,χ,χ
改寄町,,,
総数,"1,374",647,727
安政町,,,
総数,114,48,66
井川淵町,,,
総数,139,62,77
池亀町,,,
総数,735,381,354
池田１丁目,,,
総数,"2,880","1,314","1,566"
池田２丁目,,,
総数,"2,657","1,274","1,383"
池田３丁目,,,
総数,"2,791","1,320","1,471"
池田４丁目,,,
総数,602,350,252
池上町,,,
総数,"2,436","1,126","1,310"
総数,592,285,307
総数,280,127,153
総数,218,101,117
石原町,【秘匿】上南部３丁目を含みます,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,281",574,707
出水２丁目,,,
総数,614,273,341
出水３丁目,,,
総数,"1,294",582,712
出水４丁目,,,
総数,"1,494",717,777
出水５丁目,,,
総数,"1,991",950,"1,041"
出水６丁目,,,
総数,"3,627","1,758","1,869"
出水７丁目,,,
総数,"2,604","1,218","1,386"
出水８丁目,,,
総数,"1,906",872,"1,034"
和泉町,,,
総数,383,185,198
板屋町,,,
総数,27,13,14
出仲間１丁目,,,
総数,729,356,373
出仲間２丁目,,,
総数,470,214,256
出仲間３丁目,,,
総数,760,374,386
出仲間４丁目,,,
総数,"1,115",534,581
出仲間５丁目,,,
総数,490,233,257
出仲間６丁目,,,
総数,992,486,506
出仲間７丁目,,,
総数,"1,106",491,615
出仲間８丁目,,,
総数,590,287,303
出仲間９丁目,,,
総数,230,109,121
今町,,,
総数,293,134,159
魚屋町１丁目,,,
総数,14,4,10
魚屋町２丁目,,,
総数,15,5,10
魚屋町３丁目,,,
総数,61,32,29
総数,639,298,341
総数,285,142,143
総数,8,4,4
海路口町,,,
総数,"2,032",971,"1,061"
総数,"1,000",474,526
総数,682,296,386
総数,237,120,117
薄場町,,,
総数,28,14,14
打越町,,,
総数,"1,851",905,946
内田町,,,
総数,"1,325",663,662
内坪井町,,,
総数,699,286,413
江越１丁目,,,
総数,862,406,456
江越２丁目,,,
総数,299,151,148
総数,503,240,263
総数,229,103,126
画図町大字上無田,,,
総数,12,7,5
画図町大字重富,,,
総数,"1,389",683,706
画図町大字下江津,,,
総数,230,103,127
画図町大字下無田,,,
