人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,640,303,337
秋津１丁目,,,
総数,749,352,397
秋津２丁目,,,
総数,"1,004",479,525
秋津３丁目,,,
総数,724,351,373
秋津新町,,,
総数,113,49,64
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
総数,"2,615","1,214","1,401"
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
総数,χ,χ,χ
総数,111,56,55
総数,794,393,401
総数,"1,079",510,569
総数,"1,554",744,810
総数,"1,156",548,608
総数,349,166,183
総数,0,0,0
総数,14,5,9
荒尾町,【秘匿】白藤１丁目を含みます,,
総数,χ,χ,χ
改寄町,,,
総数,"1,372",646,726
安政町,,,
総数,120,48,72
井川淵町,,,
総数,134,60,74
池亀町,,,
総数,683,349,334
池田１丁目,,,
総数,"2,871","1,320","1,551"
池田２丁目,,,
総数,"2,695","1,294","1,401"
池田３丁目,,,
総数,"2,720","1,291","1,429"
池田４丁目,,,
総数,602,347,255
池上町,,,
総数,"2,364","1,094","1,270"
総数,614,300,314
総数,272,122,150
総数,216,98,118
石原町,【秘匿】上南部３丁目を含みます,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,274",576,698
出水２丁目,,,
総数,606,265,341
出水３丁目,,,
総数,"1,295",579,716
出水４丁目,,,
総数,"1,496",718,778
出水５丁目,,,
総数,"1,946",924,"1,022"
出水６丁目,,,
総数,"3,600","1,722","1,878"
出水７丁目,,,
総数,"2,600","1,216","1,384"
出水８丁目,,,
総数,"1,901",859,"1,042"
和泉町,,,
総数,374,185,189
板屋町,,,
総数,27,13,14
出仲間１丁目,,,
総数,698,340,358
出仲間２丁目,,,
総数,440,198,242
出仲間３丁目,,,
総数,768,377,391
出仲間４丁目,,,
総数,"1,141",547,594
出仲間５丁目,,,
総数,734,343,391
出仲間６丁目,,,
総数,982,485,497
出仲間７丁目,,,
総数,"1,106",498,608
出仲間８丁目,,,
総数,619,311,308
出仲間９丁目,,,
総数,224,99,125
今町,,,
総数,288,131,157
魚屋町１丁目,,,
