人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,643,303,340
秋津１丁目,,,
総数,764,363,401
秋津２丁目,,,
総数,"1,037",486,551
秋津３丁目,,,
総数,746,354,392
秋津新町,,,
総数,107,48,59
秋津町秋田,,,
総数,"2,462","1,116","1,346"
秋津町沼山津,,,
総数,0,0,0
総数,143,74,69
総数,773,377,396
総数,"1,082",522,560
総数,"1,619",768,851
総数,"1,128",536,592
総数,368,174,194
総数,0,0,0
総数,65,28,37
荒尾町,【秘匿】白藤１丁目に含めています,,
総数,χ,χ,χ
改寄町,,,
総数,"1,373",648,725
安政町,,,
総数,112,44,68
井川淵町,,,
総数,150,63,87
池亀町,,,
総数,656,336,320
池田１丁目,,,
総数,"2,719","1,273","1,446"
池田２丁目,,,
総数,"2,617","1,224","1,393"
池田３丁目,,,
総数,"2,623","1,238","1,385"
池田４丁目,,,
総数,575,313,262
池上町,,,
総数,"2,273","1,065","1,208"
総数,582,289,293
総数,282,133,149
総数,242,114,128
石原町,【秘匿】上南部３丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,243",548,695
出水２丁目,,,
総数,584,267,317
出水３丁目,,,
総数,"1,307",569,738
出水４丁目,,,
総数,"1,512",721,791
出水５丁目,,,
総数,"1,897",877,"1,020"
出水６丁目,,,
総数,"3,557","1,697","1,860"
出水７丁目,,,
総数,"2,526","1,176","1,350"
出水８丁目,,,
総数,"1,794",825,969
和泉町,,,
総数,369,183,186
板屋町,,,
総数,26,11,15
出仲間１丁目,,,
総数,701,319,382
出仲間２丁目,,,
総数,451,199,252
出仲間３丁目,,,
総数,753,377,376
出仲間４丁目,,,
総数,"1,227",590,637
出仲間５丁目,,,
総数,710,349,361
出仲間６丁目,,,
総数,994,475,519
出仲間７丁目,,,
総数,"1,065",471,594
出仲間８丁目,,,
総数,618,299,319
出仲間９丁目,,,
総数,223,96,127
今町,,,
総数,291,135,156
総数,843,391,452
総数,321,156,165
総数,170,84,86
総数,355,155,200
総数,511,238,273
総数,"2,487","1,194","1,293"
総数,620,292,328
総数,316,146,170
総数,135,66,69
総数,476,232,244
総数,310,155,155
総数,267,136,131
総数,459,224,235
総数,719,359,360
総数,906,443,463
総数,826,385,441
総数,903,449,454
総数,606,290,316
総数,299,147,152
総数,268,125,143
総数,558,271,287
総数,198,89,109
総数,"2,126",989,"1,137"
総数,663,296,367
総数,"2,899","1,411","1,488"
総数,797,385,412
総数,740,347,393
総数,361,173,188
総数,788,379,409
総数,476,219,257
総数,101,50,51
総数,"1,918",942,976
総数,363,170,193
総数,543,261,282
総数,362,184,178
総数,"1,871",861,"1,010"
総数,228,108,120
総数,321,160,161
総数,"1,114",553,561
総数,158,73,85
総数,603,281,322
総数,561,269,292
総数,945,429,516
魚屋町１丁目,,,
総数,13,4,9
魚屋町２丁目,,,
総数,13,5,8
魚屋町３丁目,,,
総数,59,35,24
総数,720,333,387
総数,272,127,145
総数,7,4,3
海路口町,,,
総数,"1,890",917,973
総数,934,436,498
総数,673,296,377
総数,281,140,141
薄場町,,,
総数,36,17,19
打越町,,,
総数,"1,803",862,941
内田町,,,
総数,"1,227",615,612
内坪井町,,,
総数,785,345,440
江越１丁目,,,
総数,789,377,412
江越２丁目,,,
総数,338,166,172
総数,493,247,246
総数,258,120,138
画図町大字上無田,,,
総数,10,5,5
画図町大字重富,,,
総数,"2,106",981,"1,125"
画図町大字下江津,,,
総数,12,4,8
画図町大字下無田,,,
総数,936,444,492
画図町大字所島,,,
総数,722,341,381
江津１丁目,,,
総数,"1,387",638,749
江津２丁目,,,
総数,"2,045",868,"1,177"
総数,349,175,174
総数,224,105,119
榎町,,,
総数,"2,155","1,012","1,143"
大江１丁目,,,
総数,"2,136","1,042","1,094"
大江２丁目,,,
総数,946,479,467
大江３丁目,,,
総数,"1,080",522,558
大江４丁目,,,
総数,"1,673",735,938
大江５丁目,,,
