人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,694,327,367
秋津１丁目,,,
総数,766,373,393
秋津２丁目,,,
総数,944,434,510
秋津３丁目,,,
総数,775,371,404
秋津新町,,,
総数,77,36,41
秋津町秋田,,,
総数,"2,199",990,"1,209"
秋津町沼山津,,,
総数,0,0,0
総数,124,50,74
総数,878,427,451
総数,"1,112",519,593
総数,"1,568",735,833
総数,"1,151",537,614
総数,432,204,228
総数,0,0,0
総数,72,32,40
荒尾町,【秘匿】薄場１丁目に含めています,,
総数,χ,χ,χ
改寄町,,,
総数,"1,309",611,698
安政町,,,
総数,91,36,55
井川淵町,,,
総数,141,57,84
池亀町,,,
総数,712,361,351
池田１丁目,,,
総数,"2,597","1,245","1,352"
池田２丁目,,,
総数,"2,718","1,306","1,412"
池田３丁目（北区）,,,
総数,"1,845",825,"1,020"
池田３丁目（西区）,,,
総数,673,370,303
池田４丁目,,,
総数,528,295,233
池上町,,,
総数,"2,122",985,"1,137"
総数,556,264,292
総数,283,133,150
総数,249,116,133
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,223",531,692
出水２丁目,,,
総数,582,263,319
出水３丁目,,,
総数,"1,284",591,693
出水４丁目（中央区）,,,
総数,"1,405",674,731
出水４丁目（東区）,,,
総数,119,56,63
出水５丁目,,,
総数,"1,951",913,"1,038"
出水６丁目,,,
総数,"3,523","1,649","1,874"
出水７丁目,,,
総数,"2,431","1,133","1,298"
出水８丁目,,,
総数,"1,944",898,"1,046"
和泉町,,,
総数,356,180,176
板屋町,,,
総数,17,7,10
出仲間１丁目,,,
総数,769,372,397
出仲間２丁目,,,
総数,513,225,288
出仲間３丁目,,,
総数,800,388,412
出仲間４丁目,,,
総数,"1,194",569,625
出仲間５丁目,,,
総数,692,347,345
出仲間６丁目,,,
総数,"1,029",494,535
出仲間７丁目,,,
総数,"1,098",481,617
出仲間８丁目,,,
総数,592,290,302
出仲間９丁目,,,
総数,365,155,210
今町,,,
総数,297,142,155
総数,812,378,434
総数,291,136,155
総数,152,69,83
総数,369,169,200
総数,493,241,252
総数,"2,390","1,169","1,221"
総数,660,308,352
総数,308,139,169
総数,132,66,66
総数,437,209,228
総数,303,152,151
総数,263,133,130
総数,469,224,245
総数,661,334,327
総数,897,444,453
総数,832,378,454
総数,805,400,405
総数,576,275,301
総数,280,139,141
総数,230,108,122
総数,523,255,268
総数,185,80,105
総数,"2,158",997,"1,161"
総数,632,275,357
総数,"2,967","1,436","1,531"
総数,752,353,399
総数,705,325,380
総数,308,148,160
総数,769,378,391
総数,506,240,266
総数,85,46,39
総数,"2,026",978,"1,048"
総数,348,162,186
総数,520,247,273
総数,323,158,165
総数,"1,971",913,"1,058"
総数,201,96,105
総数,273,136,137
総数,"1,007",513,494
総数,167,80,87
総数,559,260,299
総数,522,240,282
総数,881,394,487
魚屋町１丁目,,,
総数,13,4,9
魚屋町２丁目,,,
総数,13,6,7
魚屋町３丁目,,,
総数,65,30,35
総数,691,316,375
総数,264,122,142
総数,5,4,1
海路口町,,,
総数,"1,717",822,895
総数,941,432,509
総数,660,299,361
総数,288,142,146
薄場町,,,
総数,42,18,24
打越町,,,
総数,"1,721",804,917
内田町,,,
総数,"1,215",595,620
内坪井町,,,
総数,703,313,390
江越１丁目,,,
総数,826,404,422
江越２丁目,,,
総数,388,188,200
総数,576,281,295
総数,308,142,166
画図町大字上無田,【秘匿】江津２丁目（東区）に含めています,,
総数,χ,χ,χ
画図町大字重富,,,
総数,"2,433","1,125","1,308"
画図町大字下江津,,,
総数,13,6,7
画図町大字下無田,,,
総数,922,430,492
画図町大字所島,,,
総数,849,397,452
江津１丁目,,,
総数,"1,328",606,722
江津２丁目（中央区）,,,
総数,91,37,54
江津２丁目（東区）,【秘匿】画図町大字上無田を含みます,,
総数,"1,953",844,"1,109"
総数,342,157,185
総数,236,115,121
榎町,,,
総数,"2,005",956,"1,049"
大江１丁目,,,
総数,"2,193","1,083","1,110"
大江２丁目,,,
総数,"1,040",534,506
大江３丁目,,,
総数,"1,842",880,962
大江４丁目,,,
総数,"1,664",706,958
大江５丁目,,,
総数,859,358,501
大江６丁目,,,
総数,"1,809",817,992
大江本町,,,
総数,511,236,275
大窪１丁目,,,
総数,221,102,119
大窪２丁目,,,
総数,280,146,134
大窪３丁目,,,
総数,263,122,141
大窪４丁目,,,
総数,280,148,132
大窪５丁目,,,
