人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,704,333,371
秋津１丁目,,,
総数,738,362,376
秋津２丁目,,,
総数,942,434,508
秋津３丁目,,,
総数,778,367,411
秋津新町,,,
総数,78,34,44
秋津町秋田,,,
総数,"2,119",950,"1,169"
秋津町沼山津,,,
総数,0,0,0
総数,124,52,72
総数,870,418,452
総数,"1,091",510,581
総数,"1,558",745,813
総数,"1,163",545,618
総数,437,208,229
総数,0,0,0
総数,73,31,42
荒尾町,【秘匿】薄場１丁目に含めています,,
総数,χ,χ,χ
改寄町,,,
総数,"1,285",602,683
安政町,,,
総数,90,35,55
井川淵町,,,
総数,145,57,88
池亀町,,,
総数,769,385,384
池田１丁目,,,
総数,"2,591","1,244","1,347"
池田２丁目,,,
総数,"2,769","1,348","1,421"
池田３丁目（北区）,,,
総数,"1,857",845,"1,012"
池田３丁目（西区）,,,
総数,669,373,296
池田４丁目,,,
総数,543,300,243
池上町,,,
総数,"2,087",966,"1,121"
総数,558,261,297
総数,279,131,148
総数,224,108,116
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,235",535,700
出水２丁目,,,
総数,588,262,326
出水３丁目,,,
総数,"1,311",604,707
出水４丁目（中央区）,,,
総数,"1,363",650,713
出水４丁目（東区）,,,
総数,118,55,63
出水５丁目,,,
総数,"1,942",911,"1,031"
出水６丁目,,,
総数,"3,548","1,669","1,879"
出水７丁目,,,
総数,"2,508","1,170","1,338"
出水８丁目,,,
総数,"1,931",897,"1,034"
和泉町,,,
総数,352,181,171
板屋町,,,
総数,15,7,8
出仲間１丁目,,,
総数,771,368,403
出仲間２丁目,,,
総数,513,227,286
出仲間３丁目,,,
総数,825,398,427
出仲間４丁目,,,
総数,"1,201",579,622
出仲間５丁目,,,
総数,688,344,344
出仲間６丁目,,,
総数,"1,014",481,533
出仲間７丁目,,,
総数,"1,110",495,615
出仲間８丁目,,,
総数,583,284,299
出仲間９丁目,,,
総数,349,159,190
今町,,,
総数,336,162,174
総数,779,370,409
総数,282,132,150
総数,153,71,82
総数,367,167,200
総数,474,237,237
総数,"2,406","1,187","1,219"
総数,658,303,355
総数,303,138,165
総数,124,61,63
総数,430,205,225
総数,310,155,155
総数,252,128,124
総数,476,223,253
総数,647,327,320
総数,894,441,453
総数,811,372,439
総数,820,404,416
総数,567,267,300
総数,272,130,142
総数,230,106,124
総数,529,255,274
総数,178,77,101
総数,"2,154",997,"1,157"
総数,625,274,351
総数,"2,964","1,432","1,532"
総数,736,349,387
総数,690,319,371
総数,297,144,153
総数,752,367,385
総数,493,235,258
総数,83,44,39
総数,"2,033",973,"1,060"
総数,340,155,185
総数,510,241,269
総数,324,157,167
総数,"1,984",926,"1,058"
総数,190,90,100
総数,273,134,139
総数,977,496,481
総数,172,82,90
総数,548,254,294
総数,510,235,275
総数,863,394,469
魚屋町１丁目,,,
総数,12,3,9
魚屋町２丁目,,,
総数,12,6,6
魚屋町３丁目,,,
総数,56,26,30
総数,681,315,366
総数,272,129,143
総数,5,4,1
海路口町,,,
総数,"1,685",807,878
総数,966,440,526
総数,703,308,395
総数,298,141,157
薄場町,,,
総数,42,18,24
打越町,,,
総数,"1,691",802,889
内田町,,,
総数,"1,210",598,612
内坪井町,,,
総数,714,320,394
江越１丁目,,,
総数,822,403,419
江越２丁目,,,
総数,389,195,194
総数,576,283,293
総数,297,137,160
画図町大字上無田,【秘匿】画図町大字重富に含めています,,
総数,χ,χ,χ
画図町大字重富,【秘匿】画図町大字上無田を含みます,,
総数,"2,491","1,170","1,321"
画図町大字下江津,,,
総数,14,7,7
画図町大字下無田,,,
総数,930,444,486
画図町大字所島,,,
総数,836,390,446
江津１丁目,,,
総数,"1,307",592,715
江津２丁目（中央区）,,,
総数,79,31,48
江津２丁目（東区）,,,
総数,"1,934",834,"1,100"
総数,350,160,190
総数,233,112,121
榎町,,,
総数,"2,028",969,"1,059"
大江１丁目,,,
総数,"2,201","1,091","1,110"
大江２丁目,,,
総数,"1,248",639,609
大江３丁目,,,
総数,"1,964",936,"1,028"
大江４丁目,,,
総数,"1,672",717,955
大江５丁目,,,
総数,840,368,472
大江６丁目,,,
総数,"1,799",807,992
大江本町,,,
総数,544,251,293
