人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,753,361,392
秋津１丁目,,,
総数,728,353,375
秋津２丁目,,,
総数,"1,000",464,536
秋津３丁目,,,
総数,849,401,448
秋津新町,,,
総数,272,118,154
秋津町秋田,,,
総数,"2,050",923,"1,127"
秋津町沼山津,,,
総数,0,0,0
総数,119,49,70
総数,889,418,471
総数,"1,055",500,555
総数,"1,544",726,818
総数,"1,174",550,624
総数,439,207,232
総数,0,0,0
総数,89,38,51
荒尾町,【秘匿】薄場１丁目に含めています,,
総数,χ,χ,χ
改寄町,,,
総数,"1,286",600,686
安政町,,,
総数,85,32,53
井川淵町,,,
総数,148,60,88
池亀町,,,
総数,733,366,367
池田１丁目,,,
総数,"2,589","1,238","1,351"
池田２丁目,,,
総数,"2,740","1,318","1,422"
池田３丁目（北区）,,,
総数,"1,779",811,968
池田３丁目（西区）,,,
総数,634,352,282
池田４丁目,,,
総数,547,314,233
池上町,,,
総数,"2,082",965,"1,117"
総数,514,246,268
総数,285,139,146
総数,203,104,99
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,223",525,698
出水２丁目,,,
総数,583,265,318
出水３丁目,,,
総数,"1,285",577,708
出水４丁目（中央区）,,,
総数,"1,358",645,713
出水４丁目（東区）,,,
総数,104,48,56
出水５丁目,,,
総数,"1,917",905,"1,012"
出水６丁目,,,
総数,"3,335","1,602","1,733"
出水７丁目,,,
総数,"2,564","1,201","1,363"
出水８丁目,,,
総数,"1,984",927,"1,057"
和泉町,,,
総数,343,175,168
板屋町,,,
総数,17,9,8
出仲間１丁目,,,
総数,758,359,399
出仲間２丁目,,,
総数,523,230,293
出仲間３丁目,,,
総数,799,390,409
出仲間４丁目,,,
総数,"1,165",554,611
出仲間５丁目,,,
総数,681,341,340
出仲間６丁目,,,
総数,"1,072",521,551
出仲間７丁目,,,
総数,"1,078",489,589
出仲間８丁目,,,
総数,561,280,281
出仲間９丁目,,,
総数,340,166,174
今町,,,
総数,359,168,191
総数,772,370,402
総数,263,133,130
総数,137,61,76
総数,378,173,205
総数,475,236,239
総数,"2,432","1,199","1,233"
総数,622,291,331
総数,290,134,156
総数,122,61,61
総数,423,201,222
総数,286,133,153
総数,236,121,115
総数,467,221,246
総数,627,315,312
総数,861,427,434
総数,804,364,440
総数,768,378,390
総数,524,250,274
総数,257,121,136
総数,219,104,115
総数,501,244,257
総数,172,75,97
総数,"2,117",977,"1,140"
総数,573,252,321
総数,"2,882","1,383","1,499"
総数,711,338,373
総数,691,318,373
総数,279,136,143
総数,725,363,362
総数,518,251,267
総数,76,41,35
総数,"2,008",985,"1,023"
総数,334,151,183
総数,519,246,273
総数,319,152,167
総数,"2,051",961,"1,090"
総数,179,84,95
総数,261,128,133
総数,"1,003",519,484
総数,163,75,88
総数,541,255,286
総数,499,230,269
総数,821,378,443
魚屋町１丁目,,,
総数,61,22,39
魚屋町２丁目,,,
総数,20,8,12
魚屋町３丁目,,,
総数,55,25,30
総数,680,307,373
総数,270,124,146
総数,6,5,1
海路口町,,,
総数,"1,640",786,854
総数,"1,000",455,545
総数,737,338,399
総数,287,135,152
薄場町,,,
総数,48,22,26
打越町,,,
総数,"1,694",802,892
内田町,,,
総数,"1,167",577,590
内坪井町,,,
総数,691,323,368
江越１丁目,,,
総数,806,391,415
江越２丁目,,,
総数,387,198,189
総数,547,265,282
総数,285,135,150
画図町大字上無田,,,
総数,8,4,4
画図町大字重富,,,
総数,"2,542","1,197","1,345"
画図町大字下江津,,,
総数,18,8,10
画図町大字下無田,,,
総数,"1,122",543,579
画図町大字所島,,,
総数,834,395,439
江津１丁目,,,
総数,"1,272",574,698
江津２丁目（中央区）,,,
総数,81,37,44
江津２丁目（東区）,,,
総数,"1,893",819,"1,074"
総数,390,175,215
総数,216,98,118
榎町,,,
総数,"2,022",975,"1,047"
大江１丁目,,,
総数,"2,188","1,064","1,124"
大江２丁目,,,
総数,"1,635",833,802
大江３丁目,,,
総数,"2,059",985,"1,074"
大江４丁目,,,
総数,"1,722",752,970
大江５丁目,,,
総数,782,344,438
大江６丁目,,,
総数,"1,769",778,991
大江本町,,,
総数,568,246,322
大窪１丁目,,,
総数,214,98,116
大窪２丁目,,,
総数,261,135,126
大窪３丁目,,,
総数,290,136,154
大窪４丁目,,,
総数,297,147,150
大窪５丁目,,,
総数,760,351,409
大鳥居町,,,
総数,200,105,95
岡田町,,,
総数,477,228,249
沖新町,,,
総数,"1,741",816,925
奥古閑町,,,
総数,"1,463",693,770
総数,χ,χ,χ
総数,8,4,4
総数,473,222,251
総数,χ,χ,χ
総数,343,163,180
総数,213,106,107
総数,448,210,238
総数,266,125,141
総数,855,437,418
小島上町,,,
総数,89,44,45
小島下町,,,
総数,597,304,293
尾ノ上１丁目,,,
総数,"1,872",867,"1,005"
尾ノ上２丁目,,,
総数,"1,524",712,812
尾ノ上３丁目,,,
総数,"1,204",518,686
尾ノ上４丁目,,,
総数,"2,397","1,119","1,278"
帯山１丁目,,,
総数,"2,594","1,165","1,429"
帯山２丁目,,,
総数,"1,662",717,945
帯山３丁目,,,
総数,"2,831","1,320","1,511"
帯山４丁目（中央区）,,,
総数,"2,759","1,284","1,475"
帯山４丁目（東区）,【秘匿】保田窪本町に含めています,,
総数,χ,χ,χ
帯山５丁目,,,
総数,"2,347","1,089","1,258"
帯山６丁目,,,
総数,907,437,470
帯山７丁目,,,
総数,"2,347","1,100","1,247"
帯山８丁目,,,
総数,544,272,272
帯山９丁目,,,
総数,854,387,467
小峯１丁目,,,
総数,593,289,304
小峯２丁目,,,
総数,"1,201",556,645
小峯３丁目,,,
総数,"1,217",571,646
小峯４丁目,,,
総数,655,328,327
総数,896,454,442
総数,"2,678","1,326","1,352"
総数,335,167,168
総数,439,217,222
総数,"1,854",897,957
総数,738,364,374
総数,324,163,161
小山町,,,
総数,618,279,339
鹿帰瀬町,,,
総数,364,190,174
梶尾町,,,
総数,"3,776","1,767","2,009"
鍛冶屋町,,,
総数,236,112,124
春日１丁目,,,
総数,"1,263",584,679
春日２丁目,,,
総数,587,284,303
春日３丁目,,,
総数,744,349,395
春日４丁目,,,
総数,"1,228",564,664
春日５丁目,,,
総数,440,216,224
春日６丁目,,,
総数,441,195,246
春日７丁目,,,
総数,"1,384",626,758
春日８丁目,,,
総数,723,342,381
鹿子木町,,,
総数,"1,246",556,690
釜尾町,,,
総数,177,87,90
上鍛冶屋町,,,
総数,211,82,129
上京塚町,,,
総数,108,49,59
上熊本１丁目,,,
総数,"1,045",496,549
上熊本２丁目,,,
総数,"1,085",500,585
上熊本３丁目,,,
総数,"1,920",876,"1,044"
上水前寺１丁目,,,
総数,614,281,333
上水前寺２丁目,,,
総数,687,312,375
総数,841,411,430
総数,77,37,40
総数,"1,420",666,754
総数,54,28,26
総数,85,45,40
総数,143,78,65
総数,812,397,415
総数,"1,424",650,774
総数,231,107,124
総数,292,138,154
総数,729,320,409
総数,721,327,394
上通町,,,
総数,442,194,248
総数,505,232,273
総数,"1,873",916,957
総数,"1,719",869,850
総数,229,114,115
上南部町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
総数,760,364,396
総数,839,413,426
上林町,,,
総数,274,119,155
総数,340,169,171
辛島町,,,
総数,459,193,266
総数,538,249,289
総数,428,201,227
総数,"1,053",500,553
川口町,,,
総数,"1,810",873,937
川尻１丁目,,,
総数,330,150,180
川尻２丁目,,,
総数,209,97,112
川尻３丁目,,,
