人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,816,394,422
秋津１丁目,,,
総数,735,363,372
秋津２丁目,,,
総数,"1,037",479,558
秋津３丁目,,,
総数,873,404,469
秋津新町,,,
総数,326,138,188
秋津町秋田,,,
総数,"1,993",897,"1,096"
秋津町沼山津,,,
総数,0,0,0
総数,116,49,67
総数,883,419,464
総数,"1,051",500,551
総数,"1,530",718,812
総数,"1,168",544,624
総数,480,223,257
総数,0,0,0
総数,95,43,52
荒尾町,【秘匿】薄場１丁目に含めています,,
総数,χ,χ,χ
改寄町,,,
総数,"1,262",596,666
安政町,,,
総数,84,29,55
井川淵町,,,
総数,157,66,91
池亀町,,,
総数,764,381,383
池田１丁目,,,
総数,"2,554","1,218","1,336"
池田２丁目,,,
総数,"2,752","1,299","1,453"
池田３丁目,,,
総数,"1,748",802,946
池田３丁目,,,
総数,652,359,293
池田４丁目,,,
総数,528,310,218
池上町,,,
総数,"2,076",967,"1,109"
総数,497,237,260
総数,272,131,141
総数,192,97,95
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,183",507,676
出水２丁目,,,
総数,602,277,325
出水３丁目,,,
総数,"1,303",582,721
出水４丁目,,,
総数,"1,356",652,704
出水４丁目,,,
総数,108,46,62
出水５丁目,,,
総数,"1,917",907,"1,010"
出水６丁目,,,
総数,"3,288","1,573","1,715"
出水７丁目,,,
総数,"2,616","1,233","1,383"
出水８丁目,,,
総数,"1,958",921,"1,037"
和泉町,,,
総数,339,174,165
板屋町,,,
総数,16,8,8
出仲間１丁目,,,
総数,722,338,384
出仲間２丁目,,,
総数,529,238,291
出仲間３丁目,,,
総数,769,383,386
出仲間４丁目,,,
総数,"1,124",534,590
出仲間５丁目,,,
総数,685,345,340
出仲間６丁目,,,
総数,"1,056",500,556
出仲間７丁目,,,
総数,"1,073",489,584
出仲間８丁目,,,
総数,569,278,291
出仲間９丁目,,,
総数,326,160,166
今町,,,
総数,356,166,190
総数,764,370,394
総数,268,133,135
総数,137,64,73
総数,381,176,205
総数,473,236,237
総数,"2,456","1,202","1,254"
総数,586,268,318
総数,295,142,153
総数,121,61,60
総数,406,194,212
総数,276,129,147
総数,230,120,110
