町丁名,Column_1,Column_2,Column_3
0〜4歳,46,25,21
100歳以上,1,0,1
10〜14歳,50,22,28
15〜19歳,42,22,20
20〜24歳,26,8,18
25〜29歳,35,16,19
30〜34歳,50,24,26
35〜39歳,64,35,29
40〜44歳,64,34,30
45〜49歳,66,32,34
50〜54歳,59,25,34
55〜59歳,50,25,25
5〜9歳,72,41,31
60〜64歳,49,22,27
65〜69歳,35,17,18
70〜74歳,40,17,23
75〜79歳,62,31,31
80〜84歳,24,7,17
85〜89歳,26,9,17
90〜94歳,10,4,6
95〜99歳,4,1,3
万楽寺町,,,
万町１丁目,,,
万町２丁目,,,
三郎１丁目,,,
三郎２丁目,,,
上ノ郷１丁目,,,
上ノ郷２丁目,,,
上京塚町,,,
上代１丁目,,,
上代１０丁目,,,
上代２丁目,,,
上代３丁目,,,
上代４丁目,,,
上代５丁目,,,
上代６丁目,,,
上代７丁目,,,
上代８丁目,,,
上代９丁目,,,
上南部町,【秘匿】上南部２丁目に含めています,,
上南部１丁目,,,
上南部２丁目,【秘匿】石原町、上南部町を含みます,,
上南部３丁目,,,
上南部４丁目,,,
上松尾町,,,
上林町,,,
上水前寺１丁目,,,
上水前寺２丁目,,,
上熊本１丁目,,,
上熊本２丁目,,,
上熊本３丁目,,,
上通町,,,
上鍛冶屋町,,,
上高橋１丁目,,,
上高橋２丁目,,,
下南部１丁目,,,
下南部２丁目,,,
下南部３丁目,,,
下江津１丁目,,,
下江津２丁目,,,
下江津３丁目,,,
下江津４丁目,,,
下江津５丁目,,,
下江津６丁目,,,
下江津７丁目,,,
下江津８丁目,,,
下硯川町,,,
下硯川１丁目,,,
下硯川２丁目,,,
下通１丁目,,,
下通２丁目,,,
世安1丁目,,,
世安町,,,
世安２丁目,,,
世安３丁目,,,
並建町,,,
中原町,,,
中唐人町,,,
中央街,,,
中島町,,,
中松尾町,,,
中江町,,,
中無田町,,,
乗越ヶ丘,,,
九品寺１丁目,,,
九品寺２丁目,,,
九品寺３丁目,,,
九品寺４丁目,,,
九品寺５丁目,,,
九品寺６丁目,,,
二の丸,,,
二本木１丁目,,,
二本木２丁目,,,
二本木３丁目,,,
二本木４丁目,,,
二本木５丁目,,,
井川淵町,,,
京塚本町,,,
京町本丁,,,
京町１丁目,,,
京町２丁目,,,
今町,,,
令和6年4月1日現在,,,
会富町,,,
佐土原１丁目,,,
佐土原２丁目,,,
佐土原３丁目,,,
保田窪本町,【秘匿】帯山４丁目（東区）を含みます,,
保田窪１丁目,,,
保田窪２丁目,,,
保田窪３丁目,,,
保田窪４丁目,,,
保田窪５丁目,,,
健軍本町,,,
健軍１丁目,,,
健軍２丁目,,,
健軍３丁目,,,
健軍４丁目,,,
健軍５丁目,,,
元三町,,,
元三町１丁目,,,
元三町２丁目,,,
元三町３丁目,,,
元三町４丁目,,,
元三町５丁目,,,
兎谷１丁目,,,
兎谷２丁目,,,
兎谷３丁目,【秘匿】楠１丁目に含めています,,
八分字町,,,
八反田１丁目,,,
八反田２丁目,,,
八反田３丁目,,,
八島町,,,
八島１丁目,,,
八島２丁目,,,
八幡１丁目,【秘匿】野田２丁目に含めています,,
八幡１０丁目,,,
八幡１１丁目,,,
八幡２丁目,,,
八幡３丁目,,,
八幡４丁目,,,
八幡５丁目,,,
八幡６丁目,,,
八幡７丁目,,,
八幡８丁目,,,
八幡９丁目,,,
八景水谷１丁目,,,
八景水谷２丁目,,,
八景水谷３丁目,,,
八景水谷４丁目,,,
八王寺町,,,
内坪井町,,,
内田町,,,
出仲間１丁目,,,
出仲間２丁目,,,
出仲間３丁目,,,
出仲間４丁目,,,
出仲間５丁目,,,
出仲間６丁目,,,
出仲間７丁目,,,
出仲間８丁目,,,
出仲間９丁目,,,
出水１丁目,,,
出水２丁目,,,
出水３丁目,,,
出水４丁目,,,
出水５丁目,,,
出水６丁目,,,
出水７丁目,,,
出水８丁目,,,
出町,,,
刈草１丁目,,,
刈草２丁目,,,
刈草３丁目,,,
北千反畑町,,,
北迫町,,,
十禅寺１丁目,,,
十禅寺２丁目,,,
十禅寺３丁目,【秘匿】近見６丁目に含めています,,
十禅寺４丁目,,,
千葉城町,,,
南千反畑町,,,
南坪井町,,,
南熊本１丁目,,,
南熊本２丁目,,,
南熊本３丁目,,,
南熊本４丁目,,,
南熊本５丁目,,,
南町,,,
南高江町,,,
南高江１丁目,,,
南高江２丁目,,,
南高江３丁目,,,
南高江４丁目,,,
南高江５丁目,,,
南高江６丁目,,,
南高江７丁目,,,
古京町,,,
古城町,,,
古大工町,,,
古川町,,,
古桶屋町,,,
合志１丁目,,,
合志２丁目,,,
合志３丁目,,,
合志４丁目,,,
吉原町,,,
呉服町１丁目,,,
呉服町２丁目,,,
呉服町３丁目,,,
和泉町,,,
四方寄町,,,
国府本町,,,
国府１丁目,,,
国府２丁目,,,
国府３丁目,,,
国府４丁目,,,
土河原町,,,
坪井１丁目,,,
坪井２丁目,,,
坪井３丁目,,,
坪井４丁目,,,
坪井５丁目,,,
坪井６丁目,,,
城南町さんさん１丁目,,,
城南町さんさん２丁目,,,
城南町下宮地,,,
城南町丹生宮,,,
城南町今吉野,,,
城南町六田,,,
城南町出水,,,
城南町千町,,,
城南町坂野,,,
城南町塚原,,,
城南町宮地,,,
城南町島田,,,
城南町東阿高,,,
城南町永,,,
城南町沈目,,,
城南町碇,,,
城南町築地,,,
城南町舞原,,,
城南町藤山,,,
城南町赤見,,,
城南町阿高,,,
城南町陳内,,,
城南町隈庄,,,
城南町高,,,
城南町鰐瀬,,,
城山上代町,,,
城山下代１丁目,,,
城山下代２丁目,,,
城山下代３丁目,,,
城山下代４丁目,,,
城山下代５丁目,,,
城山半田１丁目,,,
城山半田２丁目,,,
城山半田３丁目,,,
城山半田４丁目,,,
城山大塘6丁目,,,
城山大塘１丁目,,,
城山大塘２丁目,,,
城山大塘３丁目,,,
城山大塘４丁目,,,
城山大塘５丁目,,,
城山大塘７丁目,,,
城山薬師１丁目,,,
城山薬師２丁目,,,
城東町,,,
壺川１丁目,,,
壺川２丁目,,,
大江本町,,,
大江１丁目,,,
大江２丁目,,,
大江３丁目,,,
大江４丁目,,,
大江５丁目,,,
大江６丁目,,,
大窪１丁目,,,
大窪２丁目,,,
大窪３丁目,,,
大窪４丁目,,,
大窪５丁目,,,
大鳥居町,,,
太郎迫町,,,
奥古閑町,,,
妙体寺町,,,
子飼本町,,,
孫代町,,,
安政町,,,
室園町,【秘匿】黒髪６丁目に含めています,,
宮内,,,
富合町上杉,,,
富合町南田尻,,,
富合町古閑,,,
富合町国町,,,
富合町大町,,,
富合町小岩瀬,,,
富合町平原,,,
富合町廻江,,,
富合町御船手,,,
富合町志々水,,,
富合町新,,,
富合町木原,,,
富合町杉島,,,
富合町榎津,,,
富合町清藤,,,
富合町田尻,,,
富合町硴江,,,
富合町莎崎,,,
富合町菰江,,,
富合町西田尻,,,
富合町釈迦堂,,,
小山町,,,
小山１丁目,,,
小山２丁目,,,
小山３丁目,,,
小山４丁目,,,
小山５丁目,,,
小山６丁目,,,
小山７丁目,,,
小峯１丁目,,,
小峯２丁目,,,
小峯３丁目,,,
小峯４丁目,,,
小島上町,,,
小島下町,,,
小島１丁目,【秘匿】松尾１丁目に含めています,,
小島２丁目,【秘匿】松尾１丁目に含めています,,
小島３丁目,,,
小島４丁目,,,
小島５丁目,,,
小島６丁目,,,
小島７丁目,,,
小島８丁目,,,
小島９丁目,,,
小沢町,,,
小糸山町,,,
尾ノ上１丁目,,,
尾ノ上２丁目,,,
尾ノ上３丁目,,,
尾ノ上４丁目,,,
山ノ内１丁目,,,
山ノ内２丁目,,,
山ノ内３丁目,,,
山ノ内４丁目,,,
山ノ神１丁目,,,
山ノ神２丁目,,,
山室１丁目,,,
山室２丁目,,,
山室３丁目,,,
山室４丁目,,,
山室５丁目,,,
山室６丁目,,,
山崎町,,,
岡田町,,,
島崎１丁目,,,
島崎２丁目,,,
島崎３丁目,,,
島崎４丁目,,,
島崎５丁目,,,
島崎６丁目,,,
島崎７丁目,,,
島町１丁目,,,
島町２丁目,,,
島町３丁目,,,
島町４丁目,,,
島町５丁目,,,
川口町,,,
川尻１丁目,,,
川尻２丁目,,,
川尻３丁目,,,
川尻４丁目,,,
川尻５丁目,,,
川尻６丁目,,,
川端町,,,
帯山１丁目,,,
帯山２丁目,,,
帯山３丁目,,,
帯山４丁目,【秘匿】保田窪本町に含めています,,
帯山５丁目,,,
帯山６丁目,,,
帯山７丁目,,,
帯山８丁目,,,
帯山９丁目,,,
平山町,,,
平成１丁目,,,
平成２丁目,,,
平成３丁目,,,
平田１丁目,,,
平田２丁目,,,
年齢区分,令和6年04月　人　口,備考,
幸田１丁目,,,
幸田２丁目,,,
広木町,,,
弓削町,,,
弓削１丁目,,,
弓削２丁目,,,
弓削３丁目,,,
弓削４丁目,,,
弓削５丁目,【秘匿】龍田町弓削を含みます,,
弓削６丁目,,,
弥生町,,,
御幸木部町,【秘匿】御幸笛田２丁目に含めています,,
御幸木部１丁目,,,
御幸木部２丁目,,,
御幸木部３丁目,,,
御幸笛田町,,,
御幸笛田１丁目,,,
御幸笛田２丁目,【秘匿】御幸木部町を含みます,,
御幸笛田３丁目,,,
御幸笛田４丁目,,,
御幸笛田５丁目,,,
御幸笛田６丁目,,,
御幸笛田７丁目,,,
御幸笛田８丁目,,,
御幸西無田町,,,
御幸西１丁目,,,
御幸西２丁目,,,
御幸西３丁目,,,
御幸西４丁目,,,
御領１丁目,,,
御領２丁目,,,
御領３丁目,,,
御領４丁目,,,
御領５丁目,,,
御領６丁目,,,
御領７丁目,,,
御領８丁目,,,
徳王町,,,
徳王１丁目,,,
徳王２丁目,,,
慶徳堀町,,,
