人口統計表,Column_1,Column_2,Column_3
会富町,,,
総数,919,434,485
秋津１丁目,,,
総数,703,337,366
秋津２丁目,,,
総数,"1,078",492,586
秋津３丁目,,,
総数,869,410,459
秋津新町,,,
総数,325,139,186
秋津町秋田,,,
総数,"1,847",827,"1,020"
秋津町沼山津,,,
総数,0,0,0
総数,127,52,75
総数,914,413,501
総数,941,435,506
総数,"1,513",695,818
総数,"1,147",538,609
総数,488,224,264
総数,37,17,20
総数,97,44,53
荒尾町,,,
総数,0,0,0
改寄町,,,
総数,"1,174",555,619
安政町,,,
総数,70,26,44
井川淵町,,,
総数,191,84,107
池亀町,,,
総数,755,380,375
池田１丁目,,,
総数,"2,537","1,234","1,303"
池田２丁目,,,
総数,"2,561","1,246","1,315"
池田３丁目,,,
総数,"1,770",809,961
池田３丁目,,,
総数,658,361,297
池田４丁目,,,
総数,590,338,252
池上町,,,
総数,"2,030",994,"1,036"
総数,473,228,245
総数,280,128,152
総数,199,96,103
石原町,【秘匿】上南部２丁目に含めています,,
総数,χ,χ,χ
出水１丁目,,,
総数,"1,110",463,647
出水２丁目,,,
総数,589,278,311
出水３丁目,,,
総数,"1,262",559,703
出水４丁目,,,
総数,"1,272",610,662
出水４丁目,,,
総数,96,49,47
出水５丁目,,,
総数,"1,790",851,939
出水６丁目,,,
総数,"3,133","1,486","1,647"
出水７丁目,,,
総数,"2,721","1,252","1,469"
出水８丁目,,,
総数,"1,927",908,"1,019"
和泉町,,,
総数,353,174,179
板屋町,,,
総数,13,6,7
出仲間１丁目,,,
総数,729,348,381
出仲間２丁目,,,
総数,521,231,290
出仲間３丁目,,,
総数,705,354,351
出仲間４丁目,,,
総数,"1,069",522,547
出仲間５丁目,,,
総数,651,317,334
出仲間６丁目,,,
総数,"1,094",508,586
出仲間７丁目,,,
総数,"1,038",464,574
出仲間８丁目,,,
総数,545,263,282
出仲間９丁目,,,
総数,364,186,178
今町,,,
総数,412,193,219
総数,711,352,359
総数,245,125,120
総数,119,58,61
総数,348,164,184
総数,458,223,235
総数,"2,715","1,342","1,373"
総数,735,337,398
総数,301,149,152
総数,131,64,67
総数,366,174,192
総数,266,120,146
総数,202,101,101
総数,421,203,218
総数,601,302,299
総数,783,388,395
総数,767,360,407
総数,666,328,338
総数,508,243,265
総数,221,105,116
総数,203,101,102
総数,481,234,247
総数,143,63,80
総数,"2,047",925,"1,122"
総数,513,241,272
総数,"2,797","1,327","1,470"
総数,637,296,341
総数,627,296,331
総数,256,125,131
総数,684,337,347
総数,631,304,327
総数,60,32,28
総数,"1,882",935,947
総数,298,144,154
総数,496,233,263
総数,299,148,151
総数,"1,956",927,"1,029"
総数,155,73,82
総数,230,114,116
総数,943,484,459
総数,168,73,95
総数,459,221,238
総数,462,223,239
総数,761,346,415
魚屋町１丁目,,,
総数,70,31,39
魚屋町２丁目,,,
総数,23,12,11
魚屋町３丁目,,,
総数,98,44,54
総数,687,306,381
総数,252,117,135
総数,5,4,1
海路口町,,,
総数,"1,461",702,759
総数,967,442,525
総数,814,381,433
総数,263,133,130
薄場町,,,
総数,50,25,25
打越町,,,
総数,"1,590",763,827
内田町,,,
総数,"1,145",550,595
内坪井町,,,
総数,678,303,375
江越１丁目,,,
総数,820,416,404
江越２丁目,,,
総数,374,179,195
総数,552,272,280
総数,275,131,144
画図町大字上無田,,,
総数,8,5,3
画図町大字重富,,,
総数,"2,610","1,219","1,391"
画図町大字下江津,,,
総数,13,6,7
画図町大字下無田,,,
総数,"1,390",669,721
画図町大字所島,,,
総数,929,443,486
江津１丁目,,,
総数,"1,227",567,660
江津２丁目,,,
総数,83,37,46
江津２丁目,,,
総数,"1,703",741,962
総数,406,182,224
総数,197,92,105
