年度,総町丁数,一貫性のある町丁数,一貫性率
H10-04,674,177,26.26112759643917
H11-04,674,177,26.26112759643917
H12-04,674,177,26.26112759643917
H13-04,673,177,26.300148588410106
H14-04,672,177,26.339285714285715
H15-04,672,177,26.339285714285715
H16-04,672,177,26.339285714285715
H17-04,672,177,26.339285714285715
H18-04,825,177,21.454545454545453
H19-04,835,177,21.19760479041916
H20-04,839,177,21.096543504171635
H21-04,835,177,21.19760479041916
H22-04,925,177,19.135135135135133
H23-04,923,177,19.176598049837487
H24-04,907,177,19.514884233737597
H25-04,907,177,19.514884233737597
H26-04,909,177,19.471947194719473
H27-04,917,177,19.3020719738277
H28-04,917,177,19.3020719738277
H29-04,917,177,19.3020719738277
H30-04,923,177,19.176598049837487
H31-04,923,177,19.176598049837487
R02-04,923,177,19.176598049837487
R03-04,923,177,19.176598049837487
R04-04,926,177,19.11447084233261
R05-04,926,177,19.11447084233261
R06-04,926,177,19.11447084233261
R07-04,926,177,19.11447084233261
town_consistency_analysis,309,177,57.28155339805825
