2025-09-02 11:06:28,678 - INFO - Starting event normalization process
2025-09-02 11:06:28,719 - WARNING - Panel mismatch: (魚屋町１丁目, 2020) not found in panel data
2025-09-02 11:06:28,720 - WARNING - Panel mismatch: (楠３丁目, 2000) not found in panel data
2025-09-02 11:06:28,720 - WARNING - Panel mismatch: (紺屋町１丁目, 2002) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (近見１丁目, 2001) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (紺屋町２丁目, 2022) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (春日３丁目, 2013) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (本山３丁目, 2009) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (春日２丁目, 2014) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (桜木６丁目, 2015) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (呉服町３丁目, 2011) not found in panel data
2025-09-02 11:06:28,721 - WARNING - Panel mismatch: (春日３丁目, 2014) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (山ノ内１丁目, 2007) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (米屋町１丁目, 2008) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (南熊本２丁目, 2018) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (魚屋町２丁目, 2020) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (紺屋町１丁目, 2020) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (九品寺２丁目, 2008) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (近見２丁目, 2001) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (春日３丁目, 2012) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (田迎１丁目, 2005) not found in panel data
2025-09-02 11:06:28,722 - WARNING - Panel mismatch: (九品寺６丁目, 2006) not found in panel data
