町丁名,年度,事象タイプ,信頼度,タイトル,URL,公開日,ソース,スニペット,一致キーワード,時間差,地名一致度,人口変化率,変化タイプ
慶徳堀町,2013,住宅,0.95,分譲マンション「エイルマンション慶徳イクシオ」竣工,,,エイルの仲介情報,分譲マンション「エイルマンション慶徳イクシオ」竣工,"エバーライフ, アンピール, 竣工, 新築工事, 分譲, 集合住宅, マンション, プラーノウエスト, 完成, 大型",0,1.0,775.0,激増
総数,2006,その他,0.48,1 章 熊本市の概況,https://www.city.kumamoto.jp/kiji00316097/5_16097_109399_up_AXUBLPN1.pdf,,自治体,"熊本市は九州地方のほぼ中央に位置し、地勢は、金峰山を主峰とする複式火山帯 ... 総数. 30,156. 100.0. 総数. 308,480. 100.0. 資料：平成 24 年経済センサス‐活動調査 ...",,0,1.0,437.3239436619718,激増
総数,2006,教育,0.6,06年度は前期比9・5％増の1万5488戸 新設住宅着工件数 ...,http://www.kumamoto-keizai.co.jp/content/asp/week/week.asp?PageID=3&Kkiji=8998&tpg=2005&Knum=24&pp=top&CntFlg=false,2007/05/29,自治体,住宅金融支援機構南九州支店（熊本市水前寺2丁目、宮崎雅孝支店長）が調べた2006年度の熊本県内新設住宅着工件数は、総数で対前期比9・5％増の1万5488戸 ...,新設,0,1.0,437.3239436619718,激増
総数,2006,住宅,0.72,熊本県住宅マスタープラン,https://www.pref.kumamoto.jp/uploaded/attachment/173532.pdf,,自治体,住宅総数が総世帯数を上回る状況となり、公営住宅の整備目標を「量的供. 給 ... 吉住 和征 氏（熊本市都市建設局 住宅部長）. ※50 音順、敬称略. 【開催実績】. 第 1 ...,"建設, 整備",0,1.0,437.3239436619718,激増
総数,2006,住宅,0.6,平成30年住宅・土地統計調査結果,https://www.city.kumamoto.jp/kiji00337216/5_37216_282922_up_J0VM01KM.pdf,,自治体,"〇熊本市の空き家の総数は、この20年で約1.4倍(31,180戸→43,500戸)に増加しま ... 〇熊本市の「賃貸用住宅(マンション等の空室も含む)」の空き家の割合は ...",マンション,0,1.0,437.3239436619718,激増
総数,2006,交通,0.6,熊本市上下水道局 熊本市上下水道事業年報,https://www.kumamoto-waterworks.jp/wp-content/uploads/2022/11/cd4edc7d0aed5a5f2e6dacf1149931b5.pdf,2022/11/30,自治体,... 熊本市上下水道局. 熊本市上下水道事業年報. Page 2. 統 計 早 見 表 ... 総数。 耐震化済延長/整備済延長. 重点6地区の改善排水面積/重点6地区の総 ...,整備,0,1.0,437.3239436619718,激増
総数,2006,政策,0.44,はじめに - 地方経済総合研究所,https://www.reri.or.jp/wp/wp-content/uploads/2017/01/k_150514_1.pdf,,その他,2013年の全国のオープン数は65、閉鎖あるいは. テナントの退転などにより対象外となったのは27. で、総数は前年に比べ38件の増加であった。 ... 熊本市中心部では再開発に ...,再開発,0,1.0,437.3239436619718,激増
総数,2006,その他,0.48,2-gyoutou p004-020.indd,https://www.town.gyokuto.kumamoto.jp/kiji0031612/3_1612_4346_up_na86qgg7.pdf,2025/05/29,自治体,"総数. ％. 総数. ％. 総数. ％. 総数. ％. 総数. 2,748. 100.0. 2,995. 100.0 ... 熊本市（旧熊本市、植木町）が692人。玉名市（旧玉名市、岱明町、横島町 ...",,0,1.0,437.3239436619718,激増
総数,2006,住宅,0.72,本市のマンションを取りまく現状と課題 - 横浜市,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/jutaku/shiryo/fuzoku/juseishin/juseishin7.files/0023_20210603.pdf,,自治体,"熊本市. 1－2．市内のマンション⼾数 ③他都市⽐較. （横浜市）マンション居住率は ... 注 ︓持ち家・共同住宅総数のうち世帯主年齢不詳を除く399,600世帯のうちの割合.","マンション, 共同住宅",0,1.0,437.3239436619718,激増
総数,2006,その他,0.32,会社概要 | SHOEI住宅 | 熊本のハウスメーカー | パナソニック ...,https://shoei.house/company/,,その他,熊本県熊本市南区田迎1丁目7番14号（松栄ビル3F）. 電話番号. 096-379-4676（代表 ... 従業員総数. 22名. 有資格者. 1級建築士：3名 2級建築士：3名 1級施工管理技士 ...,,0,1.0,437.3239436619718,激増
