町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減,原因
八幡１１丁目,2012,12040.0,激増,12040.0,5.0,602.0,
長嶺東８丁目,2012,4450.0,激増,4450.0,10.0,445.0,
宮内,2006,1335.897435897436,激増,1335.897435897436,39.0,521.0,
島崎７丁目,2006,865.2173913043479,激増,865.2173913043479,69.0,597.0,
慶徳堀町,2013,775.0,激増,775.0,20.0,155.0,分譲マンション「エイルマンション慶徳イクシオ」竣工
魚屋町１丁目,2020,509.99999999999994,大幅増加,509.99999999999994,10.0,51.0,「（仮称）魚屋町・紺屋町マンション新築工事」完成
山室６丁目,2006,442.53393665158376,激増,442.53393665158376,221.0,978.0,
楠３丁目,2000,413.0952380952382,激増,413.0952380952382,83.99999999999999,347.0,
紺屋町１丁目,2002,245.83333333333337,大幅増加,245.83333333333337,24.0,59.0,
秋津新町,2019,242.3076923076923,激増,242.3076923076923,78.0,189.0,「秋津新町マンション 新築工事」完成
鍛冶屋町,2014,222.41379310344823,激増,222.41379310344823,58.0,129.0,大型分譲「グランドオーク唐人町通り」竣工
今町,2010,216.89189189189187,激増,216.89189189189187,296.0,642.0,
元三町１丁目,2016,213.79310344827584,大幅増加,213.79310344827584,29.000000000000004,62.0,
河原町,2006,184.48275862068965,激増,184.48275862068965,58.0,107.0,「エバーライフ熊本中央」竣工
近見１丁目,2001,183.33333333333331,激増,183.33333333333331,360.00000000000006,660.0,集合住宅「プラーノウエスト」など竣工
千葉城町,2013,183.06451612903223,激増,183.06451612903223,124.0,227.0,「アンピール熊本城」完成
清水万石５丁目,2011,179.22374429223743,激増,179.22374429223743,438.00000000000006,785.0,
城東町,2010,170.92391304347828,激増,170.92391304347828,368.0,629.0,
弥生町,2018,169.87951807228916,激増,169.87951807228916,332.0,564.0,
戸島町,2006,156.96969696969697,激増,156.96969696969697,165.0,259.0,
紺屋町２丁目,2022,145.45454545454547,大幅増加,145.45454545454547,33.0,48.0,
春日３丁目,2013,145.3846153846154,激増,145.3846153846154,130.0,189.0,熊本駅周辺再開発の進行
江津２丁目,2008,136.53846153846155,激増,136.53846153846155,104.0,142.0,
本山３丁目,2009,130.92269326683294,激増,130.92269326683294,400.9999999999999,525.0,熊本駅東側の大規模マンション群完成
八島町,2008,129.7872340425532,大幅増加,129.7872340425532,47.0,61.0,
