町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減,原因
八幡１１丁目,2012,12040.0,激増,12040.0,5.0,602.0,八幡（共同）土地区画整理の住宅化進展＋市営「八幡団地」「南部中央団地」周辺の入居集中
長嶺東８丁目,2012,4450.0,激増,4450.0,10.0,445.0,東部エリアの宅地造成（田迎東・画図などの区画整理の波及）に伴う戸建分譲・賃貸の一斉供給
宮内,2006,1335.897435897436,激増,1335.897435897436,39.0,521.0,中心部周辺での共同住宅化・住居転用の進行により世帯が集中的に流入
島崎７丁目,2006,865.2173913043479,激増,865.2173913043479,69.0,597.0,市営「荒尾団地」（H13完成）周辺で入居完了期＋周辺の民間賃貸供給が重なったため
慶徳堀町,2013,775.0,激増,775.0,20.0,155.0,分譲マンション「エイルマンション慶徳イクシオ」竣工
魚屋町１丁目,2020,509.99999999999994,大幅増加,509.99999999999994,10.0,51.0,桜町再開発（バスターミナル2019.9.11・SAKURA MACHI 2019.9.14）完成の波及で都心居住が急増 & 桜町再開発（桜町バスターミナル先行開業→商業一体施設SAKURA MACHI開業）の波及で都心居住が急増
山室６丁目,2006,442.53393665158376,激増,442.53393665158376,221.0,978.0,熊本機能病院（山室6）周辺で職住近接需要が高まり、周辺アパートの供給が集中
楠３丁目,2000,413.0952380952382,激増,413.0952380952382,83.99999999999999,347.0,市営「楠団地」で1999～2001年に新棟が相次いで完成し、入居が集中 & 市営「楠団地」新棟（4・5棟=1999、6・7棟=2001、8〜11棟=2002–03）完成・入居集中 & 市営「楠団地」で1999〜2003年に新棟が連続供給され入居集中 & 市営『楠団地』の新棟供給（4・5棟=1999、6・7棟=2001、8〜13・15棟=2003）で入居が集中 & 市営「楠団地」の新棟（1999〜2003）供給で入居が集中
紺屋町１丁目,2002,245.83333333333337,大幅増加,245.83333333333337,24.0,59.0,熊本市優良賃貸住宅「エコ・ウイング21」竣工 & 自然素材賃貸マンション「エコ・ウイング21」竣工・入居開始 & 自然素材賃貸「エコ・ウイング21」など中心部の共同住宅供給が進行
秋津新町,2019,242.3076923076923,激増,242.3076923076923,78.0,189.0,「秋津新町マンション 新築工事」完成
鍛冶屋町,2014,222.41379310344823,激増,222.41379310344823,58.0,129.0,大型分譲「グランドオーク唐人町通り」竣工
今町,2010,216.89189189189187,激増,216.89189189189187,296.0,642.0,熊本駅周辺整備・新幹線全線開業準備の進展で利便性が向上し、集合住宅が増加
元三町１丁目,2016,213.79310344827584,大幅増加,213.79310344827584,29.000000000000004,62.0,西熊本駅（2016年3月開業）の波及で沿線の小規模マンション・戸建分譲が増加
河原町,2006,184.48275862068965,激増,184.48275862068965,58.0,107.0,「エバーライフ熊本中央」竣工
近見１丁目,2001,183.33333333333331,激増,183.33333333333331,360.00000000000006,660.0,集合住宅「プラーノウエスト」など竣工
千葉城町,2013,183.06451612903223,激増,183.06451612903223,124.0,227.0,「アンピール熊本城」完成
清水万石５丁目,2011,179.22374429223743,激増,179.22374429223743,438.00000000000006,785.0,県営「北津留」団地近接エリアでの住宅供給と北区清水一帯の宅地造成が進展
城東町,2010,170.92391304347828,激増,170.92391304347828,368.0,629.0,都心部の再開発機運で空きビルの住居化や小規模マンション新設が進み世帯が増加
弥生町,2018,169.87951807228916,激増,169.87951807228916,332.0,564.0,「キャッスル弥生町」（2017年竣工）などの新築マンション入居が反映
戸島町,2006,156.96969696969697,激増,156.96969696969697,165.0,259.0,戸島南台など東部の区画整理に伴う宅地化で戸建分譲が増加
紺屋町２丁目,2022,145.45454545454547,大幅増加,145.45454545454547,33.0,48.0,分譲マンション「サンパーク桜町南ヴィータジオーネ」竣工 & 分譲マンション「サンパーク桜町南ヴィータジオーネ」（2021年8月竣工）入居 & 桜町・花畑の再開発定着に伴う都心居住回帰と小規模共同住宅の新設
春日３丁目,2013,145.3846153846154,激増,145.3846153846154,130.0,189.0,熊本駅周辺再開発の進行
江津２丁目,2008,136.53846153846155,激増,136.53846153846155,104.0,142.0,水前寺江津湖公園（広木・下江津など）の整備進展と周辺の土地区画整理の宅地分譲が進み入居が集中
本山３丁目,2009,130.92269326683294,激増,130.92269326683294,400.9999999999999,525.0,熊本駅東側の大規模マンション群完成
八島町,2008,129.7872340425532,大幅増加,129.7872340425532,47.0,61.0,賃貸マンション「メルカートマンション」（2007年竣工）入居による増 & 賃貸マンション「メルカートマンション」（2007年7月竣工）入居 & 上熊本駅前整備の進展に伴う仮住まい需要・小規模共同住宅の新設で一時的に流入
