年度,対象町丁数,平均変化率(%),変化率標準偏差(%),最大増加率(%),最大減少率(%),激増件数,大幅増加件数,激減件数,大幅減少件数,変化なし件数,自然増減件数
1999,581,-0.5883957012817014,9.58899534439935,38.46153846153847,-98.47887323943661,0,2,0,6,15,558
2000,578,-0.24190022538486464,20.844214110900708,413.09523809523813,-97.86392405063292,1,5,0,8,15,549
2001,571,-0.36001064301119395,14.324555600641101,183.33333333333331,-99.5366079703429,1,5,0,9,20,536
2002,572,0.3546162231205126,12.996045767352557,245.83333333333334,-99.47526236881559,1,2,0,5,21,543
2003,572,-0.346078451989402,8.15089617021956,47.82608695652174,-98.27044025157232,0,4,0,3,14,551
2004,568,-0.5374121269156379,9.042535106408359,60.53268765133172,-99.21337266470009,0,2,0,3,15,548
2005,565,-0.36341447896892165,8.22363989851062,58.77437325905292,-97.88079470198674,0,3,0,3,17,542
2006,562,3.955940834659263,71.69919309073552,1335.897435897436,-95.01703577512777,6,3,0,12,15,526
2007,566,0.2697772739516597,8.474147931045191,75.86206896551724,-95.0,0,5,0,2,18,541
2008,564,0.09612785653911103,11.741521594177804,136.53846153846155,-89.77777777777777,2,4,0,4,24,530
2009,567,0.05118605444886165,8.783730295329212,130.92269326683294,-95.79918032786885,1,2,0,2,17,545
2010,630,0.8092275237122418,17.70685306234347,292.30769230769226,-96.03015075376884,3,2,0,4,88,533
2011,630,0.27036364884116587,9.649435696204115,179.22374429223743,-58.54309687261632,1,1,0,3,84,541
2012,634,26.360110907307536,509.5329824231788,12040.0,-22.727272727272727,2,4,0,0,85,543
2013,642,2.6022969810458347,32.22159317358319,775.0,-15.873015873015872,3,2,0,0,80,557
2014,642,0.8378702847908782,11.740848239231905,222.41379310344826,-31.132075471698112,2,4,0,1,80,555
2015,641,0.11374113245536986,7.6158937291292075,109.75609756097562,-83.92523364485982,1,2,0,3,76,559
2016,638,0.6212797867729132,10.361224433809126,213.79310344827584,-17.647058823529413,1,4,0,0,77,556
2017,639,-0.160514440738862,6.317172689485596,91.30434782608695,-17.63110307414105,0,3,0,0,74,562
2018,642,0.7501942739186264,8.692235713330723,169.87951807228916,-16.666666666666664,1,3,0,0,85,553
2019,643,0.2500217495516703,11.076759896679159,242.3076923076923,-25.0,1,3,0,0,84,555
2020,643,1.2168092505484698,21.3510252152482,509.99999999999994,-31.007751937984494,1,6,0,1,75,560
2021,643,0.1205905124657632,5.278701580715491,36.74641148325359,-25.842696629213485,0,4,0,0,80,559
2022,642,-0.434786017152773,7.500016432232154,145.45454545454547,-54.680412371134025,1,2,0,2,80,557
2023,642,0.09372713634197945,6.067877871973616,80.0,-23.636363636363637,0,4,0,0,83,555
2024,642,0.00792034481477093,4.333602433086764,58.82352941176471,-31.717171717171716,0,1,0,1,88,552
2025,642,0.002522377987905044,6.463723301234575,122.91666666666667,-15.384615384615385,1,1,0,0,86,554
