町丁名,1999_変化率(%)_異常値フラグ,1999_変化率(%)_Zスコア,2000_変化率(%)_異常値フラグ,2000_変化率(%)_Zスコア,2001_変化率(%)_異常値フラグ,2001_変化率(%)_Zスコア,2002_変化率(%)_異常値フラグ,2002_変化率(%)_Zスコア,2003_変化率(%)_異常値フラグ,2003_変化率(%)_Zスコア,2004_変化率(%)_異常値フラグ,2004_変化率(%)_Zスコア,2005_変化率(%)_異常値フラグ,2005_変化率(%)_Zスコア,2006_変化率(%)_異常値フラグ,2006_変化率(%)_Zスコア,2007_変化率(%)_異常値フラグ,2007_変化率(%)_Zスコア,2008_変化率(%)_異常値フラグ,2008_変化率(%)_Zスコア,2009_変化率(%)_異常値フラグ,2009_変化率(%)_Zスコア,2010_変化率(%)_異常値フラグ,2010_変化率(%)_Zスコア,2011_変化率(%)_異常値フラグ,2011_変化率(%)_Zスコア,2012_変化率(%)_異常値フラグ,2012_変化率(%)_Zスコア,2013_変化率(%)_異常値フラグ,2013_変化率(%)_Zスコア,2014_変化率(%)_異常値フラグ,2014_変化率(%)_Zスコア,2015_変化率(%)_異常値フラグ,2015_変化率(%)_Zスコア,2016_変化率(%)_異常値フラグ,2016_変化率(%)_Zスコア,2017_変化率(%)_異常値フラグ,2017_変化率(%)_Zスコア,2018_変化率(%)_異常値フラグ,2018_変化率(%)_Zスコア,2019_変化率(%)_異常値フラグ,2019_変化率(%)_Zスコア,2020_変化率(%)_異常値フラグ,2020_変化率(%)_Zスコア,2021_変化率(%)_異常値フラグ,2021_変化率(%)_Zスコア,2022_変化率(%)_異常値フラグ,2022_変化率(%)_Zスコア,2023_変化率(%)_異常値フラグ,2023_変化率(%)_Zスコア,2024_変化率(%)_異常値フラグ,2024_変化率(%)_Zスコア,2025_変化率(%)_異常値フラグ,2025_変化率(%)_Zスコア
万楽寺町,False,0.44299893942252955,False,0.17457280836533837,False,0.05488646336880623,False,0.00741538549338062,False,0.08408581926650732,False,0.12764721514924035,False,0.652231962002876,False,0.16520614694741884,False,0.3601627203551935,False,0.2630765378116971,False,0.11675353212829952,False,0.30548485952361293,False,0.4582150108465164,False,0.6353161923897478,False,0.012858288585551348,False,0.3006009661367598,False,0.7466670384535344,False,0.2145841542856649,False,0.19940635516906668,False,0.3918439550783815,False,0.267534746677244,False,0.027940173448662065,False,0.4241344503034534,False,0.12445350557012211,False,0.06823326462710146,False,0.2739542185564705,False,0.12828333825640834
万町１丁目,False,1.1286106622126573,False,0.331260115670469,False,0.05488646336880623,False,0.2752856500099732,False,0.32407687784718503,False,0.7269260187583887,False,0.9943671852506029,False,0.19820704685919413,False,0.7070384932742799,False,0.37316879505746203,False,1.1352241662966103,False,0.8165255694864733,False,0.24227136579466899,False,1.529629513348555,False,0.017253392763956116,False,0.47842019954146386,False,0.6399081005141584,True,2.02103387326916,False,0.40098685709442783,False,1.4457136646701536,False,0.24454674119159928,False,0.33064839427213677,False,1.9489495953267857,False,1.053684457294442,False,0.2467686208641714,False,1.1260108135033786,False,0.4223511514774467
万町２丁目,True,2.7625582746437574,False,0.8952932631297188,False,0.05488646336880623,False,0.3552510312225763,False,0.007305078603795771,False,0.03370211824970256,False,1.2943064986814563,False,0.22814282439212585,False,1.0209702443738025,True,2.8407538712556417,False,0.5598123775306607,False,0.03877234849708626,False,1.5629313568361896,False,0.0626280642619804,False,0.5807416540065784,False,0.8140467344246801,True,2.9672395517911903,True,2.8501613939582966,False,1.1584760319016618,False,0.053612195399392895,False,1.699554865324336,False,0.8060845898156431,True,2.938790755286124,False,1.3909209234651632,False,0.5178245884741447,False,1.419570613794248,False,0.5153133902194371
三郎１丁目,False,0.6595630845767192,False,0.04374956695643437,False,0.1187681430584523,False,0.034832367449580626,False,0.4279940216895942,False,0.2895332861116984,False,0.1554990801529457,False,0.07442462641567729,False,0.43751194330391907,False,0.19633080796261984,False,0.0061954476649960415,False,0.251903285066505,False,0.19358492354334458,False,0.04776729604689207,False,1.34754134591067,False,0.20950574918245138,False,0.4152877166391807,False,0.3593668134069282,False,0.4082021014097674,False,0.13752267789249575,False,0.2047156009174342,False,0.0030972711413561624,False,1.1425147366642225,False,0.11304927724249698,False,0.16578824528327143,False,0.9959422156636573,False,0.2244771751809221
三郎２丁目,False,0.9085211489277822,False,0.04510101664509421,False,0.008751497132809942,False,0.41233571993263907,False,0.3008354458340527,False,0.38932761803784655,False,0.13775373666204566,False,0.10139571470953851,False,0.1419613412951395,False,0.04174919712038417,False,0.024272873040612652,False,0.2600065653665861,False,0.38929520883298435,False,0.34794105402110725,False,0.025482229732037957,False,0.20188944118622576,False,0.5389482114287628,False,0.06276657035837996,False,0.5037870334273296,False,0.3170427005339898,False,0.0637588567698364,False,0.061567600449480786,False,0.1364187670396724,False,0.06181339921507185,False,0.31756741334219885,False,0.06949307644657465,False,0.0793207392034926
上京塚町,False,0.9707742493320913,False,0.6099318647966138,True,6.201294564088266,False,0.5161815886011215,False,1.5765581433581501,False,0.22678201406265222,True,3.545106150018895,False,0.6904600868734388,True,3.7892775040695916,True,2.9907612874520226,False,1.14705428900508,False,0.16056776276489945,False,0.23322998182877264,True,3.0048093278994923,False,0.36117159083665246,False,0.15186412827046622,False,0.26484057060102706,True,2.1577907294676875,False,1.4479513306715612,False,1.6977796560890683,False,0.9928544915903678,False,0.9089243481235978,False,0.507116953261459,False,0.28572271086195067,False,1.2939272314439692,False,0.6048610082124334,False,1.1084405425092763
上林町,False,0.37363770723137807,False,0.1920276064482641,False,0.8829403424501163,False,0.49243273186740316,False,0.969362839459538,False,0.7947083025395889,False,1.1251918136870143,False,0.3230838016315086,False,0.684325583153639,False,0.2716076721370147,False,0.2655677128208002,False,0.7493164634689038,False,1.1576612624307494,False,1.8989933401296824,False,0.03589016405019071,False,0.2486254690986228,False,0.8772083173078438,False,1.1557241397728542,False,0.10736746701459161,False,0.11409072196451008,False,0.14760380177896454,False,0.3775583669384059,False,0.2705303398392675,False,0.699482641345392,False,0.12495000890899147,True,2.0711360014212694,False,0.6210877323777918
上水前寺１丁目,False,0.34376421751306974,False,0.06422890637288,False,0.11387331305625864,False,0.19084398813093081,False,0.0905681969061451,False,0.5705312433899185,False,1.0863714056747482,False,0.2599730451599775,False,0.38959331513229256,False,0.28706778901103996,False,0.10764452499006252,False,0.377815496315196,False,0.22875386581010904,False,1.3454665081973813,False,0.17757307289335933,False,0.04180377216719636,False,0.867602539951434,False,1.6797252706527432,False,0.8797994506550681,True,3.368801709421272,False,0.015097942798772161,False,0.08859044782116099,False,0.7445573491147753,False,0.4403522247644297,False,0.056844780499535806,False,1.5735472764232115,False,0.007596547859334831
上水前寺２丁目,False,0.9121935895771848,False,0.03772973937981095,False,0.2465122513037345,False,0.03858703710634224,False,0.4982265546607636,False,0.2006118792742614,False,0.4116629002539259,False,0.3090732010931558,False,0.026029235605654944,False,0.452375229602095,False,0.08200207194619068,False,0.14100387916624307,False,0.21010407292479819,False,0.2473829478762115,False,0.08701965118700285,False,0.33243586564512817,False,0.24624402214077268,False,0.5763729673858182,False,0.5244890246789531,False,0.020134164046093177,False,0.17848395893905325,False,0.31438554371414756,False,0.7987204711419617,False,1.1209645010499916,False,0.46302316034275476,False,0.021662499347079398,False,0.6360663342583905
上熊本１丁目,False,0.1929580382591192,False,0.24508261177462173,False,0.45582606486757693,False,0.09065519738358724,False,0.36721635450696194,False,0.05615764689731935,False,0.04606846974264352,False,0.10705668748347331,False,0.23630609775591382,False,0.10436604382045633,False,0.8583045763638915,False,0.17086879404101085,False,0.10446268879056195,False,0.09326561486132313,False,0.06271739671815268,False,0.20590270651095838,False,0.46770944295424255,False,0.09383104649870959,False,1.5309003928921754,False,1.2214200612987143,False,0.37093261798139093,False,0.07507590451125926,True,6.745962194893181,False,0.2815408723426512,False,0.16089467409256697,False,0.18949714018002026,False,0.2815746922893556
