町丁名,1999_変化率(%),1999_変化数,2000_変化率(%),2000_変化数,2001_変化率(%),2001_変化数,2002_変化率(%),2002_変化数,2003_変化率(%),2003_変化数,2004_変化率(%),2004_変化数,2005_変化率(%),2005_変化数,2006_変化率(%),2006_変化数,2007_変化率(%),2007_変化数,2008_変化率(%),2008_変化数,2009_変化率(%),2009_変化数,2010_変化率(%),2010_変化数,2011_変化率(%),2011_変化数,2012_変化率(%),2012_変化数,2013_変化率(%),2013_変化数,2014_変化率(%),2014_変化数,2015_変化率(%),2015_変化数,2016_変化率(%),2016_変化数,2017_変化率(%),2017_変化数,2018_変化率(%),2018_変化数,2019_変化率(%),2019_変化数,2020_変化率(%),2020_変化数,2021_変化率(%),2021_変化数,2022_変化率(%),2022_変化数,2023_変化率(%),2023_変化数,2024_変化率(%),2024_変化数,2025_変化率(%),2025_変化数
万楽寺町,-2.19435736677116,-7,-2.564102564102564,-8,0.0,0,0.9868421052631579,3,-0.6514657980456027,-2,0.6557377049180327,2,3.5830618892508146,11,-2.20125786163522,-7,2.8938906752411575,9,-2.5,-8,0.9615384615384616,3,-2.5396825396825395,-8,-2.9315960912052117,-9,-3.0201342281879198,-9,1.0380622837370241,3,-2.73972602739726,-8,-4.577464788732395,-13,1.4760147601476015,4,-1.8181818181818181,-5,-1.8518518518518516,-5,-3.018867924528302,-8,0.38910505836575876,1,-2.3255813953488373,-6,-1.5873015873015872,-4,-0.4032258064516129,-1,-1.214574898785425,-3,-0.819672131147541,-2
万町１丁目,6.5420560747663545,7,7.017543859649122,8,0.0,0,4.098360655737705,5,-2.3622047244094486,-3,4.838709677419355,6,5.384615384615385,7,-2.9197080291970803,-4,5.263157894736842,7,-3.571428571428571,-5,-9.62962962962963,-13,5.737704918032787,7,1.550387596899225,2,8.396946564885496,11,2.112676056338028,3,6.896551724137931,10,-3.870967741935484,-6,-11.409395973154362,-17,1.5151515151515151,2,8.208955223880597,11,-2.7586206896551726,-4,-6.382978723404255,-9,10.606060606060606,14,-8.904109589041095,-13,1.5037593984962405,2,5.185185185185185,7,-2.8169014084507045,-4
万町２丁目,15.625,5,-16.216216216216218,-6,0.0,0,-3.225806451612903,-1,0.0,0,0.0,0,-6.666666666666667,-2,-3.571428571428571,-1,7.4074074074074066,2,-27.586206896551722,-8,-4.761904761904762,-1,0.0,0,-10.0,-2,0.0,0,22.22222222222222,4,-9.090909090909092,-2,20.0,4,16.666666666666664,4,-7.142857142857142,-2,0.0,0,-19.230769230769234,-5,19.047619047619047,4,16.0,4,10.344827586206897,3,-3.125,-1,-6.451612903225806,-2,-3.4482758620689653,-1
三郎１丁目,3.9346696362286564,53,1.5714285714285716,22,-0.7735583684950774,-11,0.4961020552799433,7,-3.1029619181946404,-44,-2.2561863173216885,-31,-0.6701414743112435,-9,-0.22488755622188905,-3,-2.5544703230653645,-34,-1.8504240555127216,-24,-0.07855459544383347,-1,1.5723270440251573,20,-1.238390092879257,-16,0.07836990595611285,1,-46.59357870007831,-595,-1.6129032258064515,-11,-2.384500745156483,-16,-1.8320610687022902,-12,1.5552099533437014,10,-0.45941807044410415,-3,-2.307692307692308,-15,0.9448818897637795,6,-6.240249609984399,-40,-1.497504159733777,-9,1.0135135135135136,6,-4.51505016722408,-27,1.5761821366024518,9
三郎２丁目,-4.782146652497343,-45,-0.11160714285714285,-1,0.5586592178770949,5,-3.888888888888889,-35,-2.1965317919075145,-19,2.4822695035460995,21,-0.5767012687427913,-5,-0.8120649651972157,-7,1.4035087719298245,12,-0.34602076124567477,-3,-0.23148148148148145,-2,-2.2041763341067284,-19,2.491103202846975,21,-1.5046296296296295,-13,0.5875440658049353,5,-1.5186915887850467,-13,-3.202846975088968,-27,-0.12254901960784313,-1,2.085889570552147,17,-1.4423076923076923,-12,0.7317073170731708,6,-0.36319612590799033,-3,0.7290400972053462,6,-0.12062726176115801,-1,1.932367149758454,16,0.35545023696682465,3,0.5903187721369539,5
上京塚町,-5.128205128205128,-2,-10.81081081081081,-4,75.75757575757575,25,6.896551724137931,4,-11.29032258064516,-7,-1.8181818181818181,-1,-18.51851851851852,-10,-13.636363636363635,-6,26.31578947368421,10,29.166666666666668,14,9.67741935483871,6,-1.4705882352941175,-1,1.4925373134328357,1,16.176470588235293,11,-11.39240506329114,-9,2.857142857142857,2,-1.3888888888888888,-1,12.676056338028168,9,-8.75,-7,9.58904109589041,7,11.25,9,21.34831460674157,19,-2.7777777777777777,-3,-2.857142857142857,-3,7.8431372549019605,8,-2.727272727272727,-3,-7.476635514018691,-8
上林町,-1.8087855297157622,-7,-2.8947368421052633,-11,-10.02710027100271,-37,-4.819277108433735,-16,-6.962025316455696,-22,-5.782312925170068,-17,-5.776173285198556,-16,8.42911877394636,22,-4.240282685512367,-12,-2.5830258302583027,-7,-2.272727272727273,-6,-5.813953488372093,-15,7.4074074074074066,18,10.344827586206897,27,2.7777777777777777,8,4.054054054054054,12,6.1688311688311686,19,-6.422018348623854,-21,-1.3071895424836601,-4,-0.33112582781456956,-1,-1.6611295681063125,-5,-7.4324324324324325,-22,1.4598540145985401,4,-6.115107913669065,-17,0.7662835249042145,2,9.505703422053232,25,-4.166666666666666,-12
上水前寺１丁目,2.1791767554479415,9,-0.47393364928909953,-2,-0.7142857142857143,-3,3.117505995203837,13,-0.6976744186046512,-3,3.747072599531616,16,5.8690744920993225,26,-4.264392324093817,-20,-2.2271714922048997,-10,-2.733485193621868,-12,-0.936768149882904,-4,-3.0732860520094563,-13,-1.4634146341463417,-6,7.425742574257425,30,7.834101382488479,34,1.4957264957264957,7,6.105263157894736,29,9.920634920634921,50,-5.595667870036101,-31,18.738049713193117,98,-0.1610305958132045,-1,-0.967741935483871,-6,-4.071661237785016,-25,-4.074702886247878,-24,0.35398230088495575,2,7.231040564373897,41,0.0,0
上水前寺２丁目,-4.8025613660619,-45,1.4573991031390134,13,-2.3204419889502765,-21,0.4524886877828055,4,-3.6036036036036037,-32,-1.6355140186915886,-14,-2.019002375296912,-17,-5.333333333333334,-44,0.2560819462227913,2,-4.342273307790549,-34,0.6675567423230975,5,-1.3262599469496021,-10,-1.3440860215053763,-10,1.6348773841961852,12,-1.6085790884718498,-12,-3.1335149863760217,-23,-1.2658227848101267,-9,3.561253561253561,25,2.200825309491059,16,0.4037685060565276,3,-2.0107238605898123,-15,-6.019151846785226,-44,-4.366812227074235,-30,8.21917808219178,54,2.8129395218002813,20,0.13679890560875513,1,4.371584699453552,32
上熊本１丁目,1.340860973888497,19,-3.8997214484679668,-56,-4.855072463768116,-67,-0.15232292460015232,-2,-2.6697177726926014,-35,0.1567398119122257,2,0.39123630672926446,5,-0.9353078721745909,-12,-1.1801730920535012,-15,-0.9554140127388535,-12,7.234726688102894,90,0.9745127436281859,13,-0.6681514476614699,-9,0.8221225710014948,11,-0.7412898443291327,-10,-1.568334578043316,-21,-2.731411229135053,-36,0.7800312012480499,10,-9.210526315789473,-119,-6.3938618925831205,-75,-4.189435336976321,-46,-0.6653992395437262,-7,36.74641148325359,384,1.609517144856543,23,-0.9641873278236914,-14,0.9040333796940195,13,-1.8607856650585803,-27
