年度,町丁数,総人口,男性人口,女性人口,平均人口,最大人口,最小人口,人口標準偏差
1998,585,575286,272810,302476,983.3948717948718,6849,7,879.0131041699117
1999,582,571860,270906,300954,982.5773195876288,6890,7,876.2736469496355
2000,580,558655,264333,294322,963.198275862069,6103,8,815.8938984559267
2001,574,546864,258704,288160,952.7247386759582,6238,7,817.874208410493
2002,573,559547,264771,294776,976.521815008726,11448,6,931.0706324912248
2003,572,549348,259613,289735,960.3986013986014,6415,5,823.4767704383838
2004,569,541375,255302,286073,951.4499121265378,5059,5,791.1009586646755
2005,567,537609,253175,284434,948.1640211640212,4944,6,785.3441973970496
2006,568,522918,246102,276816,920.6302816901408,4691,5,756.075820362003
2007,566,520791,244840,275951,920.1254416961131,4465,5,753.7314609394926
2008,567,520308,244346,275962,917.6507936507936,4369,5,749.14343649276
2009,631,562866,264704,298162,892.0221870047544,4212,5,743.2027214840115
2010,633,559182,262805,296377,883.3838862559242,4261,5,729.0645316583538
2011,635,560642,263491,297151,882.9007874015748,4383,5,724.8153716284625
2012,643,569931,267521,302410,886.362363919129,4492,7,726.7375446683217
2013,642,574411,269488,304923,894.7211838006231,4478,6,729.071782974731
2014,642,574421,269644,304777,894.7367601246106,4441,5,725.4002203877723
2015,642,569988,267516,302472,887.8317757009346,4514,5,717.8829769094066
2016,639,569185,267098,302087,890.7433489827856,4485,10,712.7279087828999
2017,642,567059,266717,300342,883.2694704049844,4635,5,712.1469137786102
2018,643,567966,267563,300403,883.3063763608087,4585,5,712.2097448287687
2019,643,567099,267034,300065,881.9580093312597,4651,5,709.433688705417
2020,644,566001,266631,299370,878.8835403726708,4632,6,704.8524549901506
2021,643,565428,266350,299078,879.3592534992224,4545,5,701.6918606547316
2022,642,561949,264598,297351,875.309968847352,4502,5,696.2609357596457
2023,642,561327,264614,296713,874.3411214953271,4466,8,694.5159464225761
2024,642,560903,264628,296275,873.6806853582555,4474,8,694.2346929933246
2025,644,560291,264531,295760,870.0170807453416,4445,5,693.6768700330408
