year,foreign_population,source
2001,3227,熊本市統計書 02-02  12月
2002,3349,熊本市統計書 02-02  12月
2003,3614,熊本市統計書 02-02  12月
2004,3719,熊本市統計書 02-02  12月
2005,4042,熊本市統計書 02-02  12月
2006,3860,熊本市統計書 02-02  12月
2007,3886,熊本市統計書 02-02  12月
2008,4027,熊本市統計書 02-02  12月
2009,4107,熊本市統計書 02-02  12月
2010,4279,熊本市統計書 02-02  12月
2011,4241,熊本市統計書 02-02  12月
2012,4280,熊本市統計書 02-02  12月
2013,4352,熊本市統計書 02-02  12月
2014,4450,熊本市統計書 02-02  12月
2015,4640,熊本市統計書 02-02  12月
2016,4746,熊本市統計書 02-02  12月
2017,5303,熊本市統計書 02-02  12月
2018,5927,熊本市統計書 02-02  12月
2019,6651,熊本市統計書 02-02  12月
2020,6437,熊本市統計書 02-02  12月
2021,6089,熊本市統計書 02-02  12月
2022,7272,熊本市統計書 02-02  12月
2023,9061,熊本市統計書 02-02  12月
2024,9064,e-Stat（住基ベース） 1月
2025,10617,e-Stat（住基ベース） 1月
