town,year,event_type,confidence,intensity,lag_t,lag_t1,effect_direction,source_url,source_name,publish_date
八幡11丁目,2012,housing,1.0,1.0,1,1,increase,,,
九品寺5丁目,2019,housing,1.0,1.0,1,1,increase,,,
本山町,2002,housing,1.0,1.0,1,1,increase,,,
坪井6丁目,2004,housing,1.0,1.0,1,1,increase,,,
徳王町,2005,transit,1.0,1.0,0,1,increase,,,
徳王町,2005,public_edu_medical,1.0,1.0,0,1,increase,,,
徳王町,2005,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2018,housing,1.0,1.0,1,1,increase,,,
長嶺南3丁目,2008,housing,1.0,1.0,1,1,increase,,,
月出2丁目,2001,public_edu_medical,1.0,1.0,0,1,increase,,,
月出2丁目,2001,commercial,1.0,1.0,1,1,increase,,,
月出2丁目,2001,housing,1.0,1.0,1,1,increase,,,
大江3丁目,2017,disaster,1.0,1.0,1,0,increase,,,
大江3丁目,2017,commercial,1.0,1.0,1,1,increase,,,
大江3丁目,2017,housing,1.0,1.0,1,1,increase,,,
長嶺南3丁目,2006,housing,1.0,1.0,1,1,increase,,,
神水本町,2018,transit,1.0,1.0,0,1,increase,,,
水前寺公園,2010,housing,1.0,1.0,1,1,increase,,,
長嶺東5丁目,2002,policy_boundary,1.0,1.0,1,0,decrease,,,
帯山1丁目,2007,housing,1.0,1.0,1,1,increase,,,
小山町,1999,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2007,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2009,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2006,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2014,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2020,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2024,transit,1.0,1.0,0,1,increase,,,
東町3丁目,2024,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2015,housing,1.0,1.0,1,1,increase,,,
水前寺公園,1999,housing,1.0,1.0,1,1,increase,,,
近見8丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
大江2丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
大江2丁目,2019,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2008,transit,1.0,1.0,0,1,increase,,,
清水万石5丁目,2008,housing,1.0,1.0,1,1,increase,,,
月出1丁目,2008,public_edu_medical,1.0,1.0,0,1,increase,,,
月出1丁目,2008,housing,1.0,1.0,1,1,increase,,,
小峯4丁目,2022,transit,1.0,1.0,0,1,increase,,,
小峯4丁目,2022,housing,1.0,1.0,1,1,increase,,,
元三町1丁目,2021,disaster,1.0,1.0,1,0,decrease,,,
元三町1丁目,2021,transit,1.0,1.0,0,1,increase,,,
元三町1丁目,2021,commercial,1.0,1.0,1,1,increase,,,
大江6丁目,2010,housing,1.0,1.0,1,1,increase,,,
二本木5丁目,2006,transit,1.0,1.0,1,1,decrease,,,
二本木5丁目,2006,housing,1.0,1.0,1,1,increase,,,
新屋敷1丁目,2001,housing,1.0,1.0,1,1,increase,,,
大江6丁目,2013,housing,1.0,1.0,1,1,increase,,,
上熊本3丁目,2020,transit,1.0,1.0,0,1,increase,,,
上熊本3丁目,2020,housing,1.0,1.0,1,1,increase,,,
新屋敷1丁目,2006,housing,1.0,1.0,1,1,increase,,,
画図町大字重富,2007,housing,1.0,1.0,1,1,increase,,,
長嶺南4丁目,2014,housing,1.0,100.0,1,1,increase,,,
京町本丁,2015,transit,1.0,1.0,0,1,increase,,,
京町本丁,2015,housing,1.0,1.0,1,1,increase,,,
大江2丁目,2018,housing,1.0,1.0,1,1,increase,,,
神水本町,2000,housing,1.0,1.0,1,1,increase,,,
渡鹿6丁目,2006,transit,1.0,1.0,0,1,increase,,,
渡鹿6丁目,2006,public_edu_medical,1.0,1.0,0,1,increase,,,
世安町,1999,employment,1.0,1.0,0,1,increase,,,
世安町,1999,housing,1.0,1.0,1,1,increase,,,
江津1丁目,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
清水本町,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
長嶺東8丁目,2012,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
鶴羽田町,2010,policy_boundary,1.0,1.0,1,0,decrease,,,
海路口町,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字下江津,2008,policy_boundary,1.0,1.0,1,0,decrease,,,
近見町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字下江津,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
御領7丁目,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
小山町,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
池上町,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸西無田町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
清水町大字松崎,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
龍田町弓削,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
健軍本町,2007,policy_boundary,1.0,1.0,1,0,decrease,,,
江津2丁目,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
徳王町,2009,policy_boundary,1.0,1.0,1,0,decrease,,,
田迎町大字良町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
坪井6丁目,2010,policy_boundary,1.0,1.0,1,0,decrease,,,
島崎7丁目,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸笛田町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
黒髪町大字坪井,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
長嶺東8丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸木部町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字上無田,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
