town,year,event_type,effect_direction,confidence,intensity,lag_t,lag_t1,source_url,source_name,publish_date,_score
上南部町,2001,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上熊本1丁目,2021,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上熊本1丁目,2021,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上熊本1丁目,2021,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上熊本3丁目,2020,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上熊本3丁目,2020,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上通町,2006,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
上通町,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
下硯川町,2011,policy_boundary,decrease,1.0,1.0,1,0,,,,"(1, 1.0, 1.0, -9223372036854775807)"
世安町,1999,employment,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
世安町,1999,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
世安町,2022,policy_boundary,decrease,1.0,1.0,1,0,https://www.city.kumamoto.jp/,熊本市告示,2021-11-29,"(1, 1.0, 1.0, -1638144000000000000)"
世安町,2022,transit,decrease,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
中原町,2015,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
中原町,2015,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
九品寺2丁目,2008,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
九品寺2丁目,2008,public_edu_medical,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
九品寺5丁目,2019,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
九品寺5丁目,2022,housing,increase,1.0,1.0,1,1,https://www.city.kumamoto.jp/,熊本市公式サイト,2022-02-01,"(1, 1.0, 1.0, -1643673600000000000)"
九品寺6丁目,2001,housing,increase,1.0,73.0,1,1,,,,"(1, 1.0, 73.0, -9223372036854775807)"
九品寺6丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
二本木5丁目,2006,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
二本木5丁目,2006,transit,decrease,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
京町本丁,2015,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
京町本丁,2015,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
今町,2010,commercial,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
今町,2010,housing,increase,1.0,1.0,1,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
今町,2010,transit,increase,1.0,1.0,0,1,,,,"(1, 1.0, 1.0, -9223372036854775807)"
佐土原2丁目,2017,commercial,increase,1.0,67.0,1,1,,,,"(1, 1.0, 67.0, -9223372036854775807)"
