town,year,delta_people,y_pred,fold,abs_err,signed_err
世安町,2022,-1326.0,-143.12020662538782,4,1182.8797933746123,1182.8797933746123
上熊本3丁目,2020,386.0,164.32452708445754,2,221.67547291554246,-221.67547291554246
上熊本1丁目,2021,384.0,174.42464884403338,3,209.57535115596662,-209.57535115596662
東町3丁目,2019,-162.0,-17.584339234067706,1,144.4156607659323,144.4156607659323
東町3丁目,2024,-206.0,-63.22621287427527,6,142.77378712572474,142.77378712572474
春日2丁目,2025,304.0,171.13145109434262,7,132.86854890565738,-132.86854890565738
大江2丁目,2019,202.0,107.13533699680897,1,94.86466300319103,-94.86466300319103
東町4丁目,2020,-207.0,-115.54165470504874,2,91.45834529495126,91.45834529495126
大江2丁目,2020,185.0,112.78021109843861,2,72.21978890156139,-72.21978890156139
東町3丁目,2025,-167.0,-96.2911117434029,7,70.7088882565971,70.7088882565971
東町1丁目,2024,-157.0,-111.26809742887617,6,45.731902571123825,45.731902571123825
萩原町,2019,-161.0,-121.77220589533458,1,39.22779410466542,39.22779410466542
東町3丁目,2023,-160.0,-122.6820141435251,5,37.317985856474905,37.317985856474905
九品寺5丁目,2019,213.0,176.1113589730866,1,36.888641026913405,-36.888641026913405
長嶺東5丁目,2021,-138.0,-103.936591517259,3,34.063408482740996,34.063408482740996
八景水谷2丁目,2024,-169.0,-138.40244328510073,6,30.59755671489927,30.59755671489927
九品寺1丁目,2025,193.0,163.78779028955776,7,29.212209710442238,-29.212209710442238
秋津新町,2019,189.0,160.56687946518855,1,28.43312053481145,-28.43312053481145
八景水谷2丁目,2022,-166.0,-138.43213433354373,4,27.56786566645627,27.56786566645627
東町4丁目,2022,-135.0,-107.66176020761093,4,27.338239792389075,27.338239792389075
八景水谷2丁目,2020,-147.0,-121.1217522590838,2,25.878247740916194,25.878247740916194
東町4丁目,2021,-12.0,-36.220840426607495,3,24.220840426607495,-24.220840426607495
東町3丁目,2020,-11.0,-35.2062175212438,2,24.2062175212438,-24.2062175212438
本山3丁目,2019,173.0,148.80665158505317,1,24.193348414946826,-24.193348414946826
東町1丁目,2025,-47.0,-23.42311008861264,7,23.57688991138736,23.57688991138736
弥生町,2019,30.0,9.737785759118495,1,20.262214240881505,-20.262214240881505
春日3丁目,2023,168.0,147.8815816156424,5,20.118418384357597,-20.118418384357597
長嶺南3丁目,2019,79.0,60.02439517635189,1,18.975604823648112,-18.975604823648112
八景水谷2丁目,2019,-144.0,-126.71224696939538,1,17.28775303060462,17.28775303060462
長嶺東5丁目,2022,2.0,-14.82053983817143,4,16.820539838171428,-16.820539838171428
月出6丁目,2019,63.0,46.45929194542672,1,16.54070805457328,-16.54070805457328
八景水谷2丁目,2025,-97.0,-81.13746207634485,7,15.862537923655154,15.862537923655154
長嶺南7丁目,2021,175.0,159.33423933556477,3,15.665760664435226,-15.665760664435226
佐土原3丁目,2020,113.0,97.43156620184038,2,15.568433798159617,-15.568433798159617
段山本町,2023,173.0,158.32070382179597,5,14.679296178204027,-14.679296178204027
画図町大字下無田,2020,96.0,110.26666232605106,2,14.266662326051062,14.266662326051062
本山町,2022,-68.0,-54.64794249973805,4,13.35205750026195,13.35205750026195
水前寺公園,2023,109.0,95.72983768061965,5,13.270162319380347,-13.270162319380347
神水本町,2019,6.0,19.051955920719873,1,13.051955920719873,13.051955920719873
川口町,2022,-81.0,-68.30849082976577,4,12.691509170234227,12.691509170234227
健軍本町,2023,168.0,155.31726885399024,5,12.682731146009758,-12.682731146009758
月出1丁目,2021,-73.0,-60.733661339183115,3,12.266338660816885,12.266338660816885
春日3丁目,2024,123.0,110.93589041222461,6,12.064109587775391,-12.064109587775391
九品寺3丁目,2020,-62.0,-50.03958600823251,2,11.960413991767489,11.960413991767489
東本町,2021,-135.0,-123.67952068285727,3,11.320479317142727,11.320479317142727
出水5丁目,2022,-68.0,-56.838023478680206,4,11.161976521319794,11.161976521319794
四方寄町,2019,-44.0,-54.759316885220585,1,10.759316885220585,-10.759316885220585
長嶺南7丁目,2022,19.0,8.27749883926643,4,10.72250116073357,-10.72250116073357
小峯4丁目,2021,94.0,104.6113047028188,3,10.6113047028188,10.6113047028188
二本木2丁目,2024,81.0,91.605138767071,6,10.605138767070997,10.605138767070997
小峯4丁目,2019,58.0,68.35722748810505,1,10.357227488105053,10.357227488105053
東町4丁目,2025,-75.0,-85.06013898736093,7,10.06013898736093,-10.06013898736093
大江2丁目,2021,28.0,37.8336428424645,3,9.8336428424645,9.8336428424645
水道町,2023,161.0,151.61883159053218,5,9.381168409467818,-9.381168409467818
画図町大字下無田,2022,67.0,76.01096231424572,4,9.010962314245717,9.010962314245717
上熊本1丁目,2022,23.0,31.965816143599316,4,8.965816143599316,8.965816143599316
八景水谷2丁目,2023,-44.0,-52.86796010922563,5,8.867960109225628,-8.867960109225628
国府2丁目,2023,-61.0,-52.473501000050796,5,8.526498999949204,8.526498999949204
二本木2丁目,2023,132.0,123.47744730588731,5,8.52255269411269,-8.52255269411269
水道町,2024,2.0,10.33109189079018,6,8.33109189079018,8.33109189079018
東本町,2020,-84.0,-92.22747356595691,2,8.227473565956913,-8.227473565956913
東町3丁目,2021,136.0,127.82514320258392,3,8.174856797416084,-8.174856797416084
世安町,2025,-31.0,-22.872278759362747,7,8.127721240637253,8.127721240637253
段山本町,2024,20.0,12.25378722349396,6,7.74621277650604,-7.74621277650604
萩原町,2020,-37.0,-44.66081700569398,2,7.660817005693978,-7.660817005693978
桜町,2020,167.0,159.3548209963487,2,7.645179003651293,-7.645179003651293
元三町1丁目,2021,71.0,78.3834319947651,3,7.383431994765104,7.383431994765104
水前寺1丁目,2025,150.0,142.6967758880631,7,7.303224111936913,-7.303224111936913
二本木2丁目,2019,105.0,97.94309280734804,1,7.056907192651963,-7.056907192651963
四方寄町,2022,69.0,76.05411365362825,4,7.054113653628249,7.054113653628249
新町4丁目,2021,102.0,95.19881912986608,3,6.801180870133919,-6.801180870133919
水前寺公園,2022,-62.0,-55.2320959839843,4,6.767904016015699,6.767904016015699
大江3丁目,2024,-62.0,-55.34366635237494,6,6.656333647625061,6.656333647625061
錦ケ丘,2024,26.0,19.391792125219776,6,6.6082078747802235,-6.6082078747802235
春日3丁目,2022,85.0,91.57455871549685,4,6.574558715496849,6.574558715496849
池田3丁目,2020,-54.0,-47.42743005718466,2,6.572569942815342,6.572569942815342
沼山津3丁目,2020,26.0,32.5189751388946,2,6.5189751388945965,6.5189751388945965
楠1丁目,2019,-32.0,-25.487683314175573,1,6.512316685824427,6.512316685824427
水前寺6丁目,2022,64.0,70.36492929922153,4,6.364929299221529,6.364929299221529
帯山2丁目,2024,-25.0,-31.351273586487086,6,6.3512735864870855,-6.3512735864870855
田迎2丁目,2021,-51.0,-44.66606493019712,3,6.333935069802877,6.333935069802877
東町4丁目,2023,-25.0,-31.332422956570404,5,6.332422956570404,-6.332422956570404
九品寺5丁目,2022,90.0,96.27153537428849,4,6.27153537428849,6.27153537428849
八王寺町,2021,-87.0,-80.82648121390764,3,6.173518786092359,6.173518786092359
南熊本4丁目,2024,52.0,45.965256281497126,6,6.034743718502874,-6.034743718502874
魚屋町1丁目,2020,51.0,57.00866349464036,2,6.008663494640359,6.008663494640359
九品寺2丁目,2021,22.0,16.02538912872765,3,5.9746108712723505,-5.9746108712723505
八分字町,2022,45.0,50.94514648327163,4,5.945146483271628,5.945146483271628
長嶺東4丁目,2021,65.0,59.08406986968763,3,5.915930130312368,-5.915930130312368
桜町,2021,-7.0,-1.148516229306778,3,5.851483770693222,5.851483770693222
東本町,2019,-84.0,-78.1747640051423,1,5.825235994857707,5.825235994857707
九品寺2丁目,2020,106.0,100.18451930424382,2,5.815480695756179,-5.815480695756179
川口町,2023,-59.0,-64.7472022797793,5,5.747202279779302,-5.747202279779302
新大江3丁目,2019,-58.0,-52.297226692751416,1,5.7027733072485844,5.7027733072485844
秋津町秋田,2019,-51.0,-45.55756053927279,1,5.442439460727208,5.442439460727208
新町1丁目,2025,147.0,141.6068838258617,7,5.393116174138299,-5.393116174138299
佐土原3丁目,2023,100.0,105.35860714403925,5,5.358607144039254,5.358607144039254
京町2丁目,2019,57.0,51.66797246257192,1,5.3320275374280826,-5.3320275374280826
南高江4丁目,2019,-61.0,-55.685569055745965,1,5.314430944254035,5.314430944254035
島崎2丁目,2021,-34.0,-39.298583660242564,3,5.2985836602425636,-5.2985836602425636
南千反畑町,2025,156.0,150.85341395337815,7,5.146586046621849,-5.146586046621849
長嶺南3丁目,2020,-36.0,-41.02384171118404,2,5.0238417111840405,-5.0238417111840405
日吉1丁目,2019,-42.0,-36.986262267716015,1,5.013737732283985,5.013737732283985
帯山2丁目,2023,-84.0,-79.0660677260021,5,4.933932273997897,4.933932273997897
武蔵ケ丘7丁目,2020,-67.0,-62.09760306728183,2,4.902396932718169,4.902396932718169
世安町,2024,-75.0,-70.1080142806764,6,4.8919857193236,4.8919857193236
九品寺6丁目,2023,93.0,88.1487364304311,5,4.8512635695689,-4.8512635695689
水前寺5丁目,2019,-46.0,-41.23868731337951,1,4.761312686620492,4.761312686620492
大江3丁目,2019,52.0,56.68238213008928,1,4.68238213008928,4.68238213008928
秋津3丁目,2021,24.0,19.354055782313747,3,4.645944217686253,-4.645944217686253
東町3丁目,2022,-3.0,1.6102405449697146,4,4.610240544969715,4.610240544969715
萩原町,2024,54.0,49.456146407691676,6,4.543853592308324,-4.543853592308324
島崎2丁目,2024,-1.0,3.5358112511379014,6,4.535811251137901,4.535811251137901
田崎3丁目,2021,-15.0,-10.494839386173277,3,4.505160613826723,4.505160613826723
新大江1丁目,2021,12.0,7.59420238133659,3,4.40579761866341,-4.40579761866341
小峯4丁目,2020,110.0,105.6060804141571,2,4.3939195858428945,-4.3939195858428945
渡鹿6丁目,2022,26.0,21.60958302580078,4,4.390416974199219,-4.390416974199219
秋津新町,2020,5.0,9.346661242584686,2,4.346661242584686,4.346661242584686
佐土原3丁目,2021,58.0,53.685458231887274,3,4.314541768112726,-4.314541768112726
二本木2丁目,2025,55.0,50.744730687922875,7,4.255269312077125,-4.255269312077125
花立5丁目,2023,10.0,14.254899949175348,5,4.254899949175348,4.254899949175348
下南部3丁目,2021,76.0,71.81031306772358,3,4.189686932276416,-4.189686932276416
国府2丁目,2021,87.0,82.81653466039047,3,4.183465339609526,-4.183465339609526
春日5丁目,2024,58.0,53.830300888928925,6,4.1696991110710755,-4.1696991110710755
出水6丁目,2020,-135.0,-130.836378637986,2,4.163621362013998,4.163621362013998
西梶尾町,2019,-56.0,-51.84785557690696,1,4.152144423093041,4.152144423093041
八王寺町,2022,-43.0,-47.15033567819633,4,4.150335678196328,-4.150335678196328
近見6丁目,2021,24.0,28.13859624491477,3,4.138596244914769,4.138596244914769
京町1丁目,2019,-26.0,-21.876070041776995,1,4.123929958223005,4.123929958223005
長嶺南4丁目,2019,-29.0,-24.890927301254766,1,4.1090726987452335,4.1090726987452335
新町4丁目,2020,-56.0,-51.905521970591806,2,4.094478029408194,4.094478029408194
大江3丁目,2023,66.0,61.93432245260791,5,4.065677547392092,-4.065677547392092
春日7丁目,2024,117.0,121.06037408032077,6,4.06037408032077,4.06037408032077
新町4丁目,2022,41.0,45.01744878073319,4,4.01744878073319,4.01744878073319
坪井3丁目,2022,19.0,14.998566936714612,4,4.001433063285388,-4.001433063285388
室園町,2019,-29.0,-25.00877373232772,1,3.9912262676722783,3.9912262676722783
硯川町,2020,63.0,59.01768778206863,2,3.982312217931373,-3.982312217931373
九品寺4丁目,2019,-53.0,-49.06648096533678,1,3.9335190346632203,3.9335190346632203
新南部3丁目,2019,-35.0,-31.073205407168892,1,3.926794592831108,3.926794592831108
