town,year,pop_prev,pop_now,delta,growth_pct,class
上京塚町,2001,33.0,58.0,25.0,0.7575757575757576,large_increase
上南部町,2001,2158.0,10.0,-2148.0,-0.995366079703429,jump_exception_decrease
上南部町,2010,0.0,819.0,819.0,819.0,jump_exception_increase
上林町,2015,308.0,379.0,71.0,0.2305194805194805,large_increase
上水前寺2丁目,2006,1830.0,0.0,-1830.0,-1.0,jump_exception_decrease
上水前寺2丁目,2009,0.0,877.0,877.0,877.0,jump_exception_increase
上熊本1丁目,2021,1045.0,1429.0,384.0,0.3674641148325359,jump_exception_increase
上熊本3丁目,2020,1534.0,1920.0,386.0,0.2516297262059974,jump_exception_increase
上通町,2006,402.0,240.0,-162.0,-0.4029850746268656,large_decrease
下南部3丁目,2011,0.0,1281.0,1281.0,1281.0,jump_exception_increase
下硯川町,2011,2622.0,1087.0,-1535.0,-0.5854309687261632,jump_exception_decrease
世安町,1999,2253.0,2667.0,414.0,0.1837549933422103,jump_exception_increase
世安町,2022,2425.0,1099.0,-1326.0,-0.5468041237113402,jump_exception_decrease
中原町,2015,1070.0,172.0,-898.0,-0.8392523364485981,jump_exception_decrease
中江町,2016,41.0,66.0,25.0,0.6097560975609756,large_increase
九品寺2丁目,2008,569.0,919.0,350.0,0.6151142355008787,jump_exception_increase
九品寺5丁目,2019,1408.0,1621.0,213.0,0.1512784090909091,jump_exception_increase
九品寺6丁目,2001,447.0,668.0,221.0,0.494407158836689,jump_exception_increase
九品寺6丁目,2006,544.0,848.0,304.0,0.5588235294117647,jump_exception_increase
二の丸,2003,43.0,10.0,-33.0,-0.7674418604651163,large_decrease
二本木5丁目,2006,726.0,934.0,208.0,0.2865013774104683,jump_exception_increase
二本木5丁目,2012,847.0,0.0,-847.0,-1.0,jump_exception_decrease
二本木5丁目,2018,0.0,54.0,54.0,54.0,surge
二本木5丁目,2020,71.0,118.0,47.0,0.6619718309859155,large_increase
京町本丁,2015,1015.0,1225.0,210.0,0.2068965517241379,jump_exception_increase
今町,2010,296.0,938.0,642.0,2.168918918918919,jump_exception_increase
佐土原2丁目,2004,219.0,270.0,51.0,0.2328767123287671,large_increase
佐土原2丁目,2017,404.0,567.0,163.0,0.4034653465346535,large_increase
佐土原3丁目,2013,149.0,220.0,71.0,0.4765100671140939,large_increase
佐土原3丁目,2014,220.0,285.0,65.0,0.2954545454545454,large_increase
佐土原3丁目,2015,285.0,383.0,98.0,0.343859649122807,large_increase
佐土原3丁目,2016,383.0,467.0,84.0,0.2193211488250653,large_increase
保田窪2丁目,2004,631.0,767.0,136.0,0.2155309033280507,large_increase
保田窪2丁目,2006,767.0,952.0,185.0,0.241199478487614,large_increase
健軍本町,2007,240.0,12.0,-228.0,-0.95,jump_exception_decrease
健軍本町,2012,0.0,2629.0,2629.0,2629.0,jump_exception_increase
元三町,2000,44.0,0.0,-44.0,-1.0,large_decrease
元三町1丁目,2012,0.0,28.0,28.0,28.0,large_increase
元三町1丁目,2016,29.0,91.0,62.0,2.1379310344827585,surge
元三町1丁目,2017,91.0,126.0,35.0,0.3846153846153846,large_increase
元三町1丁目,2021,235.0,306.0,71.0,0.3021276595744681,large_increase
元三町5丁目,2000,0.0,37.0,37.0,37.0,large_increase
八島町,2006,123.0,61.0,-62.0,-0.5040650406504065,large_decrease
八島町,2008,47.0,108.0,61.0,1.297872340425532,surge
八幡11丁目,2012,5.0,607.0,602.0,120.4,jump_exception_increase
八幡1丁目,1999,376.0,284.0,-92.0,-0.2446808510638297,large_decrease
八幡1丁目,2000,284.0,171.0,-113.0,-0.397887323943662,large_decrease
八幡1丁目,2005,83.0,30.0,-53.0,-0.6385542168674698,large_decrease
八幡1丁目,2006,30.0,0.0,-30.0,-1.0,large_decrease
八幡6丁目,2001,407.0,520.0,113.0,0.2776412776412776,large_increase
八幡8丁目,2006,63.0,95.0,32.0,0.5079365079365079,large_increase
出仲間3丁目,2003,456.0,607.0,151.0,0.3311403508771929,large_increase
出仲間5丁目,2007,490.0,734.0,244.0,0.4979591836734693,jump_exception_increase
出仲間8丁目,2003,345.0,510.0,165.0,0.4782608695652174,large_increase
出仲間9丁目,2006,162.0,230.0,68.0,0.419753086419753,large_increase
出仲間9丁目,2014,215.0,327.0,112.0,0.5209302325581395,surge
十禅寺3丁目,2006,1881.0,0.0,-1881.0,-1.0,jump_exception_decrease
千葉城町,2013,124.0,351.0,227.0,1.8306451612903225,jump_exception_increase
千葉城町,2014,351.0,525.0,174.0,0.4957264957264957,large_increase
南千反畑町,2002,566.0,710.0,144.0,0.254416961130742,large_increase
南熊本2丁目,2018,179.0,305.0,126.0,0.7039106145251397,surge
南熊本2丁目,2020,334.0,442.0,108.0,0.3233532934131736,large_increase
南熊本3丁目,2025,283.0,349.0,66.0,0.2332155477031802,large_increase
南熊本4丁目,2023,272.0,334.0,62.0,0.2279411764705882,large_increase
南高江町,1999,141.0,45.0,-96.0,-0.6808510638297872,large_decrease
古大工町,2024,51.0,81.0,30.0,0.5882352941176471,large_increase
古桶屋町,2016,0.0,33.0,33.0,33.0,large_increase
呉服町2丁目,2001,133.0,199.0,66.0,0.4962406015037593,large_increase
呉服町3丁目,2011,133.0,258.0,125.0,0.9398496240601504,surge
呉服町3丁目,2016,269.0,324.0,55.0,0.2044609665427509,large_increase
土河原町,2010,1398.0,875.0,-523.0,-0.3741058655221745,jump_exception_decrease
坪井6丁目,2000,1162.0,1568.0,406.0,0.3493975903614458,jump_exception_increase
坪井6丁目,2004,1661.0,1888.0,227.0,0.1366646598434678,jump_exception_increase
坪井6丁目,2010,1990.0,79.0,-1911.0,-0.9603015075376884,jump_exception_decrease
城山上代町,2002,209.0,260.0,51.0,0.2440191387559808,large_increase
城山上代町,2007,244.0,148.0,-96.0,-0.3934426229508196,large_decrease
城東町,2005,212.0,297.0,85.0,0.4009433962264151,large_increase
城東町,2010,368.0,997.0,629.0,1.7092391304347827,jump_exception_increase
大江2丁目,2004,1614.0,1342.0,-272.0,-0.1685254027261462,jump_exception_decrease
大江2丁目,2018,1040.0,1248.0,208.0,0.2,jump_exception_increase
大江2丁目,2019,1248.0,1450.0,202.0,0.1618589743589743,jump_exception_increase
大江3丁目,2016,1078.0,1637.0,559.0,0.5185528756957328,jump_exception_increase
大江3丁目,2017,1637.0,1842.0,205.0,0.1252290775809407,jump_exception_increase
大江5丁目,2006,666.0,857.0,191.0,0.2867867867867867,large_increase
大江6丁目,2010,1032.0,1332.0,300.0,0.2906976744186046,jump_exception_increase
大江6丁目,2013,1426.0,1816.0,390.0,0.273492286115007,jump_exception_increase
大江本町,2012,0.0,442.0,442.0,442.0,jump_exception_increase
奥古閑町,2008,1699.0,837.0,-862.0,-0.5073572689817539,jump_exception_decrease
孫代町,2015,575.0,788.0,213.0,0.3704347826086956,jump_exception_increase
宮内,2006,39.0,560.0,521.0,13.35897435897436,jump_exception_increase
小山町,1999,5732.0,6010.0,278.0,0.0484996510816468,jump_exception_increase
小山町,2004,6415.0,551.0,-5864.0,-0.9141075604053,jump_exception_decrease
小峯4丁目,2006,483.0,93.0,-390.0,-0.8074534161490683,jump_exception_decrease
小峯4丁目,2019,156.0,214.0,58.0,0.3717948717948718,large_increase
小峯4丁目,2020,214.0,324.0,110.0,0.514018691588785,surge
小峯4丁目,2021,324.0,418.0,94.0,0.2901234567901234,large_increase
小峯4丁目,2022,418.0,545.0,127.0,0.3038277511961722,large_increase
小島上町,2008,776.0,116.0,-660.0,-0.8505154639175257,jump_exception_decrease
小島下町,2008,133.0,0.0,-133.0,-1.0,large_decrease
小島下町,2009,0.0,712.0,712.0,712.0,jump_exception_increase
小糸山町,2001,1395.0,0.0,-1395.0,-1.0,jump_exception_decrease
小糸山町,2006,0.0,390.0,390.0,390.0,jump_exception_increase
山ノ内1丁目,2007,290.0,510.0,220.0,0.7586206896551724,jump_exception_increase
山室3丁目,2008,245.0,310.0,65.0,0.2653061224489796,large_increase
山室6丁目,2006,221.0,1199.0,978.0,4.425339366515837,jump_exception_increase
島崎7丁目,2001,2051.0,73.0,-1978.0,-0.9644076060458312,jump_exception_decrease
島崎7丁目,2006,69.0,666.0,597.0,8.652173913043478,jump_exception_increase
川尻6丁目,2012,0.0,487.0,487.0,487.0,jump_exception_increase
帯山1丁目,2007,2780.0,3007.0,227.0,0.0816546762589928,jump_exception_increase
平田2丁目,2012,503.0,698.0,195.0,0.3876739562624254,large_increase
弥生町,2018,332.0,896.0,564.0,1.6987951807228916,jump_exception_increase
御幸木部町,2000,1264.0,27.0,-1237.0,-0.9786392405063292,jump_exception_decrease
御幸木部町,2001,27.0,0.0,-27.0,-1.0,large_decrease
御幸木部町,2006,0.0,119.0,119.0,119.0,surge
御幸笛田町,2000,6890.0,218.0,-6672.0,-0.9683599419448476,jump_exception_decrease
御幸笛田町,2001,218.0,46.0,-172.0,-0.7889908256880734,large_decrease
御幸西無田町,2000,477.0,29.0,-448.0,-0.939203354297694,jump_exception_decrease
御幸西無田町,2001,29.0,0.0,-29.0,-1.0,large_decrease
御幸西無田町,2006,0.0,459.0,459.0,459.0,jump_exception_increase
御領7丁目,1999,214.0,19.0,-195.0,-0.911214953271028,large_decrease
御領7丁目,2011,0.0,498.0,498.0,498.0,jump_exception_increase
徳王町,2005,1508.0,1712.0,204.0,0.1352785145888594,jump_exception_increase
徳王町,2009,1952.0,82.0,-1870.0,-0.9579918032786884,jump_exception_decrease
慶徳堀町,2013,20.0,175.0,155.0,7.75,surge
戸島町,2001,548.0,0.0,-548.0,-1.0,jump_exception_decrease
戸島町,2002,0.0,11448.0,11448.0,11448.0,jump_exception_increase
戸島町,2003,11448.0,198.0,-11250.0,-0.9827044025157232,jump_exception_decrease
戸島町,2006,165.0,424.0,259.0,1.5696969696969696,jump_exception_increase
戸島町,2010,391.0,533.0,142.0,0.3631713554987212,large_increase
新南部2丁目,2001,491.0,613.0,122.0,0.2484725050916497,large_increase
新南部6丁目,2012,0.0,258.0,258.0,258.0,jump_exception_increase
新土河原2丁目,2001,0.0,601.0,601.0,601.0,jump_exception_increase
新屋敷1丁目,2001,756.0,970.0,214.0,0.2830687830687831,jump_exception_increase
新屋敷1丁目,2006,1240.0,1532.0,292.0,0.2354838709677419,jump_exception_increase
新屋敷3丁目,2010,667.0,818.0,151.0,0.2263868065967016,large_increase
春日1丁目,2012,890.0,1225.0,335.0,0.3764044943820224,jump_exception_increase
春日2丁目,2014,201.0,435.0,234.0,1.164179104477612,jump_exception_increase
春日2丁目,2025,666.0,970.0,304.0,0.4564564564564564,jump_exception_increase
春日3丁目,2004,713.0,553.0,-160.0,-0.2244039270687237,large_decrease
春日3丁目,2009,383.0,260.0,-123.0,-0.3211488250652741,large_decrease
春日3丁目,2010,260.0,117.0,-143.0,-0.55,large_decrease
春日3丁目,2012,81.0,130.0,49.0,0.6049382716049383,large_increase
春日3丁目,2013,130.0,319.0,189.0,1.4538461538461538,surge
春日3丁目,2014,319.0,588.0,269.0,0.8432601880877743,jump_exception_increase
春日5丁目,2021,440.0,557.0,117.0,0.2659090909090909,large_increase
春日6丁目,2014,383.0,489.0,106.0,0.2767624020887728,large_increase
春日8丁目,2012,0.0,733.0,733.0,733.0,jump_exception_increase
春竹町大字春竹,2019,362.0,438.0,76.0,0.2099447513812154,large_increase
昭和町,2001,2610.0,0.0,-2610.0,-1.0,jump_exception_decrease
月出1丁目,2008,1209.0,1590.0,381.0,0.315136476426799,jump_exception_increase
月出2丁目,2001,1724.0,1940.0,216.0,0.1252900232018561,jump_exception_increase
本山3丁目,2009,401.0,926.0,525.0,1.3092269326683292,jump_exception_increase
本山町,2002,1595.0,1816.0,221.0,0.1385579937304075,jump_exception_increase
本荘1丁目,2016,31.0,0.0,-31.0,-1.0,large_decrease
東子飼町,2000,424.0,792.0,368.0,0.8679245283018868,jump_exception_increase
東本町,2012,0.0,2777.0,2777.0,2777.0,jump_exception_increase
東町1丁目,2024,495.0,338.0,-157.0,-0.3171717171717171,large_decrease
東町3丁目,2015,3019.0,2792.0,-227.0,-0.0751904604173567,jump_exception_decrease
東町3丁目,2018,2629.0,2983.0,354.0,0.1346519589197413,jump_exception_increase
東町3丁目,2024,2783.0,2577.0,-206.0,-0.0740208408192597,jump_exception_decrease
東町4丁目,2006,4933.0,4691.0,-242.0,-0.0490573687411311,jump_exception_decrease
東町4丁目,2007,4691.0,4465.0,-226.0,-0.0481773609038584,jump_exception_decrease
東町4丁目,2009,4369.0,4158.0,-211.0,-0.0482948043030441,jump_exception_decrease
東町4丁目,2014,4478.0,4252.0,-226.0,-0.0504689593568557,jump_exception_decrease
東町4丁目,2020,3738.0,3531.0,-207.0,-0.0553772070626003,jump_exception_decrease
松尾町上松尾,2015,2963.0,0.0,-2963.0,-1.0,jump_exception_decrease
桜木6丁目,2015,41.0,86.0,45.0,1.0975609756097562,large_increase
桜町,2020,303.0,470.0,167.0,0.5511551155115512,surge
楠1丁目,2000,1533.0,1196.0,-337.0,-0.2198303979125896,jump_exception_decrease
